time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
32768,1,297.14285714285717,207,157,976.6501,,,,,,,,,,,,,
65536,2,298.33,172,378,804.6992,-0.00040078826536955604,-2.4618410672526805,4316.1083984375,23439.26731328964,1e-05,0.4494357109069824,2470,0.0032078861,0.5639159679412842,0.0097320556640625,0.2,,
98304,3,296.51,163,600,960.78687,-0.00040106211915826864,-2.4612042642664163,4302.65234375,21578.655554008485,1e-05,0.4493449330329895,2480,0.0034479627,0.6135499179363251,0.0121673583984375,0.2,,
131072,4,298.17,159,822,1281.5591,-0.0005065604886567599,-2.4607342359609903,7604.71484375,21146.59844851494,1e-05,0.44933557510375977,2490,0.003417388,0.6680845618247986,0.0130157470703125,0.2,,
163840,5,298.32,156,1043,1055.2971,-0.0003583440813144989,-2.4600826903712005,13631.2392578125,23811.707032203674,1e-05,0.44918620586395264,2500,0.00394461,0.6525313556194305,0.0168121337890625,0.2,,
196608,6,295.54,155,1265,1115.8224,-0.00037925189801626404,-2.4590156694408507,5993.9072265625,23235.537818813325,1e-05,0.4490947723388672,2510,0.004905775,0.6541105210781097,0.0242919921875,0.2,,
229376,7,295.38,153,1489,1158.1128,0.00046279753371436527,-2.4581774157006295,10147.697265625,25276.775128984453,1e-05,0.4490152895450592,2520,0.003989497,0.6463615894317627,0.015997314453125,0.2,,
262144,8,300.05,152,1714,1043.8687,-0.0006555839491966253,-2.4577683906070886,11663.751953125,25670.67458257675,1e-05,0.44898802042007446,2530,0.003660374,0.6560384929180145,0.0142913818359375,0.2,,
294912,9,299.02,152,1936,1054.1863,0.00046278304687348283,-2.457393227238208,16869.111328125,22113.439684963225,1e-05,0.44893231987953186,2540,0.004354287,0.6835761070251465,0.0197296142578125,0.2,,
327680,10,299.35,151,2161,1157.8572,-0.0005628458777778178,-2.4569105727598073,5849.59033203125,21399.065387535094,1e-05,0.44886812567710876,2550,0.0036972263,0.6984574198722839,0.0131317138671875,0.2,,
360448,11,296.12,151,2386,1059.853,-3.596728840875585e-05,-2.456560895498842,5747.1328125,25066.052668380737,1e-05,0.4488562047481537,2560,0.0040284377,0.6560702919960022,0.018988037109375,0.2,,
393216,12,289.13,150,2609,1114.4166,-0.0007867866483820763,-2.456240958813578,18438.0859375,23792.26709394455,1e-05,0.4487936496734619,2570,0.00318913,0.6816903948783875,0.0113189697265625,0.2,,
425984,13,299.07,150,2832,1370.6003,0.000511408607053454,-2.455648744199425,6894.31201171875,25625.315305137636,1e-05,0.4487372040748596,2580,0.004039527,0.6722646653652191,0.017279052734375,0.2,,
458752,14,292.08,150,3056,1107.9711,-0.0003977068895892444,-2.4554201771505175,10389.3203125,27896.462359046935,1e-05,0.4487343430519104,2590,0.0043422747,0.6532371640205383,0.0194488525390625,0.2,,
491520,15,301.0,149,3291,1072.2295,-0.0002155807507733698,-2.4552962765563278,10287.134765625,25089.66094350815,1e-05,0.4487183690071106,2600,0.0028381841,0.6855290234088898,0.0086334228515625,0.2,,
524288,16,294.84,148,3523,961.58685,-0.0003192174018295191,-2.4547260279301555,4430.20263671875,22936.830504274367,1e-05,0.4485901892185211,2610,0.0036049807,0.689689040184021,0.014544677734375,0.2,,
557056,17,301.01,148,3750,1085.5515,0.00019130793916701804,-2.4536703714635224,5222.86328125,23920.930970954894,1e-05,0.4484923183917999,2620,0.004386465,0.6879136562347412,0.024578857421875,0.2,,
589824,18,291.24,148,3981,1206.914,-0.00040761545208169994,-2.4529382043983787,6112.99755859375,22890.862968730926,1e-05,0.44843044877052307,2630,0.0033929693,0.7051495611667633,0.012420654296875,0.2,,
622592,19,299.13,147,4214,1096.6368,0.00018466875430931396,-2.452728366618976,11843.40234375,29494.381223297118,1e-05,0.4484427273273468,2640,0.0046843467,0.6635086238384247,0.0248687744140625,0.2,,
655360,20,294.76,147,4449,1063.1428,0.0002953543144485593,-2.452399095939472,7264.33935546875,24422.057133054732,1e-05,0.4483656883239746,2650,0.004628065,0.6730437278747559,0.025750732421875,0.2,,
