time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range
32768,1,297.2040816326531,205,159,1238.8977,,,,,,,,,,,
65536,2,298.1,198,330,870.1479,3.925132268705056e-05,-2.46193340793252,10613.509765625,27778.568002319334,1e-05,0.44946107268333435,2470,0.0020473348,0.5901201963424683,0.0040802001953125,0.2
98304,3,301.0,194,504,1155.3073,-3.535818887030473e-05,-2.4616586647927763,12662.8681640625,23522.51901626587,1e-05,0.449435830116272,2480,0.0017380615,0.6395478844642639,0.0027679443359375,0.2
131072,4,299.39,193,676,1007.08765,-0.0004080138674908085,-2.461368397064507,11669.5,24354.12960205078,1e-05,0.4493962526321411,2490,0.0020186366,0.6486175954341888,0.004248046875,0.2
163840,5,300.35,193,848,1023.10547,-0.00034576504131109684,-2.4611040914431213,11308.056640625,24404.016927337645,1e-05,0.4493793547153473,2500,0.0019280724,0.6629182398319244,0.0031982421875,0.2
196608,6,298.59,192,1021,1113.1453,-0.00027608994600996083,-2.4611031470820306,11217.533203125,25842.159651947022,1e-05,0.44939738512039185,2510,0.0024384703,0.6281735301017761,0.0049896240234375,0.2
229376,7,294.87,192,1194,1136.088,-0.00025157381105600507,-2.4611948737874627,13797.5634765625,27253.523798370363,1e-05,0.4494011700153351,2520,0.002091528,0.6316886842250824,0.003851318359375,0.2
262144,8,301.0,191,1366,1209.1913,-0.0001461481831938727,-2.4609974620863797,9355.31640625,26307.56692352295,1e-05,0.449354350566864,2530,0.002552688,0.664137452840805,0.0053924560546875,0.2
294912,9,299.85,191,1540,1237.4888,-0.0006441288544920098,-2.460735946893692,7991.61962890625,26342.367321777343,1e-05,0.449338436126709,2540,0.0025410892,0.6434684693813324,0.004876708984375,0.2
327680,10,293.46,191,1714,1015.24414,-0.0005935823968684417,-2.4603754341602326,7340.50732421875,28372.324584960938,1e-05,0.4492749869823456,2550,0.002299252,0.615135908126831,0.0056854248046875,0.2
360448,11,299.18,190,1887,1163.5074,-0.0006368070988173713,-2.459880318492651,10174.9599609375,26527.936234283447,1e-05,0.44923099875450134,2560,0.0021265747,0.6466092467308044,0.0036102294921875,0.2
393216,12,299.46,190,2059,974.9621,-0.0004783621014212258,-2.4598117491230367,12361.611328125,26443.33487625122,1e-05,0.44925493001937866,2570,0.0020759222,0.6579167544841766,0.003656005859375,0.2
425984,13,297.1,190,2232,1248.5054,0.00020652302055168548,-2.459813227877021,13454.0830078125,24976.61323852539,1e-05,0.4492288827896118,2580,0.0017489376,0.6742384433746338,0.002740478515625,0.2
458752,14,291.54,190,2407,1219.181,-0.0006363010453242169,-2.459522088430822,15213.8544921875,29368.89228515625,1e-05,0.4491898715496063,2590,0.0018102147,0.6367781758308411,0.0022674560546875,0.2
491520,15,298.79,190,2581,1109.6204,-0.0001474651528042159,-2.4592839198186995,9975.5693359375,29427.362189483643,1e-05,0.449181467294693,2600,0.0023007256,0.6495668292045593,0.0044281005859375,0.2
524288,16,299.25,190,2753,1022.03235,-0.0004463103389753087,-2.4591430861502888,15722.5224609375,26652.341983795166,1e-05,0.449161171913147,2610,0.0022415689,0.669379860162735,0.0051788330078125,0.2
557056,17,295.89,190,2927,1017.6551,-0.001047999565662394,-2.4590062271803617,13645.876953125,26138.143209075926,1e-05,0.4491550028324127,2620,0.002707271,0.6855380535125732,0.0052398681640625,0.2
589824,18,298.62,190,3099,1175.9707,-0.0004473476879866212,-2.458832287415862,12159.7744140625,28988.148569488527,1e-05,0.44912439584732056,2630,0.0014355001,0.6590359807014465,0.0011627197265625,0.2
622592,19,297.65,190,3271,1178.9943,-0.00024947153842731496,-2.4587453488260507,9913.5888671875,27784.816931152345,1e-05,0.44913679361343384,2640,0.001818118,0.657564103603363,0.002789306640625,0.2
655360,20,297.49,190,3444,1062.0035,2.5132087648671587e-05,-2.4588746858760713,10565.044921875,27019.985237121582,1e-05,0.44915634393692017,2650,0.0023788752,0.6649180352687836,0.0052337646484375,0.2
688128,21,299.08,190,3616,1130.6868,-9.380809196954943e-05,-2.458841074630618,9573.666015625,26269.55251083374,1e-05,0.4491298794746399,2660,0.0013328311,0.667351245880127,0.001055908203125,0.2
720896,22,299.19,190,3789,1255.455,-0.00048333752192775137,-2.4587276240810754,16069.1728515625,27779.197008514406,1e-05,0.44912952184677124,2670,0.0017247191,0.6626043319702148,0.0025177001953125,0.2
753664,23,301.0,190,3961,1104.81,0.00030387517044800917,-2.458749881386757,13908.7958984375,28492.816132354736,1e-05,0.44912856817245483,2680,0.0026387905,0.6521831750869751,0.00633544921875,0.2
786432,24,298.57,190,4133,1172.979,-0.00023496468627399737,-2.4586242999881507,13691.1748046875,27542.95617828369,1e-05,0.44909775257110596,2690,0.0028972905,0.6624630987644196,0.0081573486328125,0.2
