Episode,Reward
1,1033.9526
2,936.1895
3,-1001.4208
4,1527.5667
5,4117.944
6,1756.4752
7,1897.7845
8,-1334.6229
9,797.26086
10,-824.6041
11,-1432.4635
12,-630.13525
13,-297.00134
14,1076.1854
15,6231.477
16,1459.8931
17,1620.2257
18,355.3797
19,563.69116
20,5142.6416
21,1091.1178
22,307.20248
23,2007.9248
24,2445.3042
25,2495.2927
26,-604.46155
27,3736.2666
28,1174.9866
29,6096.9824
30,755.0401
31,941.30865
32,3902.855
33,1814.9839
34,-992.56903
35,81.91744
36,980.1414
37,1098.6637
38,232.2154
39,1530.0067
40,-653.91455
41,-1.0792917
42,1021.27795
43,-849.0077
44,1036.253
45,3178.5815
46,442.14355
47,-1771.334
48,710.29443
49,-400.79956
50,1227.0382
51,5163.5337
52,2961.675
53,2224.5278
54,-889.35986
55,-72.57224
56,-477.57675
57,863.5782
58,1133.6559
59,1252.8552
60,-1448.5807
61,1086.9795
62,52.847343
63,2120.4707
64,986.9679
65,-1004.3682
66,2517.8728
67,1216.9988
68,-227.49834
69,4135.78
70,-83.35199
71,3209.8809
72,2104.213
73,1039.8
74,1954.0409
75,2018.1631
76,2123.5706
77,4073.9136
78,781.3521
79,1910.7795
80,927.8972
81,-261.5006
82,-832.6785
83,3969.8123
84,340.60632
85,2736.4697
86,1943.6721
87,2076.7793
88,-1322.9979
89,3101.2131
90,2150.4739
91,565.579
92,-1086.3002
93,872.3787
94,788.9981
95,2152.1892
96,446.9301
97,1111.0599
98,-645.8295
99,-331.499
100,1119.765
