time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/std,train/learning_rate,train/clip_fraction,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
1,591.4489795918367,168,32768,194,1102.7382,,,,,,,,,,,,,
2,591.1020408163265,387,65536,169,1074.6206,-3.9166778011247514,0.13490924,24318.92732257843,1240,0.07890419062159708,0.10692763328552246,0.6528179049491882,0.001,0.6509613037109375,0.2,4844.64111328125,,
3,595.98,605,98304,162,1283.1763,-3.9503308861050757,0.07626717,12805.200539660455,1250,0.03726609846980864,0.47419673204421997,0.6542736291885376,0.001,0.5067657470703125,0.2,2016.1416015625,,
4,599.88,822,131072,159,1185.9366,-3.977299401815981,0.08240919,9271.283543658257,1260,0.031722259638581815,0.48002058267593384,0.6580084562301636,0.001,0.509149169921875,0.2,3604.406982421875,,
5,595.32,1042,163840,157,1061.4838,-3.9832422549370676,0.067308754,6875.790837681294,1270,0.02438595692872241,0.5185999870300293,0.6590090990066528,0.001,0.4712127685546875,0.2,1375.411376953125,,
6,595.32,1259,196608,156,1188.1411,-3.987608222803101,0.062919125,6804.554711472988,1280,0.019556762002639515,0.5214772820472717,0.6603837013244629,0.001,0.4629638671875,0.2,1970.29736328125,,
7,601.0,1476,229376,155,1143.2625,-4.012963448790833,0.05916759,6913.058019912243,1290,0.020440524177024598,0.4029562473297119,0.6684601902961731,0.001,0.4401123046875,0.2,1902.0029296875,,
8,601.0,1694,262144,154,837.4127,-4.048054844234139,0.053374626,4283.121884429454,1300,0.015456430955418909,0.42536288499832153,0.6708874702453613,0.001,0.411297607421875,0.2,1045.3682861328125,,
9,601.0,1913,294912,154,565.84344,-4.055597280152142,0.054794557,4228.462991201877,1310,0.015972085057819642,0.558509886264801,0.6733221411705017,0.001,0.4246429443359375,0.2,2840.24072265625,,
10,601.0,2131,327680,153,579.3016,-4.066817907243967,0.052225985,3357.7950273573397,1320,0.014377863829031412,0.5518991649150848,0.6753180027008057,0.001,0.4142059326171875,0.2,369.7684020996094,,
11,596.27,2350,360448,153,750.5421,-4.0672093717381355,0.056717567,4460.337897926569,1330,0.01427908321643372,0.4095604419708252,0.6771750450134277,0.001,0.43265380859375,0.2,806.3320922851562,,
12,596.27,2571,393216,152,755.91876,-4.088939861301332,0.060135573,4267.532328259945,1340,0.014975358058063649,0.29192668199539185,0.6785867214202881,0.001,0.4291107177734375,0.2,1092.7396240234375,,
13,600.79,2793,425984,152,803.3013,-4.106182110123337,0.06331591,4025.7582357108595,1350,0.01740324184261226,0.41866254806518555,0.6858460307121277,0.001,0.45267333984375,0.2,592.776123046875,,
14,600.29,3013,458752,152,624.67725,-4.130134508106858,0.0601944,5668.8729053676125,1360,0.01690110744884805,0.4404279589653015,0.6857103705406189,0.001,0.4487274169921875,0.2,841.4853515625,,
15,589.78,3233,491520,151,451.4176,-4.153576700761914,0.06898375,3134.7545794785024,1370,0.017860815226617886,0.49466145038604736,0.6881262063980103,0.001,0.4624664306640625,0.2,1060.519287109375,,
16,584.33,3454,524288,151,663.74585,-4.170075604878366,0.06181936,5422.943428379297,1380,0.016520188642016365,0.519860565662384,0.6972283124923706,0.001,0.4432037353515625,0.2,3070.58935546875,,
17,595.03,3676,557056,151,843.95026,-4.1980738788843155,0.056046404,5689.039444613457,1390,0.01302636570451341,0.3718467950820923,0.6954611539840698,0.001,0.4262786865234375,0.2,763.2020874023438,,
18,601.0,3898,589824,151,888.3363,-4.203606919851154,0.05668857,4804.08900488615,1400,0.014262878300405646,0.4562312960624695,0.6980301737785339,0.001,0.415582275390625,0.2,453.65447998046875,,
19,601.0,4119,622592,151,922.88745,-4.20980278570205,0.04950027,4644.588689231872,1410,0.011331879166209546,0.28660905361175537,0.6992138624191284,0.001,0.4079803466796875,0.2,918.118896484375,,
20,601.0,4340,655360,150,724.3942,-4.21876369882375,0.046666227,4364.898933041096,1420,0.01111339148553725,0.36584705114364624,0.7016661167144775,0.001,0.39642333984375,0.2,1088.4510498046875,,
21,601.0,4560,688128,150,821.2736,-4.247576351836324,0.04634782,3869.7934526860713,1430,0.011680180060920975,0.4418339133262634,0.7036803960800171,0.001,0.3954132080078125,0.2,930.8233032226562,,
22,599.64,4781,720896,150,819.69165,-4.235036498866975,0.04939771,4320.402851879597,1440,0.010273657711013583,0.4592891335487366,0.7046513557434082,0.001,0.391094970703125,0.2,673.8363037109375,,
23,595.55,5002,753664,150,948.1857,-4.246697393897921,0.05187262,4726.608514606953,1450,0.011016838167006427,0.44300228357315063,0.7054848074913025,0.001,0.4107269287109375,0.2,459.83074951171875,,
24,594.64,5222,786432,150,1159.6217,-4.243477589916438,0.038886346,6220.315189337731,1460,0.008130344372830223,0.420829713344574,0.7046981453895569,0.001,0.36221923828125,0.2,4251.708984375,,
25,595.98,5444,819200,150,1190.1874,-4.238076367601752,0.039539713,5232.535534703731,1470,0.008957942536790142,0.4844740629196167,0.7055738568305969,0.001,0.3519287109375,0.2,727.65380859375,,
26,597.24,5665,851968,150,1258.9187,-4.232744262646884,0.0392297,6367.854166913033,1480,0.007734125943647996,0.5075150430202484,0.6999876499176025,0.001,0.348809814453125,0.2,940.3851928710938,,
27,590.86,5890,884736,150,1176.9873,-4.208701611496508,0.03746766,5673.49825091362,1490,0.007515948431341712,0.48381882905960083,0.6972907781600952,0.001,0.3480682373046875,0.2,1282.37939453125,,
28,586.14,6114,917504,150,1256.1409,-4.1982268074527385,0.04208973,6458.793701553344,1500,0.007164649042033488,0.3411593437194824,0.6961637139320374,0.001,0.35904541015625,0.2,1989.707763671875,,
29,590.67,6336,950272,149,1395.398,-4.177392927277833,0.040343847,7424.8774783730505,1510,0.006873963808675399,0.45608383417129517,0.6921491622924805,0.001,0.34002685546875,0.2,1046.0726318359375,,
30,601.0,6559,983040,149,1378.8844,-4.168004959914834,0.036915664,6299.444926416874,1520,0.008988727827272669,0.39327090978622437,0.6932657957077026,0.001,0.3502593994140625,0.2,1319.2105712890625,,
31,595.99,6782,1015808,149,1279.3756,-4.167257895786316,0.036004495,7980.041942644119,1530,0.006728531988210306,0.32838648557662964,0.6936075091362,0.001,0.33028564453125,0.2,2988.4931640625,,
32,595.65,7005,1048576,149,1078.5939,-4.159528581798076,0.039427694,7218.3480722785,1540,0.007060258077672188,0.3338177800178528,0.6907954812049866,0.001,0.3523712158203125,0.2,1113.1551513671875,,
33,590.88,7229,1081344,149,1037.7278,-4.144200592022389,0.041315157,6489.208502137661,1550,0.007656035444188092,0.4177413582801819,0.6880769729614258,0.001,0.372503662109375,0.2,1206.8892822265625,,
34,601.0,7462,1114112,149,1292.7865,-4.138588139414788,0.03481366,7942.415311431885,1560,0.0064419091749186915,0.3164256811141968,0.6886677742004395,0.001,0.32735595703125,0.2,2019.0115966796875,,
35,594.35,7688,1146880,149,1459.8872,-4.149423605017364,0.03261286,9305.667686963081,1570,0.005187081782241876,0.32444387674331665,0.6868072748184204,0.001,0.3209014892578125,0.2,2156.79296875,,
36,589.37,7913,1179648,149,1376.9116,-4.129128034971655,0.029395806,8715.147174501419,1580,0.005581479017791935,0.40813207626342773,0.6853489875793457,0.001,0.2972747802734375,0.2,1692.56640625,,
37,596.02,8154,1212416,148,1301.8544,-4.12113094208762,0.037684407,7449.519986510277,1590,0.007256736700037436,0.3610048294067383,0.6843773126602173,0.001,0.3410003662109375,0.2,2798.51220703125,,
38,595.36,8382,1245184,148,1630.0006,-4.122109196148813,0.03578075,11540.144448041916,1600,0.009253257467798903,0.315218985080719,0.6840113401412964,0.001,0.34764404296875,0.2,1326.619140625,,
39,589.69,8605,1277952,148,1464.3169,-4.111545884050429,0.036025062,12929.993069911003,1610,0.008078943656573755,0.2918926477432251,0.6830548644065857,0.001,0.336102294921875,0.2,3233.886962890625,,
40,589.96,8828,1310720,148,1257.7755,-4.115747593343258,0.03386104,11327.883275008202,1620,0.005297052093055754,0.4391823410987854,0.6836634278297424,0.001,0.321881103515625,0.2,2880.9697265625,,
41,593.0,9051,1343488,148,1314.3494,-4.119280116632581,0.0344171,8715.351212632657,1630,0.008024859462329914,0.535259336233139,0.6848793029785156,0.001,0.328875732421875,0.2,8160.6318359375,,
42,592.99,9274,1376256,148,1229.4518,-4.115923014655709,0.032141306,8772.676950681209,1640,0.005458670124107811,0.5358597636222839,0.6829848885536194,0.001,0.3055023193359375,0.2,4942.38427734375,,
43,591.45,9497,1409024,148,1114.5388,-4.104910385608673,0.032154024,8757.273464608192,1650,0.0054668349630219385,0.5934122204780579,0.6805758476257324,0.001,0.311962890625,0.2,901.0953369140625,,
44,596.83,9721,1441792,148,1239.471,-4.091603211034089,0.033449624,7548.930335319043,1660,0.00745548564764249,0.61396723985672,0.6787679195404053,0.001,0.3306793212890625,0.2,2211.68505859375,,
45,592.83,9944,1474560,148,1425.8047,-4.091097508557141,0.031977717,11102.239820933342,1670,0.008519858959596149,0.6031197011470795,0.6810356378555298,0.001,0.31917724609375,0.2,2668.410888671875,,
46,592.84,10168,1507328,148,1305.0007,-4.09194996394217,0.028972311,12280.239519238472,1680,0.007414643838046686,0.6066635847091675,0.6788691878318787,0.001,0.2977783203125,0.2,1518.4495849609375,,
47,595.29,10395,1540096,148,1055.0378,-4.091668411158025,0.029257674,10212.934337830544,1690,0.006569619581910047,0.6046551167964935,0.6804826259613037,0.001,0.29530029296875,0.2,5287.2607421875,,
48,595.28,10622,1572864,148,1046.7461,-4.084236644208431,0.035717316,9079.364717364311,1700,0.007508210261789827,0.6215234994888306,0.6790690422058105,0.001,0.3329437255859375,0.2,3672.98828125,,
,,,1600000,,,-4.080350089166314,0.03701315,10906.380633425713,1710,0.011395216240384799,0.6373095512390137,0.6768594980239868,0.001,0.330120849609375,0.2,2304.625732421875,1877.6673583984375,463.13
49,601.0,11115,1605632,144,1315.1051,,,,,,,,,,,,,
50,601.0,11341,1638400,144,1413.2397,-4.063186698965728,0.036873184,14892.06016306877,1720,0.01417978281788237,0.5895938575267792,0.6778802275657654,0.001,0.37374267578125,0.2,1931.1527099609375,,
51,596.62,11567,1671168,144,1046.0785,-4.090255142282695,0.038281783,13863.14487142563,1730,0.010131769531244571,0.6279165148735046,0.6795612573623657,0.001,0.335308837890625,0.2,2395.115234375,,
