time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,eval/mean_ep_length,eval/mean_reward
158,1,32768,207,559.3076923076923,1161.9847,,,,,,,,,,,,,
326,2,65536,200,569.65,1205.2465,0.6411851644515991,1240,0.2,0.5519134521484375,0.001,0.083399504,0.05373346124251839,29569.48949661255,0.2673003673553467,-3.8731379471719265,6045.79248046875,,
497,3,98304,197,582.09,1286.1063,0.6423877477645874,1250,0.2,0.388470458984375,0.001,0.043983795,0.02165933387695986,14856.104277038574,0.41218775510787964,-3.882836825028062,2520.3857421875,,
663,4,131072,197,586.55,1274.1963,0.6445534229278564,1260,0.2,0.3962646484375,0.001,0.04479457,0.019727672648150472,13453.269993209839,0.41015857458114624,-3.894301385432482,2873.034912109375,,
827,5,163840,198,595.37,1075.9309,0.6442841291427612,1270,0.2,0.3524322509765625,0.001,0.036740057,0.01394410130506003,10000.834794998169,0.3833577632904053,-3.8987686816602944,1951.6251220703125,,
991,6,196608,198,590.21,956.407,0.6462351083755493,1280,0.2,0.33857421875,0.001,0.03456493,0.013243781849450898,7817.037460708618,0.38137006759643555,-3.9054847329854967,1293.0098876953125,,
1155,7,229376,198,595.84,981.9414,0.6448485851287842,1290,0.2,0.3250640869140625,0.001,0.032929886,0.010715141984837829,6968.04422531128,0.34755444526672363,-3.905529186502099,1127.5294189453125,,
1320,8,262144,198,600.72,976.0396,0.6411986351013184,1300,0.2,0.31514892578125,0.001,0.033903796,0.010034761579663608,5476.513764572143,0.40210986137390137,-3.890961105003953,1386.2725830078125,,
1484,9,294912,198,589.62,1116.8342,0.6395137906074524,1310,0.2,0.3582061767578125,0.001,0.03682543,0.011161321670442703,6556.871506118774,0.3632376194000244,-3.8726809091866015,1099.7696533203125,,
1649,10,327680,198,594.38,989.507,0.6389970779418945,1320,0.2,0.331768798828125,0.001,0.03452287,0.010422306916916568,5564.328817176819,0.3950462341308594,-3.8670861694961784,813.8743896484375,,
1813,11,360448,198,601.0,898.58514,0.6377009153366089,1330,0.2,0.307452392578125,0.001,0.030811831,0.009095025355782127,5374.3549243927,0.3311966061592102,-3.858178345859051,890.9661254882812,,
1977,12,393216,198,601.0,1013.8258,0.6352088451385498,1340,0.2,0.3011962890625,0.001,0.029562134,0.007982735678524477,5559.194569778442,0.28888463973999023,-3.8477703530341385,719.606689453125,,
