Episode,Reward
1,-213.28741
2,-1150.5553
3,-1236.9838
4,-1043.5851
5,-98.13902
6,-1193.1934
7,-1025.2821
8,-1124.1559
9,-101.16709
10,-1001.5087
11,-86.75549
12,-135.7687
13,-1262.0386
14,-1168.0952
15,-1032.7089
16,20.93362
17,-1298.2059
18,-1379.0729
19,-2.344745
20,-927.1649
21,-1285.3242
22,-204.94475
23,284.4894
24,-642.0801
25,-1290.8119
26,-1061.0718
27,-989.7483
28,-875.0781
29,398.32925
30,-922.042
31,30.82751
32,-1363.3975
33,102.426445
34,-1254.6367
35,-1006.1182
36,1.8024057
37,-203.22043
38,-1169.967
39,-948.7992
40,-33.312748
41,-898.0462
42,268.27402
43,-174.4611
44,-1078.1527
45,-808.0963
46,-1439.2397
47,-907.9108
48,-1153.728
49,-1005.78595
50,-886.37506
51,-1251.4901
52,-871.5201
53,-964.0572
54,117.64904
55,-134.42589
56,-169.95581
57,-52.51059
58,-895.82886
59,-98.455345
60,7.779924
61,-848.3883
62,53.131878
63,-916.6402
64,-1228.7949
65,-931.0299
66,252.51491
67,-1110.9761
68,185.05757
69,111.800224
70,-1196.7296
71,-1377.5068
72,-1245.2424
73,-825.8482
74,-1008.56995
75,107.54556
76,-134.52809
77,-11.470957
78,-49.738945
79,291.19107
80,-46.05526
81,18.759136
82,-59.97937
83,252.1364
84,-1003.5817
85,-1064.6217
86,85.865425
87,-923.2248
88,225.69017
89,-868.5178
90,-955.4501
91,-1004.6354
92,-946.6427
93,-612.30426
94,-1168.7534
95,-977.62714
96,-848.3832
97,-932.59674
98,-1474.4193
99,-1300.42
100,-1054.3032
