time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/n_updates,train/clip_range,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss
156,1,32768,209,593.1020408163265,1281.7839,,,,,,,,,,,
342,2,65536,191,582.91,1082.467,0.6481093168258667,1240,0.2,0.5957916259765625,0.001,0.104588404,0.06367464266259049,23297.730872154236,0.2261696457862854,-3.8975566362030802,2852.910400390625
528,3,98304,186,578.0,1044.9426,0.6508335471153259,1250,0.2,0.47841796875,0.001,0.068094455,0.029442331854352233,11713.70595407486,0.4925769567489624,-3.9324410436674953,5186.384765625
714,4,131072,183,582.37,1204.9819,0.655238687992096,1260,0.2,0.4655731201171875,0.001,0.06477255,0.026566629192529945,11072.791976737975,0.38992273807525635,-3.953294244222343,5919.04296875
909,5,163840,180,591.15,1285.2795,0.6605525016784668,1270,0.2,0.4539031982421875,0.001,0.06231507,0.025282584330216195,7645.048107147217,0.4469122886657715,-3.982105337642133,2334.5078125
1169,6,196608,168,595.71,1308.3684,0.6651108860969543,1280,0.2,0.4466339111328125,0.001,0.057040744,0.019484813083363407,7659.210073041916,0.27108514308929443,-4.012416165042668,1610.8470458984375
1357,7,229376,168,590.59,1112.1101,0.6708674430847168,1290,0.2,0.4388031005859375,0.001,0.05762802,0.02040193566144808,5992.645495486259,0.3598847985267639,-4.048978583514691,889.1210327148438
1548,8,262144,169,590.1,1048.4105,0.6759530305862427,1300,0.2,0.3937530517578125,0.001,0.044983596,0.013182840208992274,4854.272809195519,0.3504645824432373,-4.072501360625028,1255.05859375
1736,9,294912,169,586.56,1217.1597,0.6796064972877502,1310,0.2,0.3943817138671875,0.001,0.044997375,0.013322744649622109,5104.689279961586,0.3455950617790222,-4.091056903637946,1391.2666015625
1924,10,327680,170,588.52,1290.4016,0.6799205541610718,1320,0.2,0.38695068359375,0.001,0.04547406,0.012622294882658026,5145.901995539665,0.367633581161499,-4.1069905830547215,1248.3824462890625
2112,11,360448,170,581.66,1339.5327,0.6794438362121582,1330,0.2,0.34935302734375,0.001,0.038257234,0.010259318431144493,5422.590971446038,0.32579344511032104,-4.10614598095417,1150.07177734375
2301,12,393216,170,590.6,1249.4033,0.6754277944564819,1340,0.2,0.3254730224609375,0.001,0.036146823,0.007350789024985716,4900.940422511101,0.3355553150177002,-4.097143068537116,687.2294921875
