rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
601.0,257,32768,1,127,1609.8082,,,,,,,,,,,,,
591.969387755102,247,65536,2,264,1310.4204,0.19978243112564087,0.097977936,4854.10302734375,0.6438266038894653,0.5715789794921875,0.061341039105900566,1240,0.2,24023.043912506102,0.001,-3.8809173945337534,,
577.33,250,98304,3,391,1184.1208,0.450250506401062,0.044186383,2225.7470703125,0.643805980682373,0.3850311279296875,0.02022252150600252,1250,0.2,15085.195894050597,0.001,-3.895343178510666,,
586.67,253,131072,4,516,1043.0571,0.38619303703308105,0.04582001,1565.568359375,0.6457111835479736,0.3934906005859375,0.01866368709670496,1260,0.2,10750.03180103302,0.001,-3.9008970353752375,,
585.92,256,163840,5,637,1217.4122,0.45112574100494385,0.04643217,1687.2750244140625,0.6482054591178894,0.413751220703125,0.019639888648089254,1270,0.2,7604.036759757995,0.001,-3.917492747679353,,
575.71,258,196608,6,760,1128.2915,0.4064600467681885,0.042878643,1115.533935546875,0.6455074548721313,0.364111328125,0.012645760477789736,1280,0.2,7200.7269576072695,0.001,-3.914214074611664,,
580.84,259,229376,7,883,1194.8696,0.4020875096321106,0.03839386,1101.7178955078125,0.6434886455535889,0.3431854248046875,0.011586099175110576,1290,0.2,7133.173929595947,0.001,-3.897190405800939,,
583.51,260,262144,8,1007,1248.5453,0.4185436964035034,0.03980483,840.7398681640625,0.6436115503311157,0.36270751953125,0.013435152977399412,1300,0.2,5129.901800394058,0.001,-3.890766255557537,,
582.72,260,294912,9,1130,1191.9773,0.32237040996551514,0.03667658,838.3519287109375,0.6393167972564697,0.3552581787109375,0.010965359675537911,1310,0.2,6043.448918628693,0.001,-3.876344532519579,,
595.73,259,327680,10,1261,1235.9519,0.4552026391029358,0.03529395,424.83306884765625,0.6355699896812439,0.3381378173828125,0.009221974489628337,1320,0.2,4192.728780174255,0.001,-3.8492078203707933,,
601.0,258,360448,11,1393,1301.0582,0.44531333446502686,0.037061803,505.1500244140625,0.6301513910293579,0.3390869140625,0.008852700556599303,1330,0.2,4188.893304252624,0.001,-3.819266992807388,,
596.04,258,393216,12,1519,1231.0153,0.5214312970638275,0.03442397,692.9756469726562,0.6299876570701599,0.3296783447265625,0.008506133733317257,1340,0.2,3539.4025189399717,0.001,-3.8052765101194383,,
589.85,259,425984,13,1644,1179.6748,0.43362241983413696,0.035732094,654.7100830078125,0.6294888257980347,0.320794677734375,0.007647864396130899,1350,0.2,4020.8039746284485,0.001,-3.80448763910681,,
595.71,260,458752,14,1759,1344.9056,0.5093562006950378,0.032965925,482.0968017578125,0.6249622106552124,0.313116455078125,0.00734870387641422,1360,0.2,3598.3183947086336,0.001,-3.783855746872723,,
601.0,262,491520,15,1874,1488.5242,0.4168276786804199,0.03165786,367.3848876953125,0.6219402551651001,0.3092010498046875,0.00509149111876468,1370,0.2,4114.39714884758,0.001,-3.764974165149033,,
594.49,263,524288,16,1990,1460.7086,0.3963404893875122,0.032616626,477.50189208984375,0.6165770292282104,0.31734619140625,0.006226898903514666,1380,0.2,4046.9958169937136,0.001,-3.7343354558572175,,
584.67,264,557056,17,2105,1309.6152,0.41110020875930786,0.03249394,1068.2091064453125,0.6116716861724854,0.3122314453125,0.006733013837765612,1390,0.2,4838.282218170166,0.001,-3.7063750833272935,,
587.17,265,589824,18,2221,1215.8588,0.458942174911499,0.030146666,677.3509521484375,0.6087676286697388,0.2982666015625,0.0055415214257664045,1400,0.2,4672.375080966949,0.001,-3.6802081555128097,,
581.05,266,622592,19,2337,1033.7172,0.5513901710510254,0.029558824,892.7686157226562,0.6073071956634521,0.29884033203125,0.003347493625187781,1410,0.2,3994.94399766922,0.001,-3.669419914484024,,
577.2,267,655360,20,2452,1160.9966,0.5457278192043304,0.028626518,562.6868896484375,0.6034337282180786,0.2950286865234375,0.004486483708024025,1420,0.2,3840.9527854919434,0.001,-3.644526846334338,,
584.77,268,688128,21,2567,1109.3466,0.5786917805671692,0.028882224,502.3372802734375,0.6034421920776367,0.2815826416015625,0.004151928045212116,1430,0.2,3260.4003650188447,0.001,-3.6345244962722063,,
600.49,268,720896,22,2682,1343.1796,0.5452620089054108,0.03282715,382.91326904296875,0.6015470623970032,0.3203521728515625,0.00796325104238349,1440,0.2,3014.914789390564,0.001,-3.6287347342818976,,
600.4,269,753664,23,2800,1298.6085,0.5411008298397064,0.031897284,497.0551452636719,0.6017614006996155,0.31561279296875,0.004999119485364645,1450,0.2,4303.50482430458,0.001,-3.6296063117682933,,
599.95,269,786432,24,2916,1388.5986,0.5928692817687988,0.029205356,840.8801879882812,0.5981123447418213,0.28929443359375,0.0047357490506328755,1460,0.2,3443.8203172683716,0.001,-3.61585144829005,,
597.45,270,819200,25,3031,1547.9332,0.5437057912349701,0.029983165,818.07666015625,0.5969430208206177,0.2872406005859375,0.004920306777785299,1470,0.2,3806.0781897068023,0.001,-3.6001775030046703,,
591.88,270,851968,26,3146,1556.0043,0.5230553150177002,0.030963147,491.33447265625,0.5955520868301392,0.29617919921875,0.006067378893021669,1480,0.2,3919.1801348686217,0.001,-3.591288456134498,,
595.63,271,884736,27,3262,1757.8046,0.5227674245834351,0.02969062,609.7112426757812,0.595047652721405,0.29232177734375,0.003787390596153273,1490,0.2,3709.0724205493925,0.001,-3.583456018194556,,
595.69,271,917504,28,3377,1557.7675,0.5160676836967468,0.031380594,347.661376953125,0.5900983810424805,0.3158966064453125,0.005291395534368348,1500,0.2,3589.481041431427,0.001,-3.5612996151670813,,
581.29,272,950272,29,3492,1233.7775,0.584237277507782,0.031448875,680.712158203125,0.5879433155059814,0.2830078125,0.004769041872350499,1510,0.2,3332.0405605793,0.001,-3.539578464068472,,
585.15,271,983040,30,3616,1576.0111,0.6021251082420349,0.030568592,552.3504638671875,0.5862248539924622,0.2938690185546875,0.005179457796839415,1520,0.2,2939.204262113571,0.001,-3.5290119368582964,,
601.0,271,1015808,31,3738,1667.4528,0.5849339365959167,0.029376443,328.90087890625,0.584577202796936,0.2908477783203125,0.004506500176648842,1530,0.2,3073.913102388382,0.001,-3.5146192839369177,,
594.74,271,1048576,32,3856,1583.3209,0.5601731836795807,0.029146636,387.2747802734375,0.5821108818054199,0.2971710205078125,0.0050789665969205085,1540,0.2,3252.4835171699524,0.001,-3.4990764003247024,,
590.59,272,1081344,33,3971,1780.2278,0.5397078096866608,0.03262026,442.3089294433594,0.5811076164245605,0.30723876953125,0.005815453242394142,1550,0.2,3428.420649719238,0.001,-3.4886375553905964,,
595.69,272,1114112,34,4086,1728.7527,0.5870437026023865,0.029424842,373.412109375,0.5776951313018799,0.2955352783203125,0.003638600247541035,1560,0.2,3334.4766034603117,0.001,-3.469474140368402,,
601.0,272,1146880,35,4203,2109.7024,0.6133049428462982,0.031432584,479.5591735839844,0.5741622447967529,0.2968353271484375,0.004017515072700917,1570,0.2,3127.079975271225,0.001,-3.4469871362671256,,
595.8,272,1179648,36,4321,1918.1859,0.5567678511142731,0.028823435,504.0107727050781,0.5708379149436951,0.2870697021484375,0.0057194488572349655,1580,0.2,4936.859402513504,0.001,-3.4274188982322813,,
598.99,273,1212416,37,4437,1778.2473,0.6309215128421783,0.03381835,297.5433654785156,0.5674378275871277,0.3027435302734375,0.004533755249576643,1590,0.2,3170.290930008888,0.001,-3.4051411932334306,,
596.36,273,1245184,38,4553,1604.1355,0.6680558025836945,0.032441895,1200.3927001953125,0.5665969848632812,0.311181640625,0.006743749159068102,1600,0.2,3435.0926463603973,0.001,-3.3934726612642407,,
595.98,273,1277952,39,4668,1239.8611,0.7363467514514923,0.03436886,375.76434326171875,0.5652303099632263,0.30496826171875,0.004811940638501255,1610,0.2,2773.307678461075,0.001,-3.381303020007908,,
594.4,274,1310720,40,4783,1075.2557,0.7228206098079681,0.030798558,290.061279296875,0.5631074905395508,0.295245361328125,0.004980904669355368,1620,0.2,3142.7239915847777,0.001,-3.3661911338567734,,
588.26,274,1343488,41,4898,993.8655,0.7244556844234467,0.032680646,649.49951171875,0.5594252943992615,0.3072113037109375,0.005255776406920631,1630,0.2,3671.0393710374833,0.001,-3.3465967308729887,,
598.6,274,1376256,42,5013,1133.1254,0.7567306905984879,0.033517674,526.6217651367188,0.5597648024559021,0.3029541015625,0.0035094968025077833,1640,0.2,2521.347974228859,0.001,-3.3295335967093704,,
586.37,274,1409024,43,5128,1353.5409,0.7012416124343872,0.028046131,345.4908142089844,0.5585652589797974,0.2840118408203125,0.004378333452768857,1650,0.2,3161.2868605136873,0.001,-3.3404987985268235,,
592.82,274,1441792,44,5245,1433.5552,0.7105934023857117,0.030033078,570.8653564453125,0.5571504831314087,0.2953582763671875,0.005320215905157966,1660,0.2,4406.808053398132,0.001,-3.3222129363566637,,
600.7,275,1474560,45,5360,1426.278,0.7598109543323517,0.02880609,355.3662109375,0.5549389123916626,0.288671875,0.004529964728135383,1670,0.2,2762.0465729951857,0.001,-3.311978301219642,,
595.7,275,1507328,46,5476,1504.9733,0.6733343601226807,0.03215927,420.2344055175781,0.5537968277931213,0.310040283203125,0.005387767292450008,1680,0.2,3077.0234307527544,0.001,-3.299071469902992,,
595.96,275,1540096,47,5591,1726.1201,0.6893369257450104,0.030995462,301.8989562988281,0.5521125793457031,0.309027099609375,0.005174362556135748,1690,0.2,3255.8853264808654,0.001,-3.29513563234359,,
600.01,275,1572864,48,5711,1703.2113,0.6485059261322021,0.029150741,577.5030517578125,0.5515890121459961,0.28319091796875,0.00312640245865623,1700,0.2,3440.7030610084535,0.001,-3.2851740386337043,,
,,1600000,,,,0.6514551341533661,0.029351508,928.6498413085938,0.5517520308494568,0.28720703125,0.006138512961479136,1710,0.2,3579.0984538555144,0.001,-3.282990528084338,1931.5367431640625,450.96
600.01,266,1605632,49,6027,1681.3817,,,,,,,,,,,,,
596.36,266,1638400,50,6142,2002.2842,0.6539837121963501,0.030041192,570.4715576171875,0.545539379119873,0.2848052978515625,0.003983749194958364,1720,0.2,3792.0230793476103,0.001,-3.258344483561814,,
586.48,267,1671168,51,6258,1810.591,0.660123199224472,0.030082231,480.28277587890625,0.5426761507987976,0.2916961669921875,0.003638395404232142,1730,0.2,3510.2980490207674,0.001,-3.226480004191399,,
595.07,267,1703936,52,6373,1653.8992,0.6230727136135101,0.02817591,552.82568359375,0.5414394736289978,0.27464599609375,0.004572030856070342,1740,0.2,3506.9044949531553,0.001,-3.2169967532157897,,
595.5,267,1736704,53,6491,1869.2269,0.6354863047599792,0.03131178,1516.9814453125,0.5418902635574341,0.2899078369140625,0.004808689503261121,1750,0.2,3608.203141498566,0.001,-3.2014216680079697,,
595.5,267,1769472,54,6613,1819.0095,0.63570237159729,0.028748253,417.8800354003906,0.5396912097930908,0.299371337890625,0.006232118801563047,1760,0.2,3707.936615180969,0.001,-3.2008519979193806,,
601.0,267,1802240,55,6736,2064.3767,0.6797069311141968,0.02921155,378.4044494628906,0.5384108424186707,0.2820709228515625,0.003535637157983729,1770,0.2,2623.0236154556274,0.001,-3.1885223807767034,,
601.0,267,1835008,56,6851,2362.7505,0.6067470908164978,0.029219396,659.1176147460938,0.5337797403335571,0.2866180419921875,0.006561018857064482,1780,0.2,4724.139078044891,0.001,-3.1641397155821323,,
601.0,267,1867776,57,6970,2348.458,0.6636150479316711,0.02645482,466.59930419921875,0.5336973071098328,0.2743316650390625,0.004076578414424148,1790,0.2,3672.0047233581545,0.001,-3.1484673719853165,,
601.0,267,1900544,58,7093,2245.4663,0.6560947000980377,0.025684267,894.7301025390625,0.5333784818649292,0.267413330078125,0.00312751382971328,1800,0.2,4586.222599792481,0.001,-3.149507994018495,,
601.0,267,1933312,59,7216,2111.1055,0.6839655637741089,0.026369002,380.5162658691406,0.5319105386734009,0.2653778076171875,0.0019560662880394376,1810,0.2,3009.247634744644,0.001,-3.143131725117564,,
594.43,267,1966080,60,7342,2146.6091,0.6726934909820557,0.025158722,484.991455078125,0.5314079523086548,0.2568359375,0.0025888158541420127,1820,0.2,3451.905189418793,0.001,-3.1347155958414077,,
584.85,267,1998848,61,7463,2039.1836,0.6386409401893616,0.024776567,506.3131408691406,0.5311121940612793,0.246826171875,0.003681880175281549,1830,0.2,3899.7431243896485,0.001,-3.130779746733606,,
583.55,268,2031616,62,7578,1792.8975,0.6744037568569183,0.026009848,342.5274353027344,0.5290195345878601,0.2556182861328125,0.004810349603758368,1840,0.2,4103.313679146767,0.001,-3.1201983794569967,,
