Episode,Reward
1,-122.96242
2,920.1253
3,1662.9641
4,3281.1865
5,4458.5547
6,5662.0815
7,2124.3638
8,1423.8583
9,683.75824
10,2596.3923
11,3632.3772
12,2529.9297
13,1524.6055
14,256.76437
15,275.1612
16,1492.6635
17,1859.1432
18,4190.3374
19,275.72906
20,156.87805
21,3382.1453
22,447.89755
23,1323.5175
24,731.5612
25,363.21423
26,305.37704
27,2282.6836
28,6109.569
29,2537.479
30,4971.911
31,4330.8413
32,1361.52
33,-1136.3287
34,899.24347
35,1908.6194
36,3005.2039
37,1282.0898
38,1922.8296
39,905.12006
40,1740.3904
41,145.71661
42,3364.4136
43,1783.6345
44,456.98264
45,2390.0034
46,1678.4775
47,4343.913
48,6220.8174
49,2369.2197
50,1172.0421
51,1995.8136
52,-74.62694
53,1105.8391
54,4654.455
55,2157.7297
56,-825.06616
57,-1153.2483
58,-161.33134
59,2653.5486
60,3439.637
61,-19.973595
62,3220.9524
63,1289.0997
64,295.27042
65,3209.395
66,1574.6642
67,446.9462
68,2474.0542
69,-1065.1877
70,2629.0906
71,5758.8345
72,3322.973
73,1947.6631
74,3871.0376
75,2548.0105
76,1531.0615
77,1202.6782
78,2237.3267
79,3122.8894
80,2059.0151
81,3065.0435
82,6804.0576
83,2913.9573
84,1025.1345
85,75.5013
86,-913.6255
87,2254.5193
88,1031.0005
89,1502.7057
90,3523.2302
91,-1135.3936
92,921.0245
93,1624.7401
94,1444.7407
95,1029.5383
96,2341.2256
97,367.44803
98,323.00314
99,1479.1019
100,1580.132
