Episode,Reward
1,211.24632
2,-931.4488
3,6218.1724
4,9322.577
5,4203.4043
6,7796.1494
7,3706.1458
8,6161.731
9,4121.0034
10,4317.5557
11,6548.8164
12,4724.797
13,5236.369
14,6597.2607
15,11629.1
16,2940.2322
17,7522.9165
18,304.79565
19,1287.6223
20,835.77167
21,6568.114
22,5749.333
23,6282.646
24,4261.403
25,1069.3032
26,195.40407
27,5080.1294
28,9171.054
29,11778.057
30,5136.467
31,8463.837
32,5242.764
33,5260.5205
34,246.12634
35,4481.7437
36,7455.3994
37,-249.83707
38,7308.226
39,7905.557
40,5084.6777
41,4780.1694
42,4214.8228
43,5088.0103
44,9032.65
45,-228.63245
46,8499.028
47,6464.8247
48,5043.537
49,4388.648
50,3439.2864
51,2884.502
52,5511.825
53,436.84006
54,548.2231
55,3640.1084
56,5805.525
57,7759.3906
58,9658.886
59,-603.4551
60,3083.9656
61,7645.9204
62,7283.0547
63,7604.7974
64,5603.863
65,9748.788
66,3242.5347
67,12075.497
68,4466.905
69,4460.2915
70,3596.284
71,344.62988
72,5473.542
73,8313.055
74,1019.9409
75,2349.1755
76,342.81607
77,6414.6367
78,6644.043
79,5913.3203
80,3102.4036
81,7429.3066
82,10576.448
83,4321.645
84,-865.5788
85,-374.2445
86,-585.5588
87,2678.7002
88,2297.57
89,6596.156
90,9827.284
91,1252.6935
92,6871.0596
93,296.83673
94,3545.4338
95,2887.685
96,9318.014
97,9564.509
98,4492.4575
99,-865.778
100,7742.711
