time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/std,train/value_loss,train/approx_kl,train/loss
1,377.0416666666667,1244.4445,400,32768,81,,,,,,,,,,,
2,432.78,1029.0,351,65536,186,0.0010780641592646133,0.0945587158203125,2480,0.0001,0.2,-1.9468784926459193,0.5380910336971283,0.39448004961013794,25455.15778656006,0.0105413385,8013.025390625
3,403.5,791.0,345,98304,284,0.001641648596705636,0.099969482421875,2490,0.0001,0.2,-1.9464431228116155,0.6393411755561829,0.3944765329360962,21017.385402679443,0.01181561,7278.2998046875
4,439.9,806.0,339,131072,385,0.00045962022923049515,0.079937744140625,2500,0.0001,0.2,-1.9457021541893482,0.5669035911560059,0.39431920647621155,46641.892111206056,0.0084443735,9173.84375
5,419.71,720.0,335,163840,487,0.0014734654333551588,0.066436767578125,2510,0.0001,0.2,-1.9442162849009037,0.4329391121864319,0.39415937662124634,76145.34445648194,0.007924173,4554.65576171875
6,448.55,789.0,334,196608,587,0.0004216684186758357,0.0696563720703125,2520,0.0001,0.2,-1.9428237413987517,0.4785982370376587,0.39406538009643555,73655.62804641723,0.00839672,4501.72802734375
7,489.05,931.0,332,229376,690,-0.00024453635305690116,0.047601318359375,2530,0.0001,0.2,-1.9425089225172996,0.733877032995224,0.3940778970718384,15615.685984802247,0.0068931337,6552.20947265625
8,491.51,952.0,329,262144,794,-0.00034245813367306255,0.0327667236328125,2540,0.0001,0.2,-1.9426321910694242,0.6887557506561279,0.3941013813018799,25363.006663513184,0.005161329,5870.61083984375
9,478.07,708.0,328,294912,898,0.0005150317711013486,0.0396240234375,2550,0.0001,0.2,-1.9421344393864275,0.5603592693805695,0.39395463466644287,54770.12000808716,0.005941682,7653.17431640625
10,505.2,774.0,328,327680,997,-1.0669786342987209e-05,0.0518463134765625,2560,0.0001,0.2,-1.940924440510571,0.4381580352783203,0.39387398958206177,103200.5596496582,0.0066130226,134155.46875
11,467.09,740.0,329,360448,1094,0.0001202526846100227,0.0642822265625,2570,0.0001,0.2,-1.940052174963057,0.5400595366954803,0.3937819302082062,77620.62217178344,0.006823633,31441.458984375
12,520.13,966.0,324,393216,1212,0.0007672598738281522,0.0735595703125,2580,0.0001,0.2,-1.9394137000665068,0.48226696252822876,0.3937571346759796,118183.7461807251,0.0093385335,25563.541015625
13,493.83,1074.0,322,425984,1319,0.00014627758973801975,0.0404937744140625,2590,0.0001,0.2,-1.9382075970992445,0.6840448677539825,0.3935258090496063,22916.30909500122,0.0061085676,18872.765625
14,510.5,867.0,320,458752,1429,0.0002769713308225619,0.0390899658203125,2600,0.0001,0.2,-1.9366374963894486,0.6512480080127716,0.3934810161590576,25982.30789337158,0.0056330315,13485.5625
15,515.87,784.0,317,491520,1547,0.00014602457940782188,0.0751220703125,2610,0.0001,0.2,-1.9363731488585472,0.3866874575614929,0.3934735655784607,151957.85581054687,0.009080069,34297.55078125
16,588.41,746.0,314,524288,1664,-0.00016877958078111987,0.0422576904296875,2620,0.0001,0.2,-1.935897959023714,0.6441098749637604,0.3933728337287903,29089.085890197755,0.005869212,3630.984619140625
