time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/std,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/approx_kl
32768,422,77,1,-15203.081,333.2022471910112,,,,,,,,,,,
65536,224,292,2,-16775.305,327.77,0.3403228759765625,0.0001,0.015307501589677485,22052021.752546214,0.0030549168586730957,0.39458268880844116,32363800.0,-1.9473917712806723,2480,0.2,0.033142406
98304,194,505,3,-10686.418,329.51,0.177325439453125,0.0001,0.005294647966582034,23082731.230782963,0.08985358476638794,0.39454203844070435,29800.818359375,-1.946988253830932,2490,0.2,0.017388644
131072,181,720,4,-13789.765,328.86,0.1117034912109375,0.0001,0.002530299453928819,21315664.554139055,0.12053108215332031,0.3943558931350708,4591.8232421875,-1.9460066374391318,2500,0.2,0.010983754
163840,175,934,5,-22078.973,305.64,0.1234710693359375,0.0001,0.004226641546870269,30942628.707809925,0.10471498966217041,0.394266277551651,15545.384765625,-1.9444919219706207,2510,0.2,0.011660282
196608,170,1153,6,-35308.45,333.85,0.1035736083984375,0.0001,0.003220289990554193,28181047.726860236,0.0754900574684143,0.39430883526802063,50157340.0,-1.9441199455643072,2520,0.2,0.010114087
229376,167,1367,7,-12489.437,313.25,0.13572998046875,0.0001,0.005737274440741657,65717216.6163774,0.11495095491409302,0.3942849040031433,75640840.0,-1.9443994960281998,2530,0.2,0.011541051
262144,165,1586,8,-11836.915,330.2,0.1358856201171875,0.0001,0.0032908851910406155,21899758.277887248,0.12907099723815918,0.3943414092063904,12975658.0,-1.9443868515081704,2540,0.2,0.012419403
294912,163,1808,9,-23533.266,338.83,0.1061981201171875,0.0001,0.0028876205254505295,18024811.317884993,0.17287862300872803,0.39431190490722656,6323.18408203125,-1.9446596416528337,2550,0.2,0.010124411
327680,161,2027,10,-4496.892,326.6,0.1461090087890625,0.0001,0.003987580682610315,41137277.550281145,0.1294044852256775,0.39433446526527405,12757.962890625,-1.9446123279281893,2560,0.2,0.013785383
360448,160,2247,11,-1153.9001,325.93,0.08892822265625,0.0001,0.0014429497374010224,5548110.001630699,0.25903207063674927,0.39434415102005005,32318304.0,-1.9447511632926762,2570,0.2,0.008574962
393216,159,2470,12,-24801.914,327.97,0.1005279541015625,0.0001,0.0012490007240899103,1480100.9845270037,0.19050860404968262,0.39414799213409424,3195.455322265625,-1.9440870036953128,2580,0.2,0.008709157
425984,158,2689,13,-12457.598,331.5,0.1070587158203125,0.0001,0.002995118596300017,49055390.065414146,0.11280661821365356,0.39406317472457886,4142.2041015625,-1.942603981855791,2590,0.2,0.009782859
458752,157,2908,14,-21244.34,329.06,0.104840087890625,0.0001,0.002600208950752858,23225106.145205773,0.14303088188171387,0.39397668838500977,2832.271728515625,-1.9417532105348072,2600,0.2,0.009889328
491520,157,3124,15,-4068.0376,315.48,0.150048828125,0.0001,0.006191597259817172,42084573.67998431,0.07209128141403198,0.394079327583313,11409208.0,-1.9415370885981247,2610,0.2,0.013232624
524288,156,3345,16,-10733.423,325.5,0.09339599609375,0.0001,0.0012399220383827014,7024619.710712874,0.1041674017906189,0.39402157068252563,32715224.0,-1.9423244260833599,2620,0.2,0.009062241
557056,156,3564,17,-8102.69,321.43,0.094488525390625,0.0001,0.0016198981292859572,16729998.125444705,0.14844930171966553,0.39391499757766724,6446.18310546875,-1.940680874476675,2630,0.2,0.009101334
589824,155,3783,18,-2649.9353,315.45,0.0885284423828125,0.0001,0.00028905877246643286,11486865.389389807,0.17841708660125732,0.3936362862586975,792424.5625,-1.9400445494335146,2640,0.2,0.0082063945
622592,155,4000,19,-19465.848,325.77,0.1047454833984375,0.0001,0.0013970062061048338,20879763.624536462,0.16065841913223267,0.39387595653533936,5901.4013671875,-1.9388094486901537,2650,0.2,0.009260791
655360,155,4217,20,-1477.4341,315.44,0.0770751953125,0.0001,0.0010890138520608162,20149623.709175307,0.17080819606781006,0.3936921954154968,32894.9453125,-1.9392460070317612,2660,0.2,0.0083636725
688128,155,4438,21,-7448.233,320.25,0.0915374755859375,0.0001,0.0005940692252863755,2031152.2599218965,0.13431203365325928,0.3933834433555603,862.076416015625,-1.9372676512110047,2670,0.2,0.007965766
720896,154,4659,22,-11550.844,335.91,0.083245849609375,0.0001,0.0012416193236504114,9829381.633818215,0.18608617782592773,0.39312222599983215,7706.099609375,-1.933795121498406,2680,0.2,0.008120898
753664,153,4894,23,-13586.478,326.2,0.1260467529296875,0.0001,0.002991994098931627,14486808.672934521,0.01873236894607544,0.3928371071815491,23774462.0,-1.931008054036647,2690,0.2,0.010764706
