Episode,Reward
1,533.76984
2,-2134.6282
3,-2026.4727
4,-2440.5574
5,-1866.937
6,-1150.2314
7,996.52484
8,463.23846
9,5074.474
10,2718.4011
11,2690.9792
12,-2919.6338
13,8823.461
14,6146.0225
15,-2087.3394
16,-2394.125
17,-661.94025
18,-1015.3365
19,550.90765
20,-1068.2239
21,7508.826
22,-3140.6316
23,-1106.8815
24,-2365.2166
25,-2596.1028
26,-10074.437
27,8702.698
28,-6684.8916
29,-977.63684
30,-1176.3939
31,-512.37756
32,1275.4393
33,-2413.392
34,-1818.1383
35,2018.8191
36,-2535.9065
37,7256.664
38,-2047.0167
39,1952.8525
40,-2370.1477
41,-1302.0537
42,5941.581
43,-2825.9211
44,9952.368
45,-960.1208
46,-714.93304
47,1863.0975
48,-1544.4865
49,-18210.553
50,3220.5076
51,-503.32797
52,2017.4539
53,-2297.1882
54,-2425.1467
55,2364.0176
56,1773.4698
57,-1573.7965
58,1407.7036
59,-1995.3943
60,-2610.7825
61,-1640.832
62,-1393.9934
63,11310.995
64,970.9933
65,1631.8596
66,-2134.7275
67,1334.3969
68,-2349.498
69,3837.4644
70,-2774.3916
71,-2304.2192
72,-1033.1833
73,-1804.9542
74,2222.743
75,-2255.6228
76,-2271.5896
77,-1222.8046
78,-2091.8867
79,-1889.4182
80,-585.51355
81,-1470.4999
82,1943.3624
83,3511.7952
84,4851.1675
85,-3144.3042
86,7334.355
87,1378.9843
88,-699.1151
89,206.07854
90,5048.0083
91,1623.9692
92,-2238.9395
93,1538.0365
94,-15787.368
95,-2097.5488
96,-2274.9631
97,-886.7249
98,-734.99225
99,-3463.694
100,6355.993
