time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward
32768,117,1,342.375,655.7363,278,,,,,,,,,,,,,
65536,242,2,347.97,917.8669,270,0.0020461540496398813,0.011343061923980713,28459.52734375,0.0001,63182.32825927735,0.1004730224609375,2480,0.39460113644599915,-1.9474408481270076,0.010288106,0.2,,
98304,364,3,349.41,876.21326,269,0.00145933321218763,0.20249837636947632,23232.748046875,0.0001,60321.69718017578,0.072625732421875,2490,0.39457207918167114,-1.9474271234124898,0.009014235,0.2,,
131072,489,4,371.47,928.5832,267,0.0008963487489381805,0.3265995979309082,23526.697265625,0.0001,53986.19823608398,0.079498291015625,2500,0.3944593071937561,-1.9466920875012874,0.00949331,0.2,,
163840,614,5,376.06,892.34326,266,-0.0003235660059544898,0.3102981448173523,21834.052734375,0.0001,52972.59594116211,0.0362884521484375,2510,0.39445436000823975,-1.9461020788177847,0.0053675324,0.2,,
196608,740,6,409.17,1222.2195,265,0.0002353675123231369,0.30010998249053955,25034.826171875,0.0001,48195.95074157715,0.0531219482421875,2520,0.39434030652046204,-1.945501328073442,0.0076113613,0.2,,
229376,866,7,415.44,1340.6803,264,-0.00010894711576838744,0.43171656131744385,15423.5087890625,0.0001,47167.02191467285,0.04266357421875,2530,0.39432257413864136,-1.9448205949738622,0.005870081,0.2,,
262144,992,8,452.99,1641.5596,264,0.0003893746470566839,0.4121319651603699,15784.49609375,0.0001,44123.55786743164,0.0511505126953125,2540,0.3942892253398895,-1.9445523956790567,0.0069005536,0.2,,
294912,1122,9,475.07,1727.9027,262,0.0010806261170728249,0.5760314166545868,16137.2451171875,0.0001,37188.779278564456,0.0562042236328125,2550,0.39426085352897644,-1.9442013524472714,0.0072329175,0.2,,
327680,1248,10,443.19,1505.1785,262,-0.00015626804361090763,0.5982258021831512,16217.791015625,0.0001,36512.090196228026,0.0420623779296875,2560,0.39420416951179504,-1.9437853062525392,0.005879291,0.2,,
360448,1374,11,429.22,1351.79,262,0.00026736443742265693,0.5627838373184204,14032.0537109375,0.0001,46341.449200439456,0.04415283203125,2570,0.39415431022644043,-1.9432459542527796,0.0064965063,0.2,,
393216,1500,12,452.37,1682.6848,262,0.0003878317897033412,0.6090875566005707,14236.048828125,0.0001,41325.627124023435,0.04061279296875,2580,0.39412084221839905,-1.9428098026663065,0.0058064815,0.2,,
425984,1625,13,462.71,2038.0956,262,-0.0008332431862982048,0.6124024987220764,17394.91015625,0.0001,40321.73756103516,0.028759765625,2590,0.3940337300300598,-1.942267405241728,0.0053851428,0.2,,
458752,1750,14,456.17,2159.401,262,-0.00016330610142176739,0.6879105865955353,16929.640625,0.0001,38342.535192871095,0.0358551025390625,2600,0.39396002888679504,-1.9414075748994946,0.005389459,0.2,,
491520,1877,15,474.86,2303.887,261,-0.0003020789134097868,0.6521730124950409,16547.3984375,0.0001,41313.29147033692,0.0390289306640625,2610,0.3939395546913147,-1.9409284502267838,0.0055905823,0.2,,
524288,2002,16,467.65,2262.2097,261,0.00036997876777604687,0.6742636859416962,12674.7587890625,0.0001,41054.85728149414,0.037896728515625,2620,0.3938758075237274,-1.9405409209430218,0.006089974,0.2,,
557056,2128,17,465.31,2302.4438,261,-0.0001488305392285838,0.6923669874668121,13382.5234375,0.0001,34165.48586730957,0.02833251953125,2630,0.39389947056770325,-1.9402736080810428,0.0053316536,0.2,,
589824,2255,18,469.42,2268.0808,261,8.835500284476439e-05,0.6712394654750824,16836.9375,0.0001,41275.74931335449,0.028076171875,2640,0.3938556909561157,-1.9401751162484289,0.005011398,0.2,,
622592,2380,19,464.03,2325.151,261,-0.0011183702094967884,0.6718465387821198,14065.3408203125,0.0001,44825.87874450684,0.03829345703125,2650,0.3938300609588623,-1.9398171482607722,0.0051961606,0.2,,
655360,2506,20,473.88,2654.225,261,-0.0002746130791820178,0.6760765910148621,12960.8544921875,0.0001,43409.153549194336,0.0322357177734375,2660,0.39374053478240967,-1.9392576903104781,0.0052820733,0.2,,
688128,2630,21,463.43,2730.8154,261,7.420782148983562e-05,0.6333635449409485,14808.0966796875,0.0001,46800.42802734375,0.030718994140625,2670,0.393749862909317,-1.9388038730248809,0.005235632,0.2,,
720896,2753,22,452.5,2592.6208,261,-0.00023625267540410276,0.6209017038345337,13696.681640625,0.0001,45633.638842773435,0.0280242919921875,2680,0.39372381567955017,-1.9387154135853053,0.0049187215,0.2,,
753664,2876,23,438.84,2551.8884,262,0.0004332464306571637,0.6430950462818146,13970.5625,0.0001,42007.33849792481,0.039642333984375,2690,0.39368507266044617,-1.9383822103962303,0.0054089166,0.2,,
786432,3000,24,451.63,2802.7102,262,0.0002940593480161624,0.6198745965957642,16755.396484375,0.0001,47874.98781738281,0.0436370849609375,2700,0.3936062455177307,-1.9377682197839021,0.005688831,0.2,,
819200,3123,25,461.37,2873.454,262,0.00041570807261450684,0.6326951384544373,14241.7392578125,0.0001,43017.028515625,0.022943115234375,2710,0.3935955762863159,-1.9373251792043447,0.004546101,0.2,,
851968,3247,26,446.82,2762.3496,262,-5.151068025952554e-05,0.626647025346756,15575.7109375,0.0001,44614.045071411136,0.032635498046875,2720,0.3935699462890625,-1.9371965184807778,0.0055352515,0.2,,
884736,3370,27,461.53,2988.3132,262,0.0010413246974167122,0.5782536566257477,22090.779296875,0.0001,48199.58823852539,0.0373077392578125,2730,0.3935201168060303,-1.9368371795862913,0.005692823,0.2,,
917504,3496,28,468.37,2928.311,262,5.522831324924482e-05,0.6863110959529877,15150.5751953125,0.0001,37544.14020080566,0.023040771484375,2740,0.3935117721557617,-1.9365290220826865,0.004342504,0.2,,
