time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/approx_kl,train/clip_range
32768,115,1,332.25555555555553,860.1526,284,,,,,,,,,,,
65536,233,2,363.1,1089.6931,280,0.0022005499398801477,0.005306065082550049,29224.708984375,0.0001,69300.29475097657,0.09962158203125,2480,0.3945545554161072,-1.9472551375627518,0.011978771,0.2
98304,354,3,364.0,981.4343,277,0.0004189158215012867,0.24179959297180176,31708.615234375,0.0001,69125.05595703125,0.05860595703125,2490,0.39453399181365967,-1.9469460345804692,0.008301724,0.2
131072,476,4,393.57,1059.5331,275,0.00022787783709645736,0.29970693588256836,28529.107421875,0.0001,63182.207788085936,0.0503753662109375,2500,0.39446938037872314,-1.946578273922205,0.006933189,0.2
163840,599,5,438.55,1327.7139,273,-0.00011487973533803597,0.4191139340400696,26785.732421875,0.0001,57190.5486328125,0.0452484130859375,2510,0.3944147527217865,-1.9459633566439152,0.007149729,0.2
196608,721,6,448.57,1232.2405,272,0.00010497107359697111,0.5201391875743866,21504.44140625,0.0001,48836.541674804685,0.0446868896484375,2520,0.3944012522697449,-1.9456121131777764,0.0063838325,0.2
229376,843,7,449.54,1235.4442,271,-0.00015338239500124474,0.5319284200668335,19158.7109375,0.0001,49906.503149414064,0.0200439453125,2530,0.39439690113067627,-1.9455239474773407,0.0041666613,0.2
262144,961,8,470.36,1421.4001,272,-9.379736293340102e-05,0.5982320606708527,20040.603515625,0.0001,47508.22641601563,0.022650146484375,2540,0.3943750560283661,-1.9453847959637642,0.004113243,0.2
294912,1080,9,486.97,1494.1321,272,0.00023669032925681676,0.6299373507499695,21113.26171875,0.0001,49407.1044921875,0.0251220703125,2550,0.3943483829498291,-1.9451331958174705,0.0051903874,0.2
327680,1201,10,537.49,1721.1581,272,-0.0001255313170986483,0.710713267326355,15969.5771484375,0.0001,41996.36500244141,0.0309844970703125,2560,0.39431968331336975,-1.9448580645024776,0.0053552184,0.2
360448,1320,11,516.04,1687.432,272,-0.0009154744999250397,0.7289444804191589,17652.14453125,0.0001,41919.9342163086,0.0118133544921875,2570,0.39429953694343567,-1.9446040235459805,0.0033884665,0.2
393216,1441,12,491.63,1761.2712,272,-0.0012088950948964338,0.6988113522529602,16762.21875,0.0001,47136.87734375,0.0286102294921875,2580,0.39429014921188354,-1.9444728262722493,0.005631905,0.2
425984,1560,13,480.87,1560.5275,273,-0.0010215563968813512,0.7058743238449097,18413.0546875,0.0001,49112.99714355469,0.02373046875,2590,0.39426741003990173,-1.944309812784195,0.004710311,0.2
458752,1679,14,490.57,1713.0062,273,-0.0010151099944778253,0.6756682991981506,24244.333984375,0.0001,55741.4453125,0.02210693359375,2600,0.39420992136001587,-1.9439063541591168,0.0047938945,0.2
491520,1799,15,498.97,1939.2778,273,3.9136609848355876e-05,0.7196171581745148,20641.580078125,0.0001,50019.38774414062,0.03372802734375,2610,0.39417165517807007,-1.943376986682415,0.005945226,0.2
524288,1921,16,469.63,1794.6199,272,-0.0005418833479780005,0.6812979876995087,22220.16015625,0.0001,57321.55119628906,0.0322784423828125,2620,0.39416325092315674,-1.943126817792654,0.005385678,0.2
557056,2041,17,470.35,1879.7476,272,-0.00024997472610266414,0.6553227305412292,21621.841796875,0.0001,54324.91413574219,0.014678955078125,2630,0.39416202902793884,-1.9430656500160695,0.0039348807,0.2
589824,2160,18,513.3,2078.1997,273,-0.00022696215200994628,0.6439606249332428,22665.779296875,0.0001,54550.3310546875,0.011260986328125,2640,0.3941476345062256,-1.9430008389055728,0.0031802282,0.2
622592,2278,19,517.16,2170.7148,273,4.700895806308835e-06,0.6395552456378937,21211.125,0.0001,50159.08247070313,0.0144439697265625,2650,0.39412569999694824,-1.9428143471479415,0.004187115,0.2
655360,2397,20,465.13,1912.0702,273,-0.0005487099755555391,0.631389856338501,20769.40625,0.0001,54388.62548828125,0.020001220703125,2660,0.39409324526786804,-1.9425369121134282,0.0047390475,0.2
688128,2514,21,446.24,2109.3115,273,-0.001620032946811989,0.6411061584949493,23642.45703125,0.0001,54336.24184570312,0.013067626953125,2670,0.3940916657447815,-1.9423416540026666,0.0036629885,0.2
720896,2630,22,457.2,2272.903,274,-0.0004883497203991283,0.5647014677524567,27256.400390625,0.0001,63470.57038574219,0.0086578369140625,2680,0.3941126763820648,-1.9424488455057145,0.003533317,0.2
753664,2749,23,489.37,2363.1755,274,-0.0006329953033855418,0.6591177880764008,23970.982421875,0.0001,54162.60458984375,0.004644775390625,2690,0.3941194415092468,-1.9425970144569873,0.0024093846,0.2
786432,2868,24,515.9,2622.69,274,-0.0006716516480082646,0.6468877792358398,19083.283203125,0.0001,51082.41901855469,0.013616943359375,2700,0.3941332697868347,-1.9427060395479203,0.0038597179,0.2
819200,2986,25,524.66,2537.4294,274,-0.0001403302841936238,0.6762093305587769,18462.544921875,0.0001,49630.893359375,0.012713623046875,2710,0.39411622285842896,-1.9427077665925025,0.0037007304,0.2
851968,3104,26,496.01,2151.2124,274,-0.0001910329723614268,0.6955929100513458,19758.71484375,0.0001,50458.98093261719,0.0039825439453125,2720,0.39409881830215454,-1.9425011791288853,0.0023082944,0.2
884736,3221,27,467.64,2144.9065,274,-0.0002523081660910975,0.6747329831123352,21674.734375,0.0001,56391.356225585936,0.0105438232421875,2730,0.3940894603729248,-1.9423715867102147,0.003231463,0.2
917504,3339,28,464.79,2262.1382,274,-0.00010689043083402793,0.639795333147049,21888.365234375,0.0001,58272.88967285156,0.00579833984375,2740,0.3940647542476654,-1.9422059036791324,0.0025755935,0.2
950272,3455,29,501.93,2726.8606,275,8.722301718080416e-05,0.6981425583362579,23756.19921875,0.0001,52400.88903808594,0.007672119140625,2750,0.3940802812576294,-1.9421427123248578,0.003058915,0.2
983040,3573,30,506.77,2970.4531,275,-0.0006832673218013952,0.7247016727924347,18348.7578125,0.0001,51519.92521972656,0.016131591796875,2760,0.394074946641922,-1.9422281339764595,0.0044260775,0.2
