time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
71,32768,887.7065,456,388.64864864864865,1,,,,,,,,,,,,,
149,65536,1315.9683,438,411.49,2,-0.00017068918059521821,0.0040242895,-1.883610700815916,0.001,12913.4287109375,0.3883700966835022,0.5842229127883911,3100,0.2,44200.80194091797,0.03629150390625,,
223,98304,1263.9923,439,415.34,3,0.0002460448406054638,0.0047777523,-1.8829179741442204,0.001,13046.275390625,0.3882393538951874,0.6245864629745483,3110,0.2,30976.080200195312,0.0494354248046875,,
299,131072,1468.0,437,428.78,4,0.0007127228174795164,0.007861523,-1.8818102225661277,0.001,15086.4609375,0.3881513774394989,0.6512288153171539,3120,0.2,30112.837475585937,0.0691070556640625,,
375,163840,1232.0,435,418.87,5,-2.2640622046310454e-05,0.005422462,-1.881304968893528,0.001,10833.4169921875,0.38814491033554077,0.6201352179050446,3130,0.2,28591.743072509766,0.040234375,,
451,196608,1091.0,435,403.19,6,6.427577682188712e-06,0.00584739,-1.8806914605200291,0.001,8287.2138671875,0.3880194127559662,0.7230218350887299,3140,0.2,22893.019921875,0.058892822265625,,
527,229376,1169.0,434,412.57,7,-0.000354990112100495,0.005488394,-1.8799730449914933,0.001,12692.8271484375,0.38804489374160767,0.6429359912872314,3150,0.2,27060.354260253906,0.0494476318359375,,
605,262144,1751.9897,433,445.31,8,-0.00036010176154377405,0.0057344898,-1.8792028069496154,0.001,8395.826171875,0.3878718614578247,0.6996429860591888,3160,0.2,22216.654180908205,0.056719970703125,,
680,294912,1805.8527,433,449.17,9,0.0003500080063531641,0.0045130253,-1.877705017477274,0.001,5918.10498046875,0.38777995109558105,0.681244820356369,3170,0.2,23028.950677490233,0.0389068603515625,,
754,327680,1015.0,434,397.42,10,-0.0004922121290292126,0.0056572314,-1.8766457222402095,0.001,6857.30078125,0.38764822483062744,0.7199201583862305,3180,0.2,19142.382666015626,0.05233154296875,,
831,360448,1265.0,433,417.92,11,0.0005875650742382277,0.0058368766,-1.8760459549725055,0.001,6043.10107421875,0.3877016603946686,0.6918161511421204,3190,0.2,18734.268548583983,0.058416748046875,,
912,393216,1788.0,430,449.45,12,0.0003870413238473702,0.0051076366,-1.8764196164906024,0.001,6610.896484375,0.38769927620887756,0.7209815979003906,3200,0.2,18602.04476928711,0.0446136474609375,,
989,425984,1779.0,430,443.94,13,0.0017206562573846896,0.0062960805,-1.8759529404342175,0.001,7980.94189453125,0.38760584592819214,0.6866419613361359,3210,0.2,21952.269885253907,0.058050537109375,,
1067,458752,1552.0,429,429.38,14,0.0006141472564195283,0.006067304,-1.8755411073565482,0.001,6705.5390625,0.3876323699951172,0.6990649700164795,3220,0.2,20511.598400878906,0.056689453125,,
1142,491520,1354.0,430,416.41,15,0.0006020555461873301,0.006639431,-1.8764258742332458,0.001,6988.271484375,0.38778603076934814,0.679205447435379,3230,0.2,21057.572131347657,0.0565460205078125,,
1219,524288,1680.9491,429,433.53,16,0.001534338848432526,0.006449691,-1.8767801448702812,0.001,7875.10546875,0.3877124786376953,0.6960225105285645,3240,0.2,19688.389050292968,0.0578216552734375,,
1301,557056,2189.2903,428,469.28,17,0.0012525783604360186,0.0072056344,-1.8757713280618191,0.001,5645.55078125,0.3875975012779236,0.7109871804714203,3250,0.2,20196.83527832031,0.069171142578125,,
1379,589824,1813.4559,427,442.15,18,0.0019391801750316517,0.007920527,-1.8739502131938934,0.001,6775.0029296875,0.38734787702560425,0.6876796782016754,3260,0.2,19929.687493896483,0.0817352294921875,,
1456,622592,1899.4493,427,453.02,19,0.000495232577668503,0.006394372,-1.8722043916583062,0.001,6795.0771484375,0.3872571587562561,0.7534149885177612,3270,0.2,20884.794006347656,0.053192138671875,,
1534,655360,1904.8082,427,455.87,20,0.0005668141522619408,0.0065964013,-1.8708418883383273,0.001,6806.359375,0.38705751299858093,0.7459694445133209,3280,0.2,20175.183825683594,0.057177734375,,
