Episode,Reward
1,-2221.9387
2,1281.473
3,100.0
4,-542.2511
5,942.01245
6,-71.71768
7,-541.66785
8,871.5382
9,4000.0
10,3999.9187
11,2485.5781
12,3978.941
13,100.0
14,100.0
15,4000.0
16,5000.0
17,-777.4378
18,-231.70496
19,1300.0
20,100.0
21,1300.0
22,6322.6665
23,6473.325
24,-1038.104
25,100.0
26,-447.61868
27,79.68388
28,2926.182
29,3366.5037
30,2131.596
31,1300.0
32,11.797406
33,30.370916
34,505.79828
35,2523.197
36,-55.50352
37,1907.3286
38,100.0
39,3600.0
40,-717.10986
41,1100.0
42,1100.0
43,29.330954
44,3979.796
45,-1000.0
46,5500.0
47,1300.0
48,1300.0
49,-450.7932
50,-153.3228
51,100.0
52,724.89264
53,8100.0
54,1299.2826
55,-907.53375
56,2600.0
57,7100.0
58,1300.0
59,-202.51804
60,2300.0
61,1002.5353
62,6893.382
63,1300.0
64,1300.0
65,1300.0
66,1273.2068
67,-752.3745
68,-194.72646
69,6644.1157
70,5000.0
71,1300.0
72,-427.2869
73,-966.8429
74,1300.0
75,4000.0
76,5904.8027
77,-902.9374
78,3895.2847
79,1300.0
80,100.0
81,8800.0
82,1300.0
83,1184.3862
84,2116.5771
85,1300.0
86,1300.0
87,2064.5344
88,3999.8777
89,100.0
90,1300.0
91,3261.047
92,-952.6536
93,100.0
94,10600.0
95,5000.0
96,-661.31744
97,3776.499
98,7823.312
99,2553.5166
100,100.0
