time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction
73,32768,962.40936,446,387.70666666666665,1,,,,,,,,,,,
168,65536,1478.8114,388,426.34,2,0.002014756910921278,0.0105206,-1.8819918501190842,0.001,7287.2890625,0.3880559802055359,0.5666903853416443,3100,0.2,30721.975814056397,0.1139801025390625
264,98304,1937.9926,371,456.33,3,0.0035364511497391503,0.0125662815,-1.8767692499794066,0.001,11038.453125,0.3874511122703552,0.5880468785762787,3110,0.2,25032.356908416747,0.1543212890625
360,131072,1457.0,364,428.35,4,0.003982844923302764,0.0169999,-1.8705748355947436,0.001,9737.8134765625,0.3869610130786896,0.6012664139270782,3120,0.2,24764.27861099243,0.17802734375
456,163840,1690.9799,358,445.27,5,0.005234428387848311,0.014488768,-1.8655819766223432,0.001,4987.32080078125,0.38646507263183594,0.6261745691299438,3130,0.2,19349.837338638306,0.1609527587890625
553,196608,1981.9797,355,465.5,6,0.005516807712956507,0.01665487,-1.8605734594166279,0.001,6130.2158203125,0.38591834902763367,0.6166895031929016,3140,0.2,18374.842238616944,0.192132568359375
646,229376,1268.0,355,420.87,7,0.004967441782264359,0.014308962,-1.85886531798169,0.001,3912.125244140625,0.3861830532550812,0.6559092700481415,3150,0.2,14546.118642425537,0.174273681640625
741,262144,1686.0,353,439.7,8,0.006684324222442228,0.019346047,-1.8568379786796867,0.001,2942.4140625,0.3855689764022827,0.6165974736213684,3160,0.2,15584.83274898529,0.2005950927734375
832,294912,1271.9944,354,416.63,9,0.004541365212708115,0.015886016,-1.8507913514971732,0.001,3517.886962890625,0.38497331738471985,0.591327577829361,3170,0.2,16283.18575782776,0.1732421875
923,327680,1336.9944,354,428.7,10,0.005531960031203198,0.017363029,-1.8500148182734848,0.001,2984.724609375,0.38525500893592834,0.5955834090709686,3180,0.2,15711.269347572326,0.1989593505859375
