Episode,Reward
1,-484.50305
2,1009.73987
3,1360.2927
4,980.2449
5,1246.6487
6,968.3705
7,1320.6844
8,858.7954
9,2729.3442
10,1784.808
11,-1782.6606
12,-1417.7124
13,2858.7097
14,729.5061
15,2284.174
16,3631.1448
17,-496.27924
18,-489.7566
19,1116.8314
20,2785.179
21,5671.2007
22,2935.2698
23,-108.38714
24,5886.1704
25,1788.295
26,3161.7446
27,2872.276
28,-428.35498
29,2714.8254
30,934.2233
31,-531.2012
32,5544.3677
33,326.4724
34,2687.4673
35,2545.6235
36,-897.9535
37,2901.205
38,-1207.0658
39,2165.2466
40,-114.50636
41,1787.878
42,1389.3309
43,-461.5977
44,6417.688
45,2778.1921
46,2746.0952
47,3240.827
48,5202.3394
49,919.63403
50,2412.7856
51,1399.6274
52,1200.6333
53,3320.2522
54,947.567
55,2820.8257
56,786.60944
57,805.7155
58,2883.1394
59,207.26958
60,1976.9413
61,6871.1035
62,4632.521
63,1963.6693
64,4779.6494
65,9690.847
66,915.2427
67,6142.1274
68,843.7505
69,3887.0002
70,3456.982
71,3136.784
72,996.5706
73,-266.63367
74,4597.2715
75,1264.8905
76,6509.2627
77,5539.4326
78,3273.1726
79,7832.3403
80,1003.473
81,3062.4849
82,6038.154
83,2143.1602
84,3006.443
85,7478.5483
86,786.66907
87,2445.3699
88,1038.1515
89,4769.862
90,-1419.4651
91,9364.125
92,-433.7331
93,1812.1503
94,14597.554
95,2568.6262
96,2063.4695
97,3200.984
98,2719.571
99,2890.2737
100,2565.0063
