Episode,Reward
1,-1161.5603
2,-1104.8467
3,-1661.1445
4,-2271.1533
5,-1165.669
6,-1395.7467
7,1032.1678
8,1826.4174
9,1732.2482
10,3643.4402
11,3579.2185
12,-1031.5089
13,-1683.8127
14,-1313.8312
15,-929.3387
16,4491.5166
17,4218.1196
18,1769.9608
19,-1130.1102
20,-1107.5591
21,-622.14435
22,6361.3735
23,-524.43475
24,-825.11145
25,835.867
26,7916.135
27,-1631.2823
28,3732.7546
29,923.39404
30,-567.4652
31,-416.30994
32,-1127.866
33,6812.9688
34,2890.9463
35,-1337.889
36,-989.46625
37,3991.857
38,-1610.6708
39,-853.40894
40,3143.9663
41,967.4521
42,-1093.0789
43,341.51706
44,1020.80255
45,-1478.5907
46,1297.1285
47,3179.3796
48,5684.8994
49,1971.1854
50,-2130.0115
51,16788.467
52,-1057.2749
53,1474.0916
54,-1143.5562
55,-767.07367
56,1442.111
57,-793.0909
58,573.84735
59,-1628.8148
60,1790.192
61,3480.3787
62,3148.462
63,1080.8081
64,2262.646
65,2279.5303
66,1965.3909
67,-1293.2145
68,2213.3147
69,10932.125
70,1706.4213
71,-679.533
72,4872.778
73,-1750.2795
74,2071.9028
75,11133.98
76,4649.6846
77,2714.7886
78,-1421.9485
79,231.87244
80,-887.40375
81,-1417.2769
82,2279.5625
83,-636.7733
84,-808.55896
85,-1754.7461
86,11476.632
87,15886.116
88,-973.90784
89,-1558.4445
90,-597.51715
91,2843.0889
92,14761.017
93,11476.834
94,11154.265
95,599.5233
96,9207.281
97,10179.51
98,3469.2227
99,1646.8787
100,5510.279
