time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/std,train/value_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/loss
1,457,71,1217.1044,32768,487.4406779661017,,,,,,,,,,,
2,390,167,1409.2327,65536,506.21,-1.946046223444864,0.010540611,0.394351065158844,23026.751185798646,0.002560289950997685,2480,0.0001,0.1120452880859375,0.007733583450317383,0.2,7446.85302734375
3,373,263,1478.1284,98304,519.99,-1.9438093547709285,0.009119801,0.39413484930992126,25992.75016078949,0.0012260358673302108,2490,0.0001,0.0831939697265625,0.13953661918640137,0.2,12280.9736328125
4,363,360,1712.1976,131072,541.74,-1.9419581800699235,0.009305186,0.3939966857433319,21002.100888442994,0.0017249888342121267,2500,0.0001,0.0859161376953125,0.1488015055656433,0.2,10125.607421875
5,359,455,2151.363,163840,576.03,-1.9399650663603096,0.010918913,0.39375394582748413,20238.541705799104,0.0017183266221763916,2510,0.0001,0.1077484130859375,0.22863388061523438,0.2,3586.8173828125
6,356,551,2030.8025,196608,557.1,-1.9381362278014422,0.0071543856,0.39361321926116943,22048.70965423584,0.0005187233009564807,2520,0.0001,0.0642578125,0.30356478691101074,0.2,7348.25341796875
7,352,651,2320.4731,229376,575.78,-1.9367012506816537,0.00697482,0.39347168803215027,20902.479047966004,0.00016215848372667097,2530,0.0001,0.063043212890625,0.45395511388778687,0.2,6346.7001953125
8,346,757,3004.962,262144,642.49,-1.9344602985773236,0.0070287203,0.39315372705459595,19097.398649406434,0.0005783234009868465,2540,0.0001,0.0672515869140625,0.39304763078689575,0.2,5555.255859375
9,342,860,3719.019,294912,694.61,-1.9317169825080782,0.0068844883,0.392941415309906,20393.978671646117,0.0005270110001220019,2550,0.0001,0.06649169921875,0.4551911950111389,0.2,4547.8369140625
10,340,963,3854.7915,327680,703.64,-1.9307322321925313,0.006873726,0.3929838240146637,20941.90774593353,0.0002134548089998134,2560,0.0001,0.0578125,0.4361073970794678,0.2,3158.34814453125
11,338,1065,3951.3694,360448,706.23,-1.9299814755562692,0.005933198,0.39277416467666626,22136.2632144928,-0.0003176729584993154,2570,0.0001,0.0492767333984375,0.5182960033416748,0.2,6637.42919921875
12,336,1166,4386.313,393216,717.75,-1.9285728486254812,0.006113969,0.39271286129951477,20242.09158592224,-0.0002369771324993053,2580,0.0001,0.056109619140625,0.543033629655838,0.2,5534.14599609375
13,336,1266,4225.706,425984,699.25,-1.9268469424452632,0.0053203907,0.392398476600647,20001.891769981383,0.0001327713245700579,2590,0.0001,0.041070556640625,0.5337856411933899,0.2,4516.865234375
14,335,1367,4112.39,458752,683.67,-1.9243913418613374,0.0056369873,0.3922240436077118,21814.401029968263,-2.7060802676714956e-05,2600,0.0001,0.0410675048828125,0.4867023825645447,0.2,7170.6220703125
15,335,1466,3907.0037,491520,659.28,-1.9225124329794199,0.007264629,0.39203381538391113,24364.76272163391,-0.0005154711438080994,2610,0.0001,0.067108154296875,0.4649229049682617,0.2,11643.0751953125
16,333,1572,4029.1907,524288,664.57,-1.9214399771299213,0.005875416,0.39200520515441895,21907.11570854187,-0.0005186156544368714,2620,0.0001,0.04754638671875,0.5181994438171387,0.2,4674.5205078125
17,331,1678,4633.8057,557056,718.97,-1.9198218838311731,0.006481928,0.3917049467563629,21215.3605966568,-0.0002463276465277886,2630,0.0001,0.05382080078125,0.5356050431728363,0.2,6967.857421875
18,330,1785,4822.6777,589824,740.34,-1.9181233323644846,0.0055629164,0.39167535305023193,20716.562337493895,-0.0003493649686788558,2640,0.0001,0.043511962890625,0.5217248797416687,0.2,15547.1240234375
19,329,1890,5410.061,622592,774.55,-1.9172460072208195,0.0063448744,0.3915456235408783,18373.853190422058,0.00046948069320933427,2650,0.0001,0.04962158203125,0.5195564329624176,0.2,5167.9501953125
20,328,1994,5759.4985,655360,786.39,-1.916371818818152,0.006023512,0.3914879560470581,19933.839550590514,0.0006088674497732427,2660,0.0001,0.049713134765625,0.5874351859092712,0.2,3941.402587890625
21,327,2100,5727.261,688128,775.26,-1.9151716839522124,0.006664237,0.3912854492664337,21221.978927230834,-0.0005641673747959431,2670,0.0001,0.0620025634765625,0.5896333456039429,0.2,7928.5224609375
22,326,2205,6278.748,720896,818.56,-1.9134772908408195,0.006395133,0.3911449611186981,20921.613800048828,8.375367924600141e-05,2680,0.0001,0.0529632568359375,0.5706833302974701,0.2,5502.087890625
23,327,2303,6181.775,753664,794.32,-1.912460830481723,0.0066652754,0.39108625054359436,21261.850962257384,-8.444957811661879e-05,2690,0.0001,0.05419921875,0.6035842895507812,0.2,4189.92041015625
24,327,2404,6521.9526,786432,801.95,-1.9111725758295506,0.005831332,0.390872597694397,21944.339247894288,-0.000852457126347872,2700,0.0001,0.042816162109375,0.6108219027519226,0.2,9069.306640625
25,326,2506,7092.2573,819200,844.06,-1.9084478653036059,0.0060721966,0.3905511200428009,20892.667475891114,0.0002516334192478098,2710,0.0001,0.051239013671875,0.6564290225505829,0.2,7326.84130859375
26,326,2607,6810.6094,851968,828.51,-1.9058202939573676,0.0055594114,0.3903914988040924,19568.674054718016,-6.105525062594097e-05,2720,0.0001,0.0460418701171875,0.6298320591449738,0.2,6683.79248046875
27,326,2713,6822.266,884736,834.89,-1.9044009616598487,0.006093027,0.39029261469841003,19349.197827529908,-0.0005571374033934262,2730,0.0001,0.053814697265625,0.6254286468029022,0.2,4303.90625
28,326,2813,7370.576,917504,873.19,-1.9023905275855213,0.0060812705,0.38997453451156616,17039.533899116515,-0.0003808666461736721,2740,0.0001,0.0440277099609375,0.6644399464130402,0.2,5354.369140625
29,325,2916,8147.3296,950272,922.84,-1.8998414719477297,0.0061652684,0.38983216881752014,20329.354003334047,0.00039832210804888744,2750,0.0001,0.0537139892578125,0.6338696181774139,0.2,3830.600341796875
30,325,3016,8008.8076,983040,886.83,-1.8978659502230584,0.0072719343,0.38955724239349365,17811.991289138794,2.373318593527074e-05,2760,0.0001,0.0595703125,0.6529049277305603,0.2,5239.37548828125
31,325,3117,8320.223,1015808,894.04,-1.8953446845524013,0.0059623327,0.3893607258796692,18025.47574930191,-0.0006766971661818389,2770,0.0001,0.05247802734375,0.6753910779953003,0.2,7137.68603515625
32,326,3216,8209.368,1048576,875.05,-1.8935726132709534,0.005834705,0.3892197906970978,18356.375344467164,-0.0009312256615885417,2780,0.0001,0.04658203125,0.7353070378303528,0.2,6397.3642578125
33,326,3314,8084.1763,1081344,863.81,-1.8924089144915341,0.0069028568,0.38913291692733765,19989.63200149536,-0.00048008730827859837,2790,0.0001,0.055078125,0.6683005690574646,0.2,4411.81005859375
34,326,3415,7914.154,1114112,854.13,-1.890597676904872,0.0056735654,0.3888421952724457,20419.210846138,-0.0008731568017537938,2800,0.0001,0.0463592529296875,0.608935534954071,0.2,5872.46337890625
35,326,3517,7706.29,1146880,856.44,-1.8879207491874694,0.0066974037,0.38860756158828735,20057.637150764465,0.00010997758981829975,2810,0.0001,0.055999755859375,0.6324930489063263,0.2,3775.848388671875
36,325,3620,8446.987,1179648,910.15,-1.886052611330524,0.0059423447,0.3885056972503662,22464.884525871275,2.0311579010012793e-05,2820,0.0001,0.0459564208984375,0.589267373085022,0.2,8044.7626953125
37,325,3721,9160.004,1212416,967.87,-1.8853867697063833,0.0062115653,0.3884894549846649,18787.528207588195,-0.00038992906411294825,2830,0.0001,0.0525360107421875,0.6515774726867676,0.2,8087.99072265625
38,325,3821,9485.646,1245184,985.7,-1.8840733555145561,0.0052363183,0.3882291316986084,18515.27272052765,-0.0004873873554970487,2840,0.0001,0.0394378662109375,0.6680673658847809,0.2,7786.82421875
39,325,3921,9546.533,1277952,983.82,-1.8823752589058131,0.0057143257,0.3881860375404358,17538.233103084563,-0.0004283006361220032,2850,0.0001,0.046331787109375,0.6897881329059601,0.2,4898.20947265625
40,325,4021,8829.77,1310720,933.62,-1.8816122052725404,0.0060079843,0.3880615830421448,19285.19119415283,-0.0001348473659163574,2860,0.0001,0.048968505859375,0.6337045729160309,0.2,3301.267822265625
41,325,4125,8810.439,1343488,939.39,-1.880259520187974,0.006381672,0.38793182373046875,17881.577970695496,-0.0008169422701030272,2870,0.0001,0.056549072265625,0.6585427522659302,0.2,5353.00341796875
