time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/n_updates,train/clip_range,train/std,train/approx_kl,train/explained_variance,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss
253,1,4815.9634,701.4736842105264,32768,129,,,,,,,,,,,
247,2,5001.8374,719.4625,65536,264,0.0027330532035193754,2480,0.2,0.39449766278266907,0.0124113085,0.06208676099777222,27932.13671875,0.0001,0.113671875,56113.286993408205,-1.946974535472691
246,3,5566.4424,764.25,98304,399,0.0012932830954923702,2490,0.2,0.3944705128669739,0.009406103,0.25572365522384644,20443.921875,0.0001,0.0738128662109375,51397.89705810547,-1.9464083479717373
243,4,5917.3145,793.94,131072,539,0.0021703771358261292,2500,0.2,0.39455705881118774,0.01024086,0.3054006099700928,14040.470703125,0.0001,0.09150390625,46920.32933959961,-1.9466774109750986
241,5,6000.826,801.75,163840,678,0.0011946905713557498,2510,0.2,0.3944869637489319,0.008457847,0.4361594319343567,13536.40625,0.0001,0.07210693359375,40971.29635314942,-1.9468096999451519
241,6,6130.9727,811.71,196608,814,0.0006397056995410821,2520,0.2,0.39447832107543945,0.007912219,0.36955374479293823,16284.68359375,0.0001,0.068707275390625,43432.753399658206,-1.9462906198576093
240,7,6413.2686,813.92,229376,952,-0.00021601382059088792,2530,0.2,0.3945010304450989,0.006010388,0.4327220916748047,12580.4091796875,0.0001,0.0427642822265625,42384.13876037598,-1.9463326588273049
240,8,6679.6826,824.47,262144,1089,0.0006997145150307915,2540,0.2,0.39443570375442505,0.006072112,0.4225049614906311,17171.53125,0.0001,0.0462432861328125,42454.29841003418,-1.9461280170828104
240,9,6848.629,824.27,294912,1227,1.6099509957712142e-05,2550,0.2,0.3943907618522644,0.007528984,0.45896852016448975,14928.9013671875,0.0001,0.06114501953125,44048.8265625,-1.9455556506291032
239,10,6954.681,820.46,327680,1368,-0.0002910806633735774,2560,0.2,0.3942730128765106,0.0068367817,0.45098185539245605,15091.009765625,0.0001,0.0547149658203125,42109.00709838867,-1.9446813428774476
238,11,7740.053,869.52,360448,1511,8.12206071714172e-06,2570,0.2,0.3941902816295624,0.0067499615,0.5291922986507416,13476.9970703125,0.0001,0.0533416748046875,42977.780612182614,-1.9435739880427718
237,12,7822.8877,879.82,393216,1655,-0.0008482652274324209,2580,0.2,0.3941073715686798,0.0067463727,0.5569378137588501,12428.48828125,0.0001,0.0534423828125,36180.20989074707,-1.9427465658634901
237,13,7885.4546,889.28,425984,1794,-0.00015880833716437338,2590,0.2,0.3940456807613373,0.006115184,0.4808555245399475,16114.9208984375,0.0001,0.04521484375,42336.21533813477,-1.9420159228146077
236,14,7931.74,884.86,458752,1943,0.0006454061360273045,2600,0.2,0.3939514458179474,0.0066439025,0.5556792318820953,11948.734375,0.0001,0.051336669921875,35811.39154815674,-1.9412180207669736
235,15,8181.3765,884.35,491520,2089,-0.00022205750756256747,2610,0.2,0.39391499757766724,0.0061271796,0.5379836559295654,11696.6318359375,0.0001,0.04486083984375,35819.943731689455,-1.940495827794075
234,16,8599.541,900.07,524288,2238,-8.675851677253377e-05,2620,0.2,0.3937973380088806,0.005438219,0.6096359491348267,16448.0859375,0.0001,0.0380645751953125,38445.72488708496,-1.939703836105764
