time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
32768,132,4632.8257,702.7297297297297,1,247,,,,,,,,,,,,,
65536,269,5012.891,732.25,2,243,0.010945428,-1.9474921431392431,19547.642578125,0.0001,0.1110076904296875,0.06864231824874878,0.39459770917892456,0.2,0.0022249892788750005,54814.50205993652,2480,,
98304,407,5278.201,744.98,3,241,0.009609586,-1.9471102653071284,25071.115234375,0.0001,0.080126953125,0.20441412925720215,0.394534707069397,0.2,0.0028677741520368727,51551.09829101562,2490,,
131072,558,5593.087,764.78,4,234,0.0077693043,-1.9461583044379949,20772.029296875,0.0001,0.056451416015625,0.30474853515625,0.39441531896591187,0.2,-0.0008653304117615335,47273.039401245114,2500,,
163840,704,5863.393,771.95,5,232,0.008485416,-1.9449228003621102,17725.376953125,0.0001,0.0728973388671875,0.348039448261261,0.39429789781570435,0.2,0.001226708148169564,43341.561654663084,2510,,
196608,854,6537.1963,815.1,6,230,0.0063037267,-1.9440512083470822,13675.9072265625,0.0001,0.04365234375,0.355582058429718,0.39424556493759155,0.2,-0.0002770292199784308,42873.59583740235,2520,,
229376,1002,6564.301,811.08,7,228,0.007016583,-1.942786767333746,16456.439453125,0.0001,0.057171630859375,0.4193395972251892,0.3940563201904297,0.2,-0.00015942536292641308,42209.22023010254,2530,,
262144,1147,6985.446,834.92,8,228,0.007304363,-1.9412042137235404,16784.271484375,0.0001,0.0556549072265625,0.4217190742492676,0.39393696188926697,0.2,0.001205533497795841,43949.991519165036,2540,,
294912,1289,7542.5083,874.5,9,228,0.007056484,-1.9400678699836136,16960.712890625,0.0001,0.0562530517578125,0.42943650484085083,0.3938361704349518,0.2,0.000519118470401736,39782.60387573242,2550,,
327680,1428,7606.4746,893.11,10,229,0.005434296,-1.938940687663853,12977.3701171875,0.0001,0.0386932373046875,0.48751574754714966,0.3937145471572876,0.2,0.0011129121850899538,37835.70045776367,2560,,
360448,1571,7771.5894,885.27,11,229,0.0063272044,-1.9384611761197448,16413.609375,0.0001,0.0470306396484375,0.37126100063323975,0.3937547504901886,0.2,0.00098561266249817,41555.88095397949,2570,,
393216,1709,7958.5737,885.99,12,230,0.006249275,-1.938388236798346,15965.419921875,0.0001,0.048724365234375,0.4859895706176758,0.3936864137649536,0.2,0.0005176711832973524,36588.89123229981,2580,,
425984,1848,8364.595,887.32,13,230,0.0051692827,-1.9376487955451012,12481.50390625,0.0001,0.0352752685546875,0.46268194913864136,0.3936150074005127,0.2,0.00023107450197130676,40347.2969543457,2590,,
458752,1988,8323.098,890.7,14,230,0.0055982107,-1.9373241061344744,19673.544921875,0.0001,0.0345703125,0.4425002932548523,0.39361855387687683,0.2,0.00012042010312143247,39509.13296508789,2600,,
491520,2126,8041.3755,873.31,15,231,0.007373238,-1.9368939574807882,12351.8642578125,0.0001,0.0602142333984375,0.5007956624031067,0.39353466033935547,0.2,-0.0003228864778066054,38445.510235595706,2610,,
524288,2266,8531.645,901.11,16,231,0.006864871,-1.9363049421459437,12323.625,0.0001,0.049127197265625,0.4927869439125061,0.3934999704360962,0.2,-0.0007350309018875123,38867.64493713379,2620,,
557056,2405,8784.828,907.13,17,231,0.006204589,-1.935500635020435,12443.4169921875,0.0001,0.046697998046875,0.4816485047340393,0.3933864235877991,0.2,0.000639525037513522,37354.84325561523,2630,,
589824,2547,9098.624,912.49,18,231,0.0066683087,-1.9344912489876152,14019.4208984375,0.0001,0.04521484375,0.5472736656665802,0.39330315589904785,0.2,0.0005084478689241223,36820.38049926758,2640,,
622592,2691,9518.369,933.67,19,231,0.005173671,-1.9337634326890112,13484.490234375,0.0001,0.034295654296875,0.5520088970661163,0.39325881004333496,0.2,1.639530910324538e-05,39549.59444885254,2650,,
655360,2832,9849.43,960.54,20,231,0.006026906,-1.9329904273152352,11855.814453125,0.0001,0.04632568359375,0.6197926998138428,0.3931482434272766,0.2,-0.0009068994149856735,34713.73453369141,2660,,
688128,2973,10407.14,992.47,21,231,0.0059526246,-1.9322953393682838,11016.375,0.0001,0.044390869140625,0.6177413463592529,0.3931388854980469,0.2,-0.00013959120497020194,34042.13676452637,2670,,
720896,3113,10165.196,972.55,22,231,0.006437381,-1.931687437556684,10346.5556640625,0.0001,0.049462890625,0.6576331555843353,0.39301440119743347,0.2,-0.0006731916655553505,31665.118606567383,2680,,
753664,3254,10106.822,959.57,23,231,0.0056104045,-1.93093963265419,12813.8994140625,0.0001,0.0399749755859375,0.5760326981544495,0.3930027484893799,0.2,0.00027828542370116337,34960.14968566895,2690,,
786432,3399,9872.985,934.29,24,231,0.0057311803,-1.9309243489056827,12290.12109375,0.0001,0.038031005859375,0.6131993234157562,0.39302030205726624,0.2,0.00019037060519622173,34591.934759521486,2700,,
819200,3548,9943.648,928.78,25,230,0.0053194347,-1.93081904835999,11192.7255859375,0.0001,0.0333587646484375,0.6019735634326935,0.39298224449157715,0.2,0.0003785191687711631,35588.39375610351,2710,,
851968,3691,10022.06,933.83,26,230,0.0052316166,-1.9304208412766457,12229.048828125,0.0001,0.035540771484375,0.6469536125659943,0.3929367959499359,0.2,2.3310274991672485e-05,34718.50164794922,2720,,
884736,3836,10565.808,954.87,27,230,0.005184837,-1.9298009119927884,15789.0751953125,0.0001,0.03431396484375,0.6822450160980225,0.392850399017334,0.2,0.0005080650365925976,33379.21754760742,2730,,
917504,3974,10817.447,959.29,28,230,0.005213321,-1.9290861966088415,8147.0458984375,0.0001,0.0365631103515625,0.6778601706027985,0.39279288053512573,0.2,-0.0006123236303210433,31878.74754638672,2740,,
950272,4113,10005.057,901.43,29,231,0.00722739,-1.9288258288055657,12916.3525390625,0.0001,0.057403564453125,0.6378146409988403,0.3927982449531555,0.2,-8.60126965562813e-05,37396.15291137695,2750,,
983040,4254,9572.1,877.46,30,231,0.0061826087,-1.9286001056432724,14235.2138671875,0.0001,0.053277587890625,0.5827661454677582,0.39275532960891724,0.2,0.0004186224341538036,41059.64345703125,2760,,
1015808,4393,9735.943,898.9,31,231,0.005557757,-1.9279701495543122,15644.8720703125,0.0001,0.03968505859375,0.6238748729228973,0.3926765024662018,0.2,0.0007767675811919617,40663.19801635742,2770,,
1048576,4530,10264.249,929.61,32,231,0.0055707493,-1.9270993994548917,9980.26171875,0.0001,0.0348419189453125,0.6579954624176025,0.3925778269767761,0.2,0.0001379641924359021,37186.46053466797,2780,,
1081344,4672,10783.216,968.89,33,231,0.0053104362,-1.9260453891009093,10967.0791015625,0.0001,0.0325225830078125,0.6276507675647736,0.3924799859523773,0.2,-0.000509667738879216,37408.72297058105,2790,,
1114112,4815,10926.7,971.09,34,231,0.00537369,-1.9254533644765615,11695.466796875,0.0001,0.037493896484375,0.6539088189601898,0.3924602270126343,0.2,0.000213783239996701,33648.76130065918,2800,,
1146880,4959,11164.974,986.45,35,231,0.006569122,-1.9252062501385807,10863.275390625,0.0001,0.048828125,0.6243613064289093,0.39244136214256287,0.2,0.00022917753130968777,35546.41068725586,2810,,
1179648,5105,10573.896,943.02,36,231,0.006421663,-1.9248831553384662,10171.6171875,0.0001,0.0459320068359375,0.636840283870697,0.3923877477645874,0.2,0.0003145797547404072,34294.95432434082,2820,,
1212416,5249,10383.586,931.51,37,230,0.0048601166,-1.9242673872038722,13721.650390625,0.0001,0.0338592529296875,0.6522895991802216,0.39232510328292847,0.2,-2.8618547366932036e-05,36484.57087097168,2830,,
1245184,5391,10745.09,956.85,38,230,0.0054544606,-1.9238426869735121,9987.4365234375,0.0001,0.038934326171875,0.6351838707923889,0.3923075199127197,0.2,-0.0005754537064603937,38097.17044067383,2840,,
1277952,5537,10690.228,949.4,39,230,0.006227016,-1.9236459977924825,14479.2060546875,0.0001,0.047119140625,0.7045752704143524,0.3922867774963379,0.2,5.2324863463582e-05,33278.67321166992,2850,,
1310720,5680,11044.9375,974.16,40,230,0.0057807327,-1.9231332341209053,11222.87890625,0.0001,0.040777587890625,0.708345890045166,0.39220935106277466,0.2,-0.0004304479385609739,31630.566290283205,2860,,
1343488,5821,10942.424,955.91,41,230,0.0052573057,-1.922452055104077,17783.994140625,0.0001,0.0332427978515625,0.7014001607894897,0.3921637237071991,0.2,0.0003709425360284513,34788.676577758786,2870,,
