time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/n_updates
32768,127,4960.314,746.1351351351351,1,257,,,,,,,,,,,
65536,358,4903.4106,728.0493827160494,2,182,0.014573141,-1.9457986161112786,15935.7861328125,0.0001,0.1346588134765625,0.0903019905090332,0.39430516958236694,0.2,0.0031912774563352285,40309.88325958252,2480
98304,535,5399.962,743.08,3,183,0.010767763,-1.943631205148995,16664.890625,0.0001,0.11197509765625,0.1427425742149353,0.3941255807876587,0.2,0.002210383238389113,43281.32258758545,2490
131072,786,5485.9194,741.85,4,166,0.009760512,-1.942111099511385,10701.345703125,0.0001,0.0932830810546875,0.25190627574920654,0.3940111994743347,0.2,0.0025120879944552144,39127.87653999329,2500
163840,994,6021.7188,784.6,5,164,0.009607162,-1.9414099629502743,6539.96484375,0.0001,0.090869140625,0.3316524624824524,0.3939775228500366,0.2,0.0021869097971830343,34759.94751052857,2510
196608,1175,5737.4956,753.92,6,167,0.008251339,-1.9405957807786762,9153.08984375,0.0001,0.0783111572265625,0.43070119619369507,0.39385122060775757,0.2,0.0005803164645840298,34347.852447509766,2520
229376,1436,5806.2124,755.97,7,159,0.007901022,-1.938863036315888,10835.544921875,0.0001,0.074505615234375,0.3922919034957886,0.3936459422111511,0.2,0.0005193552350647223,36302.10509719849,2530
262144,1604,5883.83,738.88,8,163,0.0082104,-1.937851341208443,13950.1162109375,0.0001,0.0745819091796875,0.42310768365859985,0.3936532735824585,0.2,-0.0016815634892282105,37173.30784988403,2540
294912,1779,6381.058,760.39,9,165,0.008556075,-1.9373968291096388,13741.951171875,0.0001,0.084027099609375,0.5016149580478668,0.39355993270874023,0.2,0.0012740057553401129,30719.521575927734,2550
327680,1949,6761.949,775.98,10,168,0.0076966183,-1.9361386282835156,13398.7451171875,0.0001,0.071112060546875,0.48316895961761475,0.39343005418777466,0.2,0.00029601249962070143,32932.00035057068,2560
