time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/clip_fraction,train/std,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
32768,12017.889,1,273,872.2758620689655,119,,,,,,,,,,,,,
65536,13229.429,2,256,896.9206349206349,255,0.06430965662002563,72815.078125,0.1359771728515625,0.3945818245410919,0.2,0.012582454,162971.7738769531,-1.9473329314030707,2480,0.0001,0.004355093233698426,,
98304,14047.386,3,248,932.2421052631579,394,0.18676382303237915,48240.71484375,0.079339599609375,0.39454904198646545,0.2,0.009781721,154642.04869995118,-1.9471572772599757,2490,0.0001,0.0024071439701401688,,
131072,15020.733,4,246,954.61,532,0.25388503074645996,61114.109375,0.0758575439453125,0.39456620812416077,0.2,0.009687034,160645.56773071288,-1.9470780014060438,2500,0.0001,0.0018327117046283091,,
163840,14981.751,5,244,950.98,668,0.31518781185150146,48508.15625,0.070245361328125,0.39453697204589844,0.2,0.00820385,148175.14962158204,-1.9470133556984366,2510,0.0001,0.0017336480033009138,,
196608,13983.235,6,243,916.88,808,0.3625202178955078,53702.421875,0.050823974609375,0.39451169967651367,0.2,0.0068927277,147430.72711791992,-1.946692451648414,2520,0.0001,0.0007503504601118038,,
229376,14305.343,7,242,936.75,946,0.44358670711517334,54431.73828125,0.05418701171875,0.39449721574783325,0.2,0.0071519203,145987.09817504883,-1.9464824376627803,2530,0.0001,0.0015952210208524775,,
262144,14362.961,8,241,926.18,1083,0.46731138229370117,56476.4140625,0.0622283935546875,0.3944551944732666,0.2,0.0077580805,141415.46449584962,-1.9462185836397112,2540,0.0001,0.0021633250420563855,,
294912,15114.065,9,241,935.41,1223,0.4235638976097107,81889.1953125,0.0498504638671875,0.39442139863967896,0.2,0.006556712,164350.08516845704,-1.9458222704008221,2550,0.0001,0.0009773149933607784,,
327680,15420.628,10,240,925.37,1363,0.5094569027423859,62975.02734375,0.0859283447265625,0.3944001793861389,0.2,0.009128948,148543.1317138672,-1.945562743023038,2560,0.0001,0.001537870066749747,,
360448,15664.525,11,239,937.26,1502,0.45676636695861816,58608.1640625,0.0670166015625,0.39438945055007935,0.2,0.007687881,162449.72008056642,-1.945405541639775,2570,0.0001,0.0008298399103296106,,
393216,15358.568,12,239,927.09,1644,0.49101245403289795,59179.91796875,0.0492095947265625,0.39439791440963745,0.2,0.0067373016,152333.9683227539,-1.9453883071430027,2580,0.0001,0.0010053978844553058,,
425984,14909.741,13,238,942.67,1788,0.4849916100502014,44665.7265625,0.0494140625,0.3943852186203003,0.2,0.0062793093,156744.37684936525,-1.9453895209357142,2590,0.0001,0.0005357024532713694,,
458752,15365.205,14,237,966.63,1931,0.5244477689266205,67139.5859375,0.0558258056640625,0.3943606913089752,0.2,0.006822289,150069.11182861327,-1.9451833897270263,2600,0.0001,0.00018003064178628847,,
491520,16032.554,15,237,994.83,2072,0.563108503818512,54710.484375,0.0523590087890625,0.39434945583343506,0.2,0.006763975,144623.0913574219,-1.945005207322538,2610,0.0001,3.480257219052873e-05,,
524288,14993.206,16,236,982.75,2213,0.35519134998321533,228821.359375,0.056610107421875,0.3943510353565216,0.2,0.008409599,597253.8078063965,-1.9449446028098465,2620,0.0001,0.005183548396871629,,
557056,14866.768,17,236,964.32,2357,0.5979585945606232,66289.515625,0.0502716064453125,0.39430928230285645,0.2,0.00611873,149208.4672302246,-1.9447925658896565,2630,0.0001,0.000536981017285143,,
589824,15049.813,18,236,931.91,2496,0.5457022488117218,54737.1953125,0.0569366455078125,0.39429590106010437,0.2,0.0072333096,154561.9147705078,-1.9445041395723819,2640,0.0001,0.0018069684641886853,,
622592,15298.246,19,235,945.3,2642,0.5690132081508636,57112.453125,0.046673583984375,0.3943120837211609,0.2,0.006490215,146761.35036010743,-1.9445131656713783,2650,0.0001,0.0005304667281961883,,
655360,15844.249,20,235,957.19,2788,0.5425689816474915,62426.0625,0.0727935791015625,0.3943212628364563,0.2,0.008007219,207716.02086181642,-1.9446348502300679,2660,0.0001,0.0012886137283203425,,
688128,17120.098,21,234,990.82,2932,0.6263946890830994,64325.37890625,0.045843505859375,0.3943139910697937,0.2,0.006455088,147798.25935058593,-1.9446593980304896,2670,0.0001,0.0012591668872119044,,
720896,17605.975,22,234,1005.01,3076,0.6277095675468445,57125.9453125,0.053497314453125,0.3942239582538605,0.2,0.006622456,149409.50481567383,-1.9441808718256652,2680,0.0001,0.0008388566379835538,,
753664,17966.7,23,234,1026.41,3217,0.6312157213687897,49111.05078125,0.0432037353515625,0.3941958248615265,0.2,0.0063977316,151265.22659301758,-1.9435545492917299,2690,0.0001,0.0005147285482962616,,
786432,18030.092,24,234,1024.31,3360,0.6215848624706268,55184.390625,0.05155029296875,0.3941945731639862,0.2,0.0066016954,145956.6802246094,-1.943384907208383,2700,0.0001,0.0004096876675248495,,
