time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_fraction
116,5414.905,1,820.2903225806451,32768,280,,,,,,,,,,,
242,6349.426,2,867.2058823529412,65536,270,0.0012697812660917406,0.3944491446018219,23263.18359375,-1.9466366667300463,0.2,0.05113399028778076,0.009219213,0.0001,2480,57887.50216674805,0.0833770751953125
369,6711.415,3,873.62,98304,266,0.0011300513206151663,0.39436396956443787,20793.4609375,-1.945603003911674,0.2,0.16190987825393677,0.008341279,0.0001,2490,56682.68756713867,0.0677581787109375
493,6612.639,4,865.83,131072,265,0.000471477489645622,0.3943553566932678,26261.6640625,-1.9451408386230469,0.2,0.26906144618988037,0.00822242,0.0001,2500,55505.0407043457,0.0675018310546875
619,6993.1133,5,886.98,163840,264,0.0005496639119883185,0.3943215012550354,20346.693359375,-1.9448360912501812,0.2,0.29013878107070923,0.008398313,0.0001,2510,49490.316873168944,0.06915283203125
748,7200.377,6,911.72,196608,262,0.0006446827104809927,0.39434608817100525,18631.9296875,-1.9448037026450038,0.2,0.37919169664382935,0.007202277,0.0001,2520,48889.8068939209,0.0563690185546875
874,8075.8374,7,964.97,229376,262,0.00024929647643148203,0.3943021893501282,19893.595703125,-1.9447416445240377,0.2,0.4252513647079468,0.006656143,0.0001,2530,48732.5470703125,0.0504180908203125
1004,8082.8906,8,963.81,262144,260,0.0006917838184563152,0.394229918718338,18159.720703125,-1.9441459907218814,0.2,0.37801873683929443,0.007916108,0.0001,2540,47041.98291015625,0.063134765625
1133,8556.924,9,983.95,294912,260,0.0014362134023031103,0.3941578269004822,19457.322265625,-1.94339796397835,0.2,0.4044647216796875,0.008601705,0.0001,2550,49104.93067321777,0.0668426513671875
1263,8671.689,10,984.15,327680,259,0.0005096373070955451,0.3941043019294739,16427.55859375,-1.9427592042833566,0.2,0.4894556999206543,0.0056169946,0.0001,2560,44592.246362304686,0.0439788818359375
1395,9186.862,11,1001.03,360448,258,0.0009648520117480075,0.39408010244369507,17945.94921875,-1.942327599041164,0.2,0.45539015531539917,0.0068700085,0.0001,2570,49006.46594848633,0.058331298828125
1526,9452.342,12,1018.87,393216,257,0.0009109354958127369,0.3939594328403473,19596.556640625,-1.9416337294504047,0.2,0.4899592399597168,0.0061783344,0.0001,2580,48424.02756958008,0.0441375732421875
1662,10403.42,13,1066.19,425984,256,0.0006121367782725429,0.39393821358680725,16380.0478515625,-1.9408328728750348,0.2,0.4946099519729614,0.0072271824,0.0001,2590,50186.49521179199,0.0556304931640625
1794,10433.603,14,1066.86,458752,255,-1.4103901412454433e-05,0.3939164876937866,13597.001953125,-1.940598533116281,0.2,0.5279439687728882,0.006665664,0.0001,2600,44573.529885864256,0.042913818359375
1923,10961.371,15,1103.28,491520,255,0.00012859356629633112,0.3939051032066345,14331.9814453125,-1.9404010459780694,0.2,0.534148633480072,0.005168941,0.0001,2610,45743.57590637207,0.032586669921875
2056,10777.803,16,1116.69,524288,254,0.0009935527675224876,0.3938750624656677,15014.0380859375,-1.940182989090681,0.2,0.6190406382083893,0.0061766524,0.0001,2620,40413.276876831056,0.0464691162109375
2187,9991.012,17,1068.1,557056,254,0.0009035028060679906,0.39384111762046814,15250.1201171875,-1.9398068567737936,0.2,0.5804566740989685,0.006430739,0.0001,2630,42871.59230957031,0.05045166015625
2318,9991.03,18,1056.76,589824,254,0.0002826964035193669,0.39378002285957336,18232.166015625,-1.9393891343846916,0.2,0.5304159820079803,0.0053913,0.0001,2640,46816.63792724609,0.036920166015625
2450,10283.477,19,1050.17,622592,254,0.00019776731951424154,0.39366623759269714,16315.658203125,-1.9385597595945,0.2,0.5290101170539856,0.0063858395,0.0001,2650,46621.16388549805,0.0446563720703125
2584,10825.665,20,1075.43,655360,253,0.000531883414441836,0.3936120569705963,16096.03515625,-1.9376941125839948,0.2,0.580833911895752,0.004733533,0.0001,2660,41240.935568237306,0.027825927734375
2717,11125.378,21,1080.16,688128,253,-0.0003422452273298404,0.39356380701065063,15249.1552734375,-1.9371859846636652,0.2,0.6035906672477722,0.0059414664,0.0001,2670,45057.986715698244,0.04583740234375
2848,11296.875,22,1079.54,720896,253,3.388579953025328e-05,0.39356404542922974,14500.884765625,-1.9369112187996507,0.2,0.5412522256374359,0.005436506,0.0001,2680,45120.063208007814,0.0397705078125
2982,11642.771,23,1096.5,753664,252,0.00022148060343170074,0.3934769630432129,14255.12890625,-1.9365362813696265,0.2,0.5948657393455505,0.0049785348,0.0001,2690,42557.45606994629,0.0336151123046875
3114,11313.381,24,1081.32,786432,252,0.0009289725456255837,0.393429160118103,14709.5673828125,-1.9358529029414058,0.2,0.5812292695045471,0.0048966045,0.0001,2700,45486.69319763184,0.0326751708984375
3246,11438.379,25,1077.82,819200,252,-6.109516234573676e-05,0.3933485746383667,13861.419921875,-1.9352271029725672,0.2,0.5470806062221527,0.0060569984,0.0001,2710,43066.33985900879,0.04078369140625
3377,11545.365,26,1079.92,851968,252,-0.00020619871947928913,0.3933466970920563,16395.265625,-1.9347939571365713,0.2,0.5911698639392853,0.005839418,0.0001,2720,43788.8856048584,0.035980224609375
