Episode,Reward
1,3742.9219
2,1171.572
3,956.33923
4,4292.5225
5,6644.804
6,1740.2367
7,6013.864
8,2834.9983
9,5971.9824
10,-1260.6094
11,6280.2417
12,5394.1426
13,9133.284
14,4441.3784
15,3059.1763
16,9893.752
17,1441.9636
18,2075.9062
19,5040.3667
20,1157.4875
21,7103.1045
22,6265.87
23,3306.2068
24,9187.727
25,3572.0786
26,4866.0376
27,2432.4055
28,11026.416
29,10251.643
30,10714.377
31,5007.466
32,1466.0142
33,2866.3599
34,6646.0137
35,1071.523
36,8166.164
37,4788.3643
38,-736.7086
39,3013.843
40,4648.5537
41,1892.077
42,3940.778
43,10310.437
44,4410.728
45,6542.0947
46,-296.3813
47,7018.944
48,3213.5042
49,6496.4224
50,7779.3774
51,6826.572
52,4630.8887
53,4015.121
54,-751.6973
55,4869.643
56,77.13363
57,5807.425
58,653.0026
59,7459.786
60,7326.9814
61,3836.9846
62,675.59534
63,13656.069
64,8782.029
65,3310.0662
66,4981.2856
67,1654.4016
68,1433.5251
69,9575.611
70,3299.6052
71,7073.8154
72,5352.5356
73,2583.012
74,3444.3032
75,9180.823
76,7524.886
77,5727.0376
78,5928.6055
79,3649.283
80,9384.661
81,8101.7817
82,7937.861
83,9458.594
84,6444.3096
85,2093.6943
86,5935.1587
87,3605.1008
88,5595.509
89,3484.576
90,1067.5785
91,5910.987
92,3124.381
93,6529.8643
94,3512.0417
95,15472.288
96,1598.7533
97,2305.297
98,12146.541
99,1556.244
100,653.9098
