Episode,Reward
1,1984.083
2,5335.436
3,10901.412
4,7266.58
5,2906.8354
6,8076.888
7,7919.7256
8,9540.416
9,5374.578
10,4490.6084
11,14918.627
12,20881.717
13,8573.093
14,18385.564
15,13980.932
16,10259.224
17,6977.6577
18,14994.568
19,4809.036
20,13165.924
21,20686.078
22,10189.162
23,9839.281
24,14029.555
25,5758.1514
26,18357.598
27,11714.37
28,589.89185
29,17020.383
30,830.937
31,-44672.664
32,12451.635
33,11391.872
34,11645.667
35,-3745.942
36,8326.09
37,9670.506
38,11176.729
39,7336.5425
40,12086.813
41,12182.222
42,11218.055
43,7804.589
44,2993.2585
45,14196.666
46,-5515.4224
47,12936.9375
48,13286.233
49,7243.6704
50,13189.704
51,5053.016
52,12278.236
53,27111.553
54,19183.979
55,11662.599
56,115.56657
57,17678.207
58,13740.354
59,10244.139
60,20288.959
61,12779.021
62,20173.283
63,16505.273
64,16121.011
65,2329.757
66,3655.6099
67,7499.0747
68,6757.3696
69,8732.813
70,-8695.549
71,11086.284
72,9178.673
73,8238.323
74,15831.194
75,14232.4
76,12150.334
77,22041.885
78,23758.287
79,13570.107
80,5449.8174
81,9252.858
82,18572.268
83,10544.763
84,3939.8303
85,19043.645
86,5858.809
87,-96205.13
88,8035.3457
89,10965.523
90,12745.73
91,7021.0386
92,8341.129
93,14330.072
94,2542.9639
95,21428.734
96,9782.684
97,19276.977
98,19827.71
99,12620.813
100,22022.715
