time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
116,1,5253.5874,280,851.9333333333333,32768,,,,,,,,,,,,,
251,2,5239.3154,260,902.8360655737705,65536,0.0001,0.033732831478118896,12010.0673828125,39856.94017333984,-1.9473339629359543,0.2,0.010965241,0.0028178752781059303,0.3945828378200531,0.112152099609375,2480,,
390,3,5726.069,251,922.319587628866,98304,0.0001,0.16828584671020508,9396.5322265625,40298.47212677002,-1.947319125942886,0.2,0.0069704093,0.0010846264095562218,0.3945784568786621,0.0564178466796875,2490,,
530,4,5863.5312,247,957.85,131072,0.0001,0.2649913430213928,13965.0380859375,39103.75766372681,-1.9466434137895703,0.2,0.007882776,-0.00017272865334234667,0.39443033933639526,0.064703369140625,2500,,
668,5,5929.0186,245,973.4,163840,0.0001,0.2515419125556946,15951.173828125,36234.774253845215,-1.9454862218350173,0.2,0.008513535,0.0011120369937998476,0.3943650722503662,0.073138427734375,2510,,
806,6,5804.6055,243,972.86,196608,0.0001,0.33074384927749634,8849.939453125,31093.245175170898,-1.9447164561599493,0.2,0.0077121668,0.0008427165325883834,0.39429593086242676,0.0679229736328125,2520,,
948,7,6285.076,241,990.77,229376,0.0001,0.3378778100013733,8840.7646484375,34387.5724357605,-1.943796999193728,0.2,0.007700069,-0.00011643162224572734,0.394193172454834,0.067230224609375,2530,,
1088,8,6305.966,240,957.09,262144,0.0001,0.35048604011535645,9567.4140625,36692.438671875,-1.9432395746931435,0.2,0.0075707166,0.0006743902591551887,0.394195556640625,0.0699371337890625,2540,,
1227,9,6980.82,240,995.73,294912,0.0001,0.3869611620903015,15533.3505859375,30676.748863983154,-1.9425471878610552,0.2,0.0068896776,0.0005047669542364019,0.39404264092445374,0.0558258056640625,2550,,
1363,10,6500.814,240,970.73,327680,0.0001,0.42271554470062256,9752.232421875,28707.794344329835,-1.9413381814025343,0.2,0.006893891,0.001173749660847534,0.3939588963985443,0.058843994140625,2560,,
1503,11,7193.973,239,1023.9,360448,0.0001,0.48180216550827026,8917.94140625,29917.328134155272,-1.9405412481166422,0.2,0.006474786,-0.00026696057520894103,0.39387673139572144,0.0521575927734375,2570,,
1647,12,7429.3555,238,1066.64,393216,0.0001,0.4653955101966858,8575.4111328125,30656.69036026001,-1.9388685451820493,0.2,0.00618007,0.00027223502183915116,0.39363330602645874,0.0511993408203125,2580,,
1798,13,8136.692,236,1084.02,425984,0.0001,0.33535057306289673,9952.14453125,69774.3132156372,-1.9368067451752722,0.2,0.0071137934,0.0003975409255872364,0.3934648036956787,0.0626434326171875,2590,,
1941,14,8484.773,236,1076.18,458752,0.0001,0.49478304386138916,9438.35546875,31326.584883117677,-1.935109837818891,0.2,0.006631024,0.00047168841911116033,0.39329779148101807,0.0514129638671875,2600,,
2085,15,8638.236,235,1040.85,491520,0.0001,0.4880712032318115,11293.9443359375,29402.819235992432,-1.933625247515738,0.2,0.0059490264,-1.8404763159196592e-05,0.39318424463272095,0.04696044921875,2610,,
2229,16,8635.174,235,1030.97,524288,0.0001,0.5389421284198761,9730.06640625,30921.816220092773,-1.9325271745212376,0.2,0.007604032,0.00022747355160390725,0.39308029413223267,0.0692047119140625,2620,,
2376,17,9102.96,234,1055.36,557056,0.0001,0.5223146378993988,13344.7421875,27620.80934829712,-1.9314059429802,0.2,0.0067863134,0.0005451588044707023,0.3929620385169983,0.05780029296875,2630,,
2516,18,9760.355,234,1091.04,589824,0.0001,0.5257788598537445,9482.27734375,27274.388688659667,-1.930310381948948,0.2,0.005978594,0.0007658391611130355,0.3928685486316681,0.045281982421875,2640,,
2657,19,9879.735,234,1118.08,622592,0.0001,0.5321631729602814,8360.525390625,27838.878874206544,-1.9292288064956664,0.2,0.0062660193,0.00043059720810560974,0.3927546739578247,0.0547882080078125,2650,,
2798,20,10014.18,234,1105.97,655360,0.0001,0.5442519783973694,7254.44091796875,28059.765617370605,-1.92796226516366,0.2,0.005307742,0.0003988683045463404,0.39260995388031006,0.0371368408203125,2660,,
2939,21,10072.9,234,1102.29,688128,0.0001,0.5644940733909607,8278.1044921875,28711.26481704712,-1.9268712105229497,0.2,0.0059588496,0.0002644318721650052,0.3925512135028839,0.040460205078125,2670,,
3083,22,10183.759,233,1073.42,720896,0.0001,0.5781343281269073,8812.068359375,29080.98769378662,-1.926218456402421,0.2,0.005369718,1.236673533639987e-05,0.3924756348133087,0.0354034423828125,2680,,
3226,23,10078.659,233,1060.34,753664,0.0001,0.5575133264064789,7705.61376953125,29957.64996871948,-1.9256018141284585,0.2,0.0057662483,0.0009010170369947446,0.3924213647842407,0.04337158203125,2690,,
3370,24,10230.191,233,1079.19,786432,0.0001,0.539122462272644,10008.861328125,27453.949821472168,-1.9250258773565292,0.2,0.0065188357,0.0003324114853057836,0.3923548758029938,0.0540802001953125,2700,,
3514,25,10541.709,233,1098.19,819200,0.0001,0.5259086191654205,8850.2822265625,26725.960677337647,-1.9242405448108912,0.2,0.0059515573,0.000711326241525967,0.392276406288147,0.044671630859375,2710,,
3660,26,10778.412,232,1106.34,851968,0.0001,0.5772540271282196,7106.13525390625,27747.74234313965,-1.92340216813609,0.2,0.0061106253,0.00012818500417779432,0.39219826459884644,0.04776611328125,2720,,
3803,27,10980.213,232,1099.45,884736,0.0001,0.6136007010936737,7531.57568359375,29100.24951248169,-1.922367172408849,0.2,0.00577351,0.00029196455116107243,0.39207422733306885,0.046466064453125,2730,,
3944,28,10926.098,232,1088.16,917504,0.0001,0.6041089594364166,6877.4443359375,28344.421088409425,-1.9216006394475698,0.2,0.0056662424,-3.173469012835994e-05,0.39204442501068115,0.0426910400390625,2740,,
4088,29,11013.687,232,1095.77,950272,0.0001,0.5969926714897156,11834.705078125,26163.394315338133,-1.920366626419127,0.2,0.005886551,0.0009743571808940032,0.39183303713798523,0.045050048828125,2750,,
4233,30,11220.005,232,1091.0,983040,0.0001,0.5657709538936615,7071.962890625,30010.635102081298,-1.9187674155458807,0.2,0.0063398657,0.0011911417631381483,0.39172476530075073,0.0547332763671875,2760,,
4375,31,11347.839,232,1100.7,1015808,0.0001,0.6024318635463715,9818.5390625,30251.94262161255,-1.9177776685915888,0.2,0.00631723,-0.00017677586611171138,0.391632616519928,0.04501953125,2770,,
4521,32,11435.449,231,1100.8,1048576,0.0001,0.6799722909927368,8863.25390625,25832.081260681152,-1.9171947157941758,0.2,0.006105011,2.531549398554489e-07,0.39161157608032227,0.0438446044921875,2780,,
4670,33,11527.146,231,1096.11,1081344,0.0001,0.6111558079719543,10012.3115234375,31127.923091888428,-1.9168753790669144,0.2,0.0055441484,0.0005123995585563535,0.3915793299674988,0.0391265869140625,2790,,
4815,34,11670.711,231,1095.87,1114112,0.0001,0.6771096885204315,9793.330078125,29526.73564453125,-1.9162531189620495,0.2,0.0064669726,-0.0008045644509365957,0.39148831367492676,0.0539886474609375,2800,,
4962,35,11912.367,231,1094.39,1146880,0.0001,0.6811533570289612,7922.77392578125,26633.0242767334,-1.915645350702107,0.2,0.004674439,-0.0004961076798281283,0.39146292209625244,0.028521728515625,2810,,
5107,36,12240.979,230,1136.77,1179648,0.0001,0.6817861497402191,8135.318359375,26733.724420166014,-1.9151938016526402,0.2,0.0065017156,0.00041850764389437243,0.39141038060188293,0.0522308349609375,2820,,
5249,37,12040.634,230,1122.64,1212416,0.0001,0.6691952645778656,8463.671875,27874.319146728514,-1.9147534967400133,0.2,0.0048692096,-0.00046233477642090295,0.3913864195346832,0.034771728515625,2830,,
5393,38,11603.478,230,1086.97,1245184,0.0001,0.6114761531352997,9855.2958984375,31722.556981658934,-1.9135636109858751,0.2,0.0056678094,0.0002741388713729975,0.3911668658256531,0.04375,2840,,
5536,39,10992.366,230,1031.43,1277952,0.0001,0.5834665596485138,9119.1689453125,33485.28787002563,-1.9124777096323669,0.2,0.0060299058,0.0014242809409552137,0.3911878168582916,0.0480438232421875,2850,,
5678,40,11203.023,230,1053.28,1310720,0.0001,0.597689300775528,7706.0908203125,29786.725774383543,-1.912435138039291,0.2,0.005228645,0.0001386222814289795,0.39114952087402344,0.0377838134765625,2860,,
5825,41,11325.848,230,1067.2,1343488,0.0001,0.6824624538421631,8983.8193359375,28752.052786254884,-1.9119474347680807,0.2,0.0054244655,-5.6389597648376363e-05,0.39108338952064514,0.0428192138671875,2870,,
5969,42,11611.046,230,1076.24,1376256,0.0001,0.6242354512214661,9911.6044921875,31795.014356231688,-1.9111637947149576,0.2,0.0065149674,0.0017638687578255484,0.39099326729774475,0.0539794921875,2880,,
6111,43,11562.31,230,1079.9,1409024,0.0001,0.7115250825881958,7451.8408203125,30688.07498779297,-1.910131517611444,0.2,0.0060751922,0.00015638792956451653,0.3908822238445282,0.043231201171875,2890,,
6254,44,11861.773,230,1080.84,1441792,0.0001,0.6664168834686279,8865.4365234375,29674.18789138794,-1.9090908953920007,0.2,0.005402946,-0.00020726235625261323,0.3907806873321533,0.038751220703125,2900,,
6396,45,11549.389,230,1059.36,1474560,0.0001,0.6481433808803558,14211.298828125,29806.221075439455,-1.9077181653119624,0.2,0.0056807147,0.0005577676733992121,0.39061108231544495,0.0403839111328125,2910,,
