Episode,Reward
1,-2636.4512
2,-11097.584
3,-2424.0806
4,-21556.873
5,-1887.9933
6,251.04617
7,3321.2466
8,-27039.113
9,614.3907
10,1480.1345
11,2519.2754
12,6142.5684
13,3523.7378
14,-359.89658
15,755.6518
16,3017.7874
17,12947.507
18,5512.427
19,-1143.1558
20,-624.2742
21,3636.7405
22,5813.0176
23,4073.346
24,5856.532
25,5174.2837
26,3220.9763
27,4127.8696
28,10856.576
29,6859.771
30,9942.234
31,4952.063
32,1901.8319
33,274.76373
34,2382.2227
35,-56.644238
36,4629.157
37,489.23953
38,3013.1863
39,-808.50256
40,801.00024
41,250.39098
42,14814.352
43,4872.6606
44,8533.994
45,6195.879
46,1643.1571
47,-11498.462
48,7415.47
49,195.9949
50,2821.0474
51,4838.832
52,3055.7776
53,6719.723
54,768.8845
55,11138.646
56,4377.342
57,204.998
58,7215.8984
59,-712.12415
60,1477.378
61,1818.1512
62,5207.191
63,721.44495
64,5244.942
65,3536.6455
66,-698.32
67,3715.869
68,7111.2515
69,3004.5334
70,1026.3065
71,3864.5798
72,7307.918
73,2068.0122
74,4575.542
75,7801.9497
76,3626.0408
77,3291.4927
78,1212.6769
79,8206.433
80,7158.227
81,4079.3328
82,1584.1852
83,17134.357
84,2280.1914
85,4282.2656
86,4291.4604
87,6883.334
88,2497.6792
89,-1143.6713
90,2419.0244
91,2985.281
92,4182.908
93,4360.485
94,2552.0603
95,-2303.7646
96,3704.0598
97,7257.864
98,3124.2822
99,-10581.485
100,16399.564
