time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/value_loss,train/clip_fraction,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,train/approx_kl,train/explained_variance,train/std
1,8192,758.7777777777778,4841.862,108,75,,,,,,,,,,,
2,16384,697.95,3837.642,219,74,0.0001,31822.597387695314,0.054248046875,0.2,2480,0.0013647344123455696,-1.9471400856971741,9417.96484375,0.0079648215,0.1087411642074585,0.39452993869781494
3,24576,726.4193548387096,3940.0,328,74,0.0001,30334.5564453125,0.03642578125,0.2,2490,-0.0008763254270888865,-1.9465661495923996,8683.861328125,0.0069822194,0.12294614315032959,0.39448949694633484
4,32768,694.5111111111111,3619.1812,433,75,0.0001,33983.98732910156,0.01566162109375,0.2,2500,-0.0016387460054829717,-1.9463144108653068,9511.21484375,0.004367967,0.3812774419784546,0.3944791257381439
5,40960,683.1052631578947,3561.2554,544,75,0.0001,37034.52475585938,0.03895263671875,0.2,2510,-0.0009406306606251746,-1.9461849913001061,12729.650390625,0.006376031,0.126947820186615,0.3944637179374695
6,49152,699.5151515151515,3745.572,667,73,0.0001,32328.3671875,0.0228515625,0.2,2520,-0.001019838322827127,-1.9461310118436814,12407.9814453125,0.0052492945,0.2785848379135132,0.3944767415523529
7,57344,723.6753246753246,3904.2373,780,73,0.0001,36795.5033203125,0.03201904296875,0.2,2530,0.0003857687202980742,-1.946222150325775,11239.9208984375,0.006096637,0.3849527835845947,0.3944707214832306
8,65536,744.0116279069767,4078.781,892,73,0.0001,32933.18857421875,0.02164306640625,0.2,2540,7.413206330966204e-05,-1.9461791068315506,13702.58984375,0.0036673502,0.3916667699813843,0.3944728374481201
9,73728,752.1595744680851,4149.958,1007,73,0.0001,34735.94392089844,0.024462890625,0.2,2550,9.585714142303913e-05,-1.9462313219904899,9127.5400390625,0.0051100627,0.33172768354415894,0.39448192715644836
10,81920,759.06,4159.297,1119,73,0.0001,29504.42824707031,0.030126953125,0.2,2560,-0.0010167430198634974,-1.9462039038538932,10604.98828125,0.005446668,0.39831113815307617,0.39445531368255615
11,90112,763.85,4241.307,1235,72,0.0001,32595.097583007813,0.0146728515625,0.2,2570,-0.0012557814363390208,-1.9459680795669556,9845.205078125,0.0044875303,0.3308483362197876,0.39444300532341003
12,98304,785.38,4564.82,1356,72,0.0001,26877.6892578125,0.010888671875,0.2,2580,-1.9338642596267162e-05,-1.9458734557032584,8648.8876953125,0.0034104513,0.5271044373512268,0.3944381773471832
13,106496,816.11,4909.6846,1493,71,0.0001,34570.883959960935,0.0294921875,0.2,2590,0.00043014753391616977,-1.9458943009376526,9809.724609375,0.005686076,0.5453439950942993,0.394442617893219
14,114688,845.6,5176.201,1609,71,0.0001,40680.88666992188,0.0299072265625,0.2,2600,-0.00020330168918007984,-1.9459078282117843,10355.2197265625,0.0062347045,0.41896307468414307,0.39443275332450867
15,122880,876.7,5340.004,1726,71,0.0001,34081.22060546875,0.01688232421875,0.2,2610,-0.0009650497217080556,-1.9458294451236724,10204.8876953125,0.0046741413,0.5042493343353271,0.39442700147628784
16,131072,905.67,5651.266,1854,70,0.0001,41494.83979492188,0.02030029296875,0.2,2620,-0.0013799778615066316,-1.945758256316185,14075.1044921875,0.004790626,0.508872002363205,0.3944167196750641
17,139264,925.87,5890.0244,1971,70,0.0001,37850.59670410156,0.030029296875,0.2,2630,-0.0004175436988589354,-1.9456351280212403,11987.92578125,0.005810272,0.631810188293457,0.3943995237350464
18,147456,939.18,6089.007,2084,70,0.0001,37753.133544921875,0.0216796875,0.2,2640,-0.0009241641600965522,-1.9454191282391549,10863.03125,0.0051209875,0.4113755226135254,0.39436864852905273
19,155648,954.56,6265.379,2196,70,0.0001,35161.31599121094,0.0142333984375,0.2,2650,-0.0012275060158572159,-1.9452777564525605,9963.9345703125,0.0032681874,0.41893094778060913,0.39438366889953613
20,163840,968.9,6523.5015,2316,70,0.0001,34100.7826171875,0.034521484375,0.2,2660,0.00020147014583926648,-1.945273707807064,12238.8544921875,0.0059263017,0.6839832067489624,0.39434725046157837
21,172032,1001.34,6985.1206,2431,70,0.0001,41089.96433105469,0.02081298828125,0.2,2670,0.0001271588131203316,-1.9448703199625015,12129.716796875,0.0050816443,0.4681110978126526,0.3943212926387787
22,180224,1014.67,7249.4546,2545,70,0.0001,33981.48354492187,0.011083984375,0.2,2680,-0.0015893251336819958,-1.9446258589625358,10792.7548828125,0.0037695789,0.509951114654541,0.39428988099098206
23,188416,1047.24,7631.232,2657,70,0.0001,38678.11733398437,0.0114990234375,0.2,2690,0.0004442218312760815,-1.9443068489432336,12608.6357421875,0.0030423142,0.4176039695739746,0.3942604959011078
24,196608,1049.95,7662.065,2768,71,0.0001,34194.993383789064,0.01527099609375,0.2,2700,-0.0005634494926198385,-1.9440665692090988,9505.7890625,0.0038797897,0.510888546705246,0.39424455165863037
25,204800,1059.5,7852.5405,2885,70,0.0001,28478.982373046874,0.01319580078125,0.2,2710,-0.00044256627443246544,-1.9440407007932663,9473.673828125,0.0038774023,0.5426726639270782,0.39426374435424805
1,8192,857.8571428571429,6883.355,113,72,0.0001,36623.687109375,0.0083984375,0.2,2720,-0.0006643402462941595,-1.944151835143566,12140.845703125,0.0033498376,0.5519650876522064,0.3942566514015198
2,16384,920.8571428571429,5663.1235,229,71,0.0001,38651.75236816406,0.02105712890625,0.2,2730,-0.000850745098432526,-1.9441828474402427,11820.341796875,0.0050197258,0.39129817485809326,0.3942740559577942
3,24576,1031.5454545454545,6633.726,349,70,0.0001,31316.990356445312,0.00478515625,0.2,2740,-0.00024395929649472236,-1.9442661210894585,9932.8232421875,0.002443584,0.3940504789352417,0.39426180720329285
4,32768,1077.3793103448277,7558.7256,468,69,0.0001,35028.420581054685,0.00999755859375,0.2,2750,0.00036535152030410246,-1.9441082254052162,8007.52294921875,0.0033072557,0.445146381855011,0.3942469358444214
5,40960,1122.3529411764705,8326.744,595,68,0.0001,32422.36979980469,0.0123779296875,0.2,2760,-0.0008057103535975329,-1.9439100906252862,8482.9677734375,0.0035692235,0.5395112335681915,0.39422309398651123
6,49152,1035.2666666666667,7404.2173,715,68,0.0001,36970.53798828125,0.01298828125,0.2,2770,-0.0014881671057082712,-1.9436442077159881,11259.32421875,0.003816233,0.39763301610946655,0.3941938579082489
7,57344,1074.137254901961,8069.0015,848,67,0.0001,32832.25090332031,0.0192138671875,0.2,2780,0.00031713615462649616,-1.9434706166386604,10493.0947265625,0.0034683228,0.43925225734710693,0.39419782161712646
