Episode,Reward
1,1996.9163
2,1930.1194
3,3409.2048
4,6083.079
5,206.25598
6,1178.3424
7,15736.028
8,18192.607
9,5516.803
10,2888.0972
11,576.7704
12,-247.73994
13,20187.445
14,11148.284
15,21299.713
16,17441.203
17,28705.719
18,-260.687
19,16904.318
20,22837.229
21,6007.727
22,23415.48
23,13805.445
24,-152.1615
25,3893.4944
26,12745.695
27,18093.027
28,1016.31116
29,3104.4585
30,8891.599
31,14090.362
32,14197.023
33,20734.148
34,12565.537
35,2368.3948
36,19411.838
37,1389.9532
38,1782.7306
39,3488.3552
40,6753.6714
41,20456.674
42,20502.635
43,-851.38464
44,-773.95044
45,723.0486
46,1600.7904
47,4951.949
48,1151.4597
49,23673.684
50,21613.607
51,21817.807
52,16899.168
53,6434.0684
54,12926.533
55,8021.6616
56,7835.375
57,-33.121315
58,18606.32
59,3404.1565
60,6945.665
61,11682.925
62,8034.702
63,14241.297
64,995.8931
65,11952.394
66,12284.499
67,5175.5713
68,360.05405
69,-160.30515
70,1097.6534
71,4510.267
72,4887.624
73,-943.7134
74,537.73285
75,345.17545
76,17108.287
77,10321.112
78,4142.467
79,16311.905
80,-554.4516
81,21101.762
82,1271.7394
83,210.95424
84,3738.35
85,858.9654
86,23642.834
87,1706.4355
88,192.1112
89,3076.7576
90,689.74176
91,1368.2183
92,844.155
93,3174.4685
94,5921.3765
95,3328.848
96,9566.789
97,24595.559
98,22547.758
99,17837.613
100,7762.2065
