time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss
119,12335.201,1,8192,1295.5,68,,,,,,,,,,,
246,11424.236,2,16384,1207.9,66,0.0001,0.6008073091506958,37635.566162109375,0.0050184377,4230,-0.00043173703597858547,0.39341551065444946,0.2,-1.9352698430418969,0.025439453125,13829.3447265625
374,13343.638,3,24576,1358.375,65,0.0001,0.5285939574241638,48261.25085449219,0.004810877,4240,0.0008507843682309613,0.39338213205337524,0.2,-1.9350617855787278,0.03497314453125,14456.3125
500,11407.664,4,32768,1219.4583333333333,65,0.0001,0.668277382850647,38486.0578125,0.004445515,4250,-0.00012850025086663663,0.3933817148208618,0.2,-1.9348205208778382,0.01727294921875,11926.736328125
632,11856.9795,5,40960,1271.2413793103449,64,0.0001,0.6595875322818756,34052.775659179686,0.004734828,4260,-4.574354243231937e-05,0.3933720588684082,0.2,-1.934800487756729,0.0302734375,10958.205078125
759,12506.249,6,49152,1316.264705882353,64,0.0001,0.5871122181415558,37750.13081054688,0.0059407866,4270,0.0022140552144264804,0.3933715224266052,0.2,-1.934727993607521,0.06146240234375,11282.3505859375
892,12902.4795,7,57344,1334.35,64,0.0001,0.6641572117805481,36744.834765625,0.003802442,4280,-0.0014833228691713885,0.393367737531662,0.2,-1.9347300291061402,0.013037109375,11410.4990234375
1020,12470.413,8,65536,1290.9583333333333,64,0.0001,0.6892653703689575,34806.9048828125,0.0043286886,4290,-0.0003908981889253482,0.39334234595298767,0.2,-1.9345878958702087,0.01290283203125,11954.982421875
1148,12725.804,9,73728,1312.648148148148,64,0.0001,0.5151766538619995,43338.966015625,0.004390839,4300,0.0009640493721235543,0.39335402846336365,0.2,-1.934469312429428,0.01854248046875,15295.048828125
1278,12491.676,10,81920,1310.1967213114754,64,0.0001,0.4525839686393738,42923.72412109375,0.0026689162,4310,-0.0011210431024665014,0.39333683252334595,0.2,-1.9345220535993577,0.00826416015625,12286.501953125
1410,11980.23,11,90112,1265.927536231884,63,0.0001,0.4712553024291992,42226.746484375,0.0050462773,4320,-9.890020446619019e-05,0.3933148682117462,0.2,-1.9342983603477477,0.03172607421875,13963.7880859375
1538,11832.76,12,98304,1243.576923076923,63,0.0001,0.39375799894332886,51275.5919921875,0.0045873253,4330,-0.00026930761523544786,0.39330488443374634,0.2,-1.9341295957565308,0.0249267578125,21738.298828125
1650,11324.46,13,106496,1200.7586206896551,64,0.0001,0.46725714206695557,55325.26020507813,0.0044143936,4340,0.0005565481391386129,0.3932965397834778,0.2,-1.9340395227074623,0.01680908203125,17398.396484375
1782,11264.208,14,114688,1187.7368421052631,64,0.0001,0.48340946435928345,51128.374340820315,0.0035809227,4350,-0.0009412558822077699,0.3932883143424988,0.2,-1.9339495301246643,0.01417236328125,19251.17578125
1903,11266.049,15,122880,1188.04,64,0.0001,0.6474046409130096,38675.13686523437,0.0039831875,4360,0.0004264532763045281,0.3932969272136688,0.2,-1.9339481890201569,0.01893310546875,10434.8427734375
2026,10911.776,16,131072,1164.73,64,0.0001,0.4867858290672302,39773.18811035156,0.0020055077,4370,-0.0007663200551178307,0.3932906687259674,0.2,-1.9339805871248246,0.00369873046875,14808.91015625
2157,10783.76,17,139264,1155.53,64,0.0001,0.6452891528606415,36062.86752929688,0.004037237,4380,0.000596152021898888,0.39328256249427795,0.2,-1.9338863864541054,0.027734375,13246.224609375
2280,11015.716,18,147456,1173.5,64,0.0001,0.6676655113697052,36844.54541015625,0.003382233,4390,-0.0005562148639000952,0.39325857162475586,0.2,-1.9337441191077231,0.01217041015625,11265.0849609375
2409,10533.575,19,155648,1131.19,64,0.0001,0.5762770175933838,35469.20053710938,0.0057333284,4400,-0.00040605157846584916,0.39325258135795593,0.2,-1.9335442662239075,0.0263671875,11039.7763671875
2540,10518.144,20,163840,1127.72,64,0.0001,0.6126182079315186,35216.975854492186,0.002795097,4410,0.000430373010749463,0.39323508739471436,0.2,-1.93347507417202,0.00953369140625,12827.5439453125
2656,10302.01,21,172032,1112.24,64,0.0001,0.7494213879108429,38149.57060546875,0.0041554077,4420,0.000613635836634785,0.39323118329048157,0.2,-1.9333253607153893,0.032080078125,12639.5380859375
2781,10443.815,22,180224,1126.49,64,0.0001,0.5796176791191101,50289.62758789062,0.004378852,4430,-0.0009147691438556649,0.39321333169937134,0.2,-1.933244164288044,0.03037109375,18950.953125
2903,10205.891,23,188416,1095.92,64,0.0001,0.6086644530296326,37711.841088867186,0.0032134724,4440,0.00015627143147867173,0.3932119309902191,0.2,-1.9331220731139183,0.0171142578125,13149.607421875
3030,10311.3,24,196608,1101.95,64,0.0001,0.6193749308586121,36615.57316894531,0.002629677,4450,0.0004075375720276497,0.39322856068611145,0.2,-1.9331953018903731,0.0057861328125,13380.400390625
3151,10079.094,25,204800,1088.72,64,0.0001,0.6279687285423279,34328.30358886719,0.003642183,4460,0.00013402942277025432,0.3932180106639862,0.2,-1.9332463577389718,0.01195068359375,11500.4765625
