Episode,Reward
1,664.2318
2,659.301
3,659.2545
4,5916.913
5,5891.949
6,5891.0205
7,3236.4692
8,150.12102
9,140.63637
10,140.62704
11,832.8749
12,289.48846
13,281.98215
14,282.88937
15,118.12855
16,356.4843
17,344.33545
18,346.2043
19,-48.637657
20,85.2754
21,74.12419
22,75.016655
23,4556.357
24,4561.301
25,4561.617
26,2132.6292
27,464.9984
28,457.04355
29,456.69507
30,-1494.3164
31,-1061.7273
32,-1068.2507
33,-1067.3489
34,-1063.3015
35,-1040.4438
36,-1050.5538
37,-1049.9302
38,-528.5965
39,5401.853
40,5400.4663
41,5401.6895
42,-979.92926
43,-966.10516
44,-966.19696
45,1085.8231
46,73.433685
47,62.022633
48,64.59869
49,-501.91107
50,-529.433
51,-530.84406
52,-532.13434
53,-1407.1243
54,-1396.0707
55,-1397.645
56,-343.10263
57,-409.41785
58,-417.69806
59,-418.3036
60,-1310.7819
61,106.073044
62,91.9115
63,2130.4236
64,1601.669
65,573.8893
66,567.6848
67,684.4528
68,4703.382
69,4635.772
70,7438.462
71,2585.0168
72,2577.5747
73,-471.1066
74,7320.0513
75,668.13275
76,664.7631
77,-141.55179
78,581.16956
79,-30.70285
80,-29.85947
81,-18.761726
82,29.579672
83,-257.3492
84,-260.26016
85,321.65253
86,219.57742
87,218.78398
88,213.58601
89,111.147934
90,418.2375
91,413.25665
92,1184.4009
93,797.70325
94,566.8311
95,1716.9799
96,3658.0132
97,2088.5808
98,1704.1987
99,1316.0778
100,-515.28906
