rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/std,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
309.69565217391306,8192,56,1,-193.32492,146,,,,,,,,,,,,,
308.84313725490193,16384,56,2,-2.5066097,291,0.3234115242958069,7118.742935562133,2480,0.2,0.0001,0.3947208523750305,0.01194443,0.0033704203757224604,0.1095703125,1429.702392578125,-1.9480277631431817,,
308.6923076923077,24576,56,3,-53.314617,436,0.3248799443244934,5819.5411739349365,2490,0.2,0.0001,0.39456725120544434,0.0053003263,-0.0013380557255004532,0.04091796875,1094.6361083984375,-1.9480787698179483,,
307.0,32768,56,4,-151.81943,579,0.4561895728111267,5526.814961242676,2500,0.2,0.0001,0.39480531215667725,0.0067192637,-0.0011165255535161122,0.04776611328125,2131.046630859375,-1.9482424717396498,,
303.0,40960,56,5,-267.84988,723,0.48968303203582764,1959.811071586609,2510,0.2,0.0001,0.3947954773902893,0.0057953075,-0.0026872664340771733,0.0497314453125,639.1243286132812,-1.949422275647521,,
305.0,49152,56,6,-191.06827,866,0.4672733545303345,1531.008532142639,2520,0.2,0.0001,0.39491134881973267,0.006459077,1.1941339471377432e-05,0.04097900390625,544.1368408203125,-1.9503868531435729,,
304.0,57344,56,7,-169.17863,1008,0.2901756763458252,3268.2875875473023,2530,0.2,0.0001,0.39496472477912903,0.006414002,0.0004933877338771708,0.06583251953125,510.3667297363281,-1.9508728355169296,,
304.0,65536,56,8,-187.825,1154,0.20534592866897583,1606.7172685623168,2540,0.2,0.0001,0.39491599798202515,0.0091999415,-0.0005421348629170098,0.07325439453125,443.9767150878906,-1.9514820501208305,,
304.0,73728,56,9,-181.56615,1296,0.2343277931213379,767.3332524299622,2550,0.2,0.0001,0.39525413513183594,0.0074572978,-0.0023813241699826905,0.06402587890625,253.65301513671875,-1.9521661419421434,,
301.0,81920,57,10,-351.8387,1435,0.4549427032470703,472.9645285606384,2560,0.2,0.0001,0.3957279324531555,0.0104986755,-0.0020179398059553934,0.10426025390625,157.7704315185547,-1.9558171793818473,,
