Episode,Reward
1,0.0
2,0.0
3,-1000.0
4,-1000.0
5,-1000.0
6,0.0
7,0.0
8,-1000.0
9,-1000.0
10,100.0
11,-1000.0
12,0.0
13,0.0
14,100.0
15,100.0
16,-1000.0
17,-2000.0
18,100.0
19,0.0
20,0.0
21,-1000.0
22,-1000.0
23,100.0
24,-1000.0
25,-1000.0
26,0.0
27,0.0
28,-1000.0
29,-1000.0
30,-1000.0
31,0.0
32,0.0
33,100.0
34,1300.0
35,1300.0
36,1300.0
37,-1000.0
38,-1000.0
39,-1000.0
40,0.0
41,0.0
42,100.0
43,-1000.0
44,-1000.0
45,-1000.0
46,-2000.0
47,6500.0
48,4000.0
49,-2000.0
50,-1000.0
51,-2000.0
52,-1000.0
53,5500.0
54,1600.0
55,100.0
56,0.0
57,-1000.0
58,2600.0
59,100.0
60,-2000.0
61,2300.0
62,2600.0
63,-900.0
64,-900.0
65,300.0
66,-2000.0
67,2600.0
68,1300.0
69,-1000.0
70,100.0
71,100.0
72,3000.0
73,1300.0
74,300.0
75,14500.0
76,-1000.0
77,-13200.0
78,1300.0
79,1300.0
80,100.0
81,1600.0
82,-900.0
83,1300.0
84,100.0
85,100.0
86,1300.0
87,1300.0
88,-1000.0
89,-1000.0
90,100.0
91,5500.0
92,1300.0
93,1300.0
94,1300.0
95,1300.0
96,2600.0
97,1300.0
98,1300.0
99,1300.0
100,1300.0
