Episode,Reward
1,1389.7158
2,712.52545
3,1508.807
4,5347.257
5,592.91534
6,5022.6357
7,467.26633
8,11168.872
9,1835.3785
10,3128.836
11,9975.197
12,5875.6533
13,2759.057
14,16160.857
15,9748.473
16,6073.2236
17,6506.787
18,9127.265
19,-2148.5059
20,12525.362
21,8921.15
22,5206.7666
23,5975.289
24,18152.898
25,11946.206
26,1900.6462
27,15032.02
28,5412.2617
29,3940.0388
30,9234.961
31,2048.563
32,11024.439
33,13022.883
34,-716.9761
35,11144.379
36,18555.598
37,12486.382
38,8644.361
39,7589.7363
40,12090.923
41,1062.217
42,8097.7314
43,-278.26312
44,8225.95
45,6066.641
46,10895.539
47,14718.521
48,7235.5215
49,607.5262
50,1032.7461
51,-259.8416
52,9464.174
53,6194.752
54,12999.175
55,6599.6396
56,12564.224
57,-3491.1924
58,5947.6187
59,54.892582
60,11009.642
61,14018.1
62,8389.238
63,7204.4546
64,8576.632
65,14629.104
66,9816.359
67,5050.454
68,10815.4375
69,7032.602
70,-1276.9617
71,6896.55
72,13012.598
73,11742.887
74,2908.775
75,14313.741
76,9453.433
77,13791.409
78,5086.9434
79,15901.681
80,15447.408
81,1071.693
82,17412.844
83,9801.54
84,3863.0813
85,1832.2397
86,18025.715
87,4622.3813
88,11883.063
89,-804.591
90,-3013.8718
91,14604.889
92,5536.4683
93,10655.393
94,2917.49
95,11637.869
96,9429.477
97,-1731.4011
98,7186.708
99,-4142.4014
100,11248.746
