Episode,Reward
1,-2069.2747
2,1718.2941
3,4673.184
4,2004.8503
5,-6807.864
6,3834.041
7,11898.597
8,13199.16
9,-2025.0264
10,11879.163
11,16428.691
12,8596.808
13,13806.093
14,5190.383
15,4716.6333
16,15863.528
17,15718.835
18,12472.756
19,23491.94
20,17917.35
21,-10763.418
22,4465.664
23,11184.567
24,8802.266
25,12213.733
26,-1452.5228
27,9296.409
28,1621.6906
29,-838.41125
30,-9349.196
31,17261.521
32,6276.4526
33,5291.161
34,9782.311
35,3833.7517
36,7066.5913
37,3778.5498
38,5055.152
39,-1859.7924
40,4204.866
41,9993.858
42,2311.5486
43,8453.497
44,18502.541
45,-6956.7393
46,3055.2039
47,17063.21
48,7752.7783
49,8469.052
50,18115.803
51,5601.276
52,929.2047
53,8048.5303
54,2766.8247
55,3510.882
56,11981.252
57,8666.833
58,20025.621
59,6869.247
60,3987.2737
61,1651.6547
62,-659.60864
63,6220.6304
64,7711.0327
65,6355.056
66,6607.7397
67,-1087.0149
68,-651.65204
69,10591.843
70,4837.0205
71,-824.074
72,10230.006
73,5085.7217
74,-177.2448
75,7774.894
76,-905.7227
77,22960.066
78,5997.914
79,17563.166
80,-25960.846
81,6245.004
82,10188.665
83,10448.844
84,2396.2407
85,7671.467
86,4825.9526
87,11052.417
88,-11322.206
89,8750.729
90,449.68622
91,7154.873
92,3528.7593
93,9196.533
94,9915.989
95,8553.036
96,7215.097
97,19909.967
98,-137.87173
99,4267.1104
100,9815.221
