Episode,Reward
1,1788.2562
2,2349.579
3,6830.182
4,1726.1785
5,5027.483
6,8589.435
7,12711.123
8,11649.992
9,15038.414
10,9892.716
11,10276.713
12,9057.891
13,5626.3022
14,1168.3218
15,14861.434
16,13462.687
17,4235.953
18,2780.0916
19,6853.1284
20,10369.473
21,2315.5938
22,2261.597
23,3570.093
24,5269.804
25,15113.655
26,7345.3784
27,15126.479
28,-1061.8269
29,6229.89
30,13322.39
31,11832.268
32,3680.8318
33,5806.3086
34,6816.4683
35,15360.672
36,13759.863
37,6217.9116
38,3573.7979
39,-3854.7122
40,10871.426
41,9748.427
42,14751.572
43,8037.729
44,4372.5684
45,10609.081
46,-20.244062
47,5142.5874
48,6105.2544
49,4710.8135
50,10510.621
51,11784.457
52,6706.476
53,10785.587
54,14578.106
55,10475.496
56,-8055.7837
57,12001.517
58,12520.501
59,8930.713
60,11313.426
61,6028.2993
62,-539.07355
63,15243.142
64,6075.7314
65,11446.762
66,-248.02292
67,4912.8447
68,6126.4297
69,5985.3745
70,-933.96326
71,9450.284
72,7818.8047
73,9969.819
74,7851.9893
75,6566.9683
76,9353.753
77,5700.809
78,3645.3618
79,6821.006
80,404.23123
81,13782.561
82,7772.29
83,11319.489
84,6717.5347
85,15810.515
86,3635.2427
87,6467.4214
88,12106.319
89,7910.809
90,-724.21564
91,-4815.6943
92,3402.792
93,8224.511
94,1532.8136
95,1058.4601
96,6578.2354
97,6422.644
98,9986.363
99,17413.225
100,17729.637
