Episode,Reward
1,3757.2236
2,2860.9065
3,7068.024
4,1327.5941
5,280.95148
6,5047.0547
7,6303.295
8,4487.361
9,10714.732
10,10262.475
11,12031.17
12,13448.213
13,12725.398
14,-3285.3591
15,975.5432
16,16782.578
17,19201.775
18,3260.368
19,12262.208
20,368.4159
21,5908.15
22,8649.042
23,22652.99
24,7822.7153
25,13218.806
26,-2076.0696
27,3868.0408
28,3812.9458
29,15732.99
30,5725.855
31,20014.162
32,27528.945
33,22971.768
34,499.46762
35,7360.6675
36,10071.364
37,13383.339
38,12089.012
39,11542.355
40,42.786102
41,13716.925
42,19461.99
43,8510.433
44,4760.1772
45,19668.176
46,9391.839
47,-784.60364
48,10545.833
49,10733.206
50,13746.904
51,2977.6016
52,434.51352
53,11204.761
54,6050.2007
55,92.2573
56,7999.5137
57,407.98544
58,12238.922
59,10828.082
60,-893.25696
61,14034.141
62,1042.2231
63,3826.1804
64,2574.6528
65,-563.95593
66,13498.478
67,712.42883
68,8092.7188
69,1770.3435
70,8480.921
71,7063.1597
72,8482.265
73,14521.025
74,-1211.4261
75,7827.3237
76,10659.248
77,3258.3765
78,8042.9404
79,12403.292
80,22118.338
81,5601.74
82,220.10387
83,2946.9875
84,4387.834
85,5321.533
86,17101.547
87,24657.855
88,9785.831
89,-4791.7334
90,629.3915
91,17945.514
92,21946.635
93,12866.778
94,-940.33954
95,-2267.2922
96,783.18225
97,11545.216
98,471.76685
99,26205.604
100,-2677.7844
