time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
32768,594.6046511627907,1061.8956,296,110,1,,,,,,,,,,,,,
65536,648.2795698924731,1827.966,323,202,2,0.010479614,2480,16163.05859375,34311.20981750488,0.2,0.10389404296875,-1.9469166180118918,0.0001,0.002068125156802125,0.39449483156204224,0.04253077507019043,,
98304,668.7,2359.9094,328,299,3,0.0081343055,2490,10829.525390625,36032.57768249512,0.2,0.0777587890625,-1.9460950447246432,0.0001,0.0005527517540031112,0.3944310247898102,0.1590539813041687,,
131072,690.02,2679.73,336,389,4,0.009093257,2500,10515.4833984375,32681.6530960083,0.2,0.0820648193359375,-1.9453419720754028,0.0001,-0.0001372099706713925,0.3943467140197754,0.21939468383789062,,
163840,711.43,2937.7898,338,483,5,0.0065496024,2510,14474.9697265625,36064.15371398926,0.2,0.04661865234375,-1.9447091862559318,0.0001,0.0004336250480264425,0.3943040668964386,0.2717001438140869,,
196608,740.31,3153.594,338,580,6,0.006906217,2520,9621.3798828125,33943.79951782226,0.2,0.0526611328125,-1.944344948232174,0.0001,0.00031086449198483026,0.39427757263183594,0.28408700227737427,,
229376,741.01,3292.212,341,671,7,0.0071292133,2530,14124.875,35931.1935760498,0.2,0.05313720703125,-1.9434006044641137,0.0001,-9.063835241249763e-05,0.3941238224506378,0.378090500831604,,
262144,772.75,4235.0396,342,765,8,0.0058615417,2540,11099.203125,34531.06676483154,0.2,0.0374298095703125,-1.9424212696030736,0.0001,-0.0005207047437579604,0.3940947949886322,0.3521295189857483,,
294912,782.28,4558.345,343,857,9,0.007332246,2550,13275.6181640625,40245.84595031738,0.2,0.05791015625,-1.9417424773797394,0.0001,-0.0003400407029403141,0.39399635791778564,0.38132917881011963,,
327680,780.82,4887.0776,342,956,10,0.00723885,2560,12772.662109375,35775.36368408203,0.2,0.0564361572265625,-1.9409191142767668,0.0001,-0.0012263768287084531,0.39393937587738037,0.4650796055793762,,
360448,802.64,5708.9424,340,1057,11,0.0069032568,2570,15455.3837890625,38204.77077941895,0.2,0.055731201171875,-1.9402910783886909,0.0001,-0.00041160165819746907,0.39387327432632446,0.4760051369667053,,
393216,808.43,5933.725,339,1156,12,0.006897712,2580,13833.212890625,35332.082217407224,0.2,0.05574951171875,-1.9394520871341228,0.0001,0.0010257581310725073,0.39377647638320923,0.48929500579833984,,
425984,842.24,6323.266,339,1255,13,0.0057833474,2590,16470.349609375,39406.6668548584,0.2,0.0460906982421875,-1.93841144554317,0.0001,0.000572511984501034,0.39367708563804626,0.4377650022506714,,
458752,835.93,6113.793,340,1348,14,0.005603616,2600,9321.1689453125,32171.659826660158,0.2,0.0407867431640625,-1.9374768383800984,0.0001,-0.00012837752492487198,0.3935913145542145,0.5048378109931946,,
491520,834.4,6099.9995,340,1442,15,0.005984974,2610,15962.236328125,38695.594424438474,0.2,0.043927001953125,-1.9364786183461546,0.0001,0.0003001329521794105,0.3934653401374817,0.4700571894645691,,
524288,840.9,6400.6064,342,1531,16,0.005589369,2620,15056.0205078125,38526.22366638183,0.2,0.038006591796875,-1.9352868990972638,0.0001,8.978910555015318e-05,0.3933524489402771,0.5121120512485504,,
557056,832.24,6478.719,343,1621,17,0.0056802654,2630,10693.0927734375,34602.41598510742,0.2,0.035870361328125,-1.9345603249967098,0.0001,0.0007071127638482722,0.3933205306529999,0.5542240738868713,,
589824,846.55,6812.8877,344,1714,18,0.0058755036,2640,10107.5732421875,36387.4217376709,0.2,0.0405364990234375,-1.934212091192603,0.0001,-8.529250408173539e-05,0.39327481389045715,0.5142107605934143,,
622592,837.97,6902.6157,344,1806,19,0.006399677,2650,11339.1923828125,33499.34030303955,0.2,0.0430084228515625,-1.9335733111947775,0.0001,0.0004913009179290384,0.39320188760757446,0.509592205286026,,
655360,871.96,7349.735,345,1897,20,0.0046018856,2660,12281.99609375,35210.94466552734,0.2,0.027508544921875,-1.9327774396166206,0.0001,0.00013018864010518882,0.3931136727333069,0.5772388577461243,,
688128,893.32,7642.11,345,1993,21,0.005476436,2670,9898.01953125,35333.64384765625,0.2,0.03995361328125,-1.9324084855616093,0.0001,0.0006253849613131024,0.39314067363739014,0.5221366584300995,,
720896,887.94,7606.878,345,2084,22,0.005937553,2680,11694.205078125,35671.20638122559,0.2,0.0369842529296875,-1.9321929564699531,0.0001,-0.0008388959806325147,0.3930574059486389,0.5504034757614136,,
753664,865.97,7688.0894,345,2178,23,0.0055273166,2690,13898.2685546875,38839.61698608399,0.2,0.03558349609375,-1.9315244683995842,0.0001,0.00020413269994605797,0.3930095434188843,0.5322496592998505,,
786432,887.89,7955.365,346,2268,24,0.005014679,2700,10662.11328125,36508.7144897461,0.2,0.0300079345703125,-1.930868697538972,0.0001,-0.0011087117785791635,0.3929262161254883,0.5948544442653656,,
819200,878.85,7775.765,346,2361,25,0.004712267,2710,11035.4072265625,33899.40003967285,0.2,0.02890625,-1.929899931140244,0.0001,-0.00018741250642051455,0.39281970262527466,0.5715551674365997,,
851968,887.67,7635.3774,346,2457,26,0.004954365,2720,11743.970703125,39115.628549194334,0.2,0.0303985595703125,-1.9287970138713717,0.0001,9.015407267725095e-05,0.39271464943885803,0.5306971371173859,,
884736,894.37,8013.1387,346,2550,27,0.00480327,2730,13322.591796875,38481.27057495117,0.2,0.0292083740234375,-1.9277402251958846,0.0001,6.368051217577885e-05,0.3926253914833069,0.5579459071159363,,
917504,878.44,8061.8257,347,2642,28,0.0051408447,2740,13350.2734375,40633.88887939453,0.2,0.0313873291015625,-1.927302634343505,0.0001,-0.0003855298702546861,0.3926314115524292,0.5814903080463409,,
950272,922.06,8803.638,346,2741,29,0.005685565,2750,17820.2734375,38604.54360351562,0.2,0.033563232421875,-1.9269655903801322,0.0001,-5.2426342335820664e-05,0.39254772663116455,0.5706295073032379,,
983040,895.4,8595.862,346,2839,30,0.0056007286,2760,15173.4716796875,35868.53131713867,0.2,0.0379730224609375,-1.9267872367054224,0.0001,-3.202048246748745e-05,0.39260798692703247,0.5345088541507721,,
1015808,883.31,8192.866,345,2936,31,0.0041779242,2770,12901.8212890625,38120.108569335935,0.2,0.0222412109375,-1.926936768554151,0.0001,0.00040390369431406723,0.39256805181503296,0.5068069696426392,,
1048576,888.34,8092.095,345,3035,32,0.0045865234,2780,14045.25,38786.55894165039,0.2,0.0323516845703125,-1.9264143247157335,0.0001,-0.0005643014686938841,0.3925144672393799,0.5430265665054321,,
1081344,925.02,8336.236,345,3132,33,0.005120517,2790,14065.5517578125,37912.86632080078,0.2,0.0329345703125,-1.925956397689879,0.0001,-0.0003165721755067352,0.39248165488243103,0.5388302206993103,,
1114112,936.6,8529.746,344,3231,34,0.004807638,2800,14526.927734375,31957.72364807129,0.2,0.032867431640625,-1.925618906877935,0.0001,-0.00025623225046729204,0.3924400210380554,0.5903352200984955,,
1146880,960.82,9079.763,344,3330,35,0.0045840237,2810,13745.2841796875,36719.4256439209,0.2,0.027685546875,-1.924991986528039,0.0001,-0.0003424181810260052,0.392350435256958,0.5716221332550049,,
1179648,977.97,9440.188,343,3430,36,0.004370288,2820,9944.861328125,34665.712902832034,0.2,0.02669677734375,-1.9242412626743317,0.0001,-0.00038549556193174795,0.392300546169281,0.5905119180679321,,
1212416,1002.67,9645.774,343,3531,37,0.0052247616,2830,7358.99267578125,32921.893655395506,0.2,0.03509521484375,-1.923385862261057,0.0001,0.0011442864328273573,0.39217469096183777,0.590232640504837,,
1245184,1021.58,9933.331,342,3633,38,0.005313575,2840,11520.98046875,34944.64799804687,0.2,0.0341461181640625,-1.9225480619817972,0.0001,-0.00147208182279428,0.392136812210083,0.5795889794826508,,
1277952,1033.51,9894.588,342,3729,39,0.005242037,2850,9278.525390625,31148.620861816406,0.2,0.0370208740234375,-1.921992110647261,0.0001,0.00019099995151918847,0.39206480979919434,0.6587329506874084,,
1310720,1059.04,10431.416,342,3823,40,0.004509083,2860,9480.4677734375,30248.191189575195,0.2,0.0300140380859375,-1.921291290409863,0.0001,-0.000598932255343243,0.39199480414390564,0.6621978580951691,,
1343488,1031.43,10182.622,342,3920,41,0.0057810987,2870,9530.583984375,32821.99012298584,0.2,0.034173583984375,-1.9208810394629836,0.0001,-0.0001499121994129382,0.39199280738830566,0.6312447488307953,,
1376256,1019.1,9488.4795,342,4016,42,0.0049848836,2880,12013.251953125,34114.78312072754,0.2,0.0312591552734375,-1.9207707872614264,0.0001,4.004003931186162e-05,0.391971230506897,0.5945684611797333,,
