rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/n_updates,train/std,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
1917.1041,395,32768,664.3846153846154,1,82,,,,,,,,,,,,,
2364.819,397,65536,675.6703296703297,2,165,47647.5826171875,0.0006540590369695565,2480,0.3945227265357971,0.2,15334.029296875,0.11675935983657837,-1.9470935521647335,0.01002954,0.0001,0.0893524169921875,,
2780.7368,394,98304,695.7,3,249,37360.82982177734,0.00016862652573763627,2490,0.39456531405448914,0.2,12238.5224609375,0.15483301877975464,-1.9468926040455699,0.0073507633,0.0001,0.05904541015625,,
3480.9404,391,131072,746.2,4,334,38355.28600463867,0.0009794110577786342,2500,0.39447712898254395,0.2,15331.134765625,0.19863390922546387,-1.946675667539239,0.0067346324,0.0001,0.047296142578125,,
3887.9937,390,163840,789.95,5,419,35245.25709228516,-0.0003606987145758467,2510,0.39435291290283203,0.2,15326.203125,0.34019166231155396,-1.9455655261874198,0.0066667665,0.0001,0.0524261474609375,,
4032.4387,388,196608,799.85,6,505,35035.058422851565,0.0009523777047434123,2520,0.39426448941230774,0.2,11271.060546875,0.31834638118743896,-1.9444652382284402,0.0062969113,0.0001,0.05157470703125,,
4412.7817,387,229376,821.59,7,591,36868.09866638183,0.0010038307447757689,2530,0.3942573666572571,0.2,12013.357421875,0.31979799270629883,-1.9439367854967713,0.00811907,0.0001,0.0685577392578125,,
4365.522,387,262144,811.39,8,676,35781.87707214356,-0.0004694265462603653,2540,0.3941926956176758,0.2,9618.330078125,0.40653395652770996,-1.9435940202325583,0.00696469,0.0001,0.0557037353515625,,
5297.9395,386,294912,871.71,9,763,32935.84660644531,0.0003766052035643952,2550,0.394161194562912,0.2,12483.201171875,0.4296705722808838,-1.9431160861626267,0.0057654474,0.0001,0.0397857666015625,,
5628.571,385,327680,881.31,10,850,33358.33067932129,0.000609027147947927,2560,0.3941298723220825,0.2,10692.8935546875,0.41962164640426636,-1.9427997609600425,0.006694603,0.0001,0.0489898681640625,,
5754.43,384,360448,878.24,11,938,30161.374476623536,0.0012647859140997753,2570,0.39406102895736694,0.2,8771.037109375,0.4378836750984192,-1.9422575300559402,0.0069164094,0.0001,0.0553558349609375,,
5937.1855,382,393216,889.37,12,1028,34770.25382080078,0.00047525402915198355,2580,0.3941154479980469,0.2,9686.689453125,0.42932653427124023,-1.9421684762462974,0.005834408,0.0001,0.041729736328125,,
5824.3237,380,425984,866.24,13,1118,32871.31945953369,-0.0007706914100708672,2590,0.39408931136131287,0.2,11279.32421875,0.47060632705688477,-1.9423182591795922,0.0064267837,0.0001,0.0456146240234375,,
6237.21,379,458752,899.6,14,1207,32360.64793548584,-0.00011279261671006679,2600,0.39399293065071106,0.2,11122.59765625,0.4781413674354553,-1.9416859654709697,0.0075301053,0.0001,0.06011962890625,,
6294.5537,379,491520,888.51,15,1296,31473.505892944337,0.0007816625678970013,2610,0.39386847615242004,0.2,9601.146484375,0.48689717054367065,-1.9405441749840975,0.00661554,0.0001,0.055816650390625,,
6841.6274,378,524288,920.87,16,1384,29191.229745483397,0.0004764210603752872,2620,0.39373430609703064,0.2,11860.076171875,0.5590052902698517,-1.939219542965293,0.0064503876,0.0001,0.051446533203125,,
6788.1313,378,557056,908.72,17,1472,30134.730334472657,0.0006254272522710381,2630,0.3936905264854431,0.2,8940.830078125,0.5139456689357758,-1.9383035087957978,0.006351435,0.0001,0.049835205078125,,
7285.0723,377,589824,941.91,18,1562,31086.850924682618,0.000660866061298293,2640,0.39362889528274536,0.2,10898.333984375,0.5042580962181091,-1.9377780724316835,0.005822243,0.0001,0.04578857421875,,
7221.549,377,622592,931.03,19,1649,31364.928190612794,0.0002878659634006908,2650,0.3935401439666748,0.2,13061.7041015625,0.5770183801651001,-1.9370377156883478,0.0048246123,0.0001,0.0288238525390625,,
6930.709,376,655360,906.94,20,1741,31328.57615814209,0.0011269374586845514,2660,0.39358311891555786,0.2,10871.3408203125,0.5544297397136688,-1.9367585254833102,0.0050733434,0.0001,0.0332366943359375,,
6554.674,375,688128,890.89,21,1830,30737.26746673584,3.308124469185714e-05,2670,0.3935161828994751,0.2,11182.2861328125,0.6046890318393707,-1.9366292292252183,0.005668347,0.0001,0.0404266357421875,,
6441.8145,374,720896,894.52,22,1923,29965.566107177736,0.00014813597517786546,2680,0.3933999240398407,0.2,9533.015625,0.4898363947868347,-1.9356422705575824,0.00569987,0.0001,0.04140625,,
6010.507,374,753664,846.19,23,2010,30842.453771972658,0.0007319379234104417,2690,0.3933985233306885,0.2,9361.9716796875,0.501705676317215,-1.9350372720509768,0.005968226,0.0001,0.039642333984375,,
6744.4043,373,786432,888.97,24,2103,31877.63942565918,-0.0002283909863763256,2700,0.39333289861679077,0.2,10085.921875,0.5380036532878876,-1.9347755569964646,0.0044600256,0.0001,0.0264556884765625,,
7288.9536,373,819200,919.23,25,2195,26811.800311279298,-0.00030268342161434705,2710,0.39331549406051636,0.2,7471.09130859375,0.5825266242027283,-1.9343019811436535,0.0053045284,0.0001,0.0361480712890625,,
8063.2305,372,851968,970.41,26,2288,27695.657719421386,4.73579873869312e-05,2720,0.393371045589447,0.2,7788.685546875,0.6487076878547668,-1.9344699263572693,0.0048647667,0.0001,0.0286895751953125,,
8195.563,372,884736,967.25,27,2377,30662.44436035156,0.001071352628787281,2730,0.39327573776245117,0.2,10080.9091796875,0.593414306640625,-1.9343422837555408,0.006362058,0.0001,0.0463165283203125,,
8493.109,371,917504,980.45,28,2469,30423.330564880373,-0.00020739415631396697,2740,0.393220990896225,0.2,10218.1591796875,0.6310308575630188,-1.933523215726018,0.005545009,0.0001,0.0381317138671875,,
8490.704,371,950272,969.75,29,2557,28164.037411499023,-0.0005371991504944162,2750,0.39317816495895386,0.2,9495.6279296875,0.6123483180999756,-1.9330681273713708,0.0066654272,0.0001,0.0467071533203125,,
8271.928,371,983040,939.7,30,2646,29010.835719299317,0.0009963319727830822,2760,0.3931376039981842,0.2,8539.220703125,0.6168243885040283,-1.932606665417552,0.0056698364,0.0001,0.0411712646484375,,
7833.197,371,1015808,883.8,31,2736,35254.18775634766,-0.0003668179051601328,2770,0.3931245803833008,0.2,11072.7001953125,0.6008789241313934,-1.9323300058022141,0.005743283,0.0001,0.0347259521484375,,
8100.355,370,1048576,903.08,32,2831,35435.73296051026,-4.3759557411249264e-05,2780,0.3930938243865967,0.2,11884.048828125,0.5981789827346802,-1.9320751233026385,0.006049293,0.0001,0.0418426513671875,,
8323.809,369,1081344,915.36,33,2928,28341.680868530275,-7.809982780599966e-05,2790,0.3930118680000305,0.2,9181.3662109375,0.6178790628910065,-1.9314964769408107,0.004471765,0.0001,0.0269622802734375,,
8877.169,368,1114112,988.66,34,3022,31650.09828338623,-0.00023207764425023925,2800,0.3930058777332306,0.2,9428.578125,0.6195690631866455,-1.9310177931562067,0.0041293744,0.0001,0.0222991943359375,,
8130.1704,368,1146880,977.93,35,3114,256024.69800720215,0.0006078306148992851,2810,0.39303237199783325,0.2,122699.5078125,0.34945857524871826,-1.9310845075175167,0.0057602827,0.0001,0.036834716796875,,
7625.022,368,1179648,949.02,36,3203,295371.73506774905,5.895185204281006e-05,2820,0.3929852247238159,0.2,234765.96875,0.4352712035179138,-1.9310204185545445,0.0050231935,0.0001,0.0360107421875,,
7547.7344,368,1212416,901.5,37,3291,31897.92688140869,-0.0006648773378401529,2830,0.39295464754104614,0.2,12028.279296875,0.589137613773346,-1.9306094767525792,0.0049235206,0.0001,0.0345306396484375,,
8231.839,367,1245184,959.42,38,3384,30046.48832397461,0.0011082982236985117,2840,0.3928801417350769,0.2,10325.966796875,0.5710591673851013,-1.9300876405090093,0.004556263,0.0001,0.0294281005859375,,
8107.7495,367,1277952,954.06,39,3476,224061.81081085204,-0.0004775608089403249,2850,0.3928827941417694,0.2,122626.6875,0.4610970616340637,-1.9296411734074355,0.0056544114,0.0001,0.0444061279296875,,
7553.176,367,1310720,953.92,40,3566,31704.732131958008,0.0006755960135706119,2860,0.39275479316711426,0.2,11397.48828125,0.554976224899292,-1.929069796949625,0.0042405347,0.0001,0.0262969970703125,,
8415.25,367,1343488,956.97,41,3658,233467.8216064453,-0.00039251030702871505,2870,0.39279332756996155,0.2,88019.40625,0.381242573261261,-1.9285481134429574,0.005794159,0.0001,0.0469940185546875,,
9063.57,367,1376256,990.08,42,3749,31415.019909667968,0.00011884975829161704,2880,0.3927212953567505,0.2,11173.05859375,0.6870894432067871,-1.9284492744132877,0.005515502,0.0001,0.0415985107421875,,
9308.374,366,1409024,990.43,43,3839,39159.63370361328,-0.00036487136494542936,2890,0.3927057087421417,0.2,9660.2548828125,0.5355531573295593,-1.9279168609529733,0.0056859436,0.0001,0.04195556640625,,
8870.968,366,1441792,945.48,44,3931,70440.67507019042,-0.0003928542075300356,2900,0.392721951007843,0.2,70800.296875,0.6214938461780548,-1.927941120415926,0.0062872553,0.0001,0.0430023193359375,,
9208.797,366,1474560,970.31,45,4022,37247.98423156738,7.149951379687991e-05,2910,0.3926997184753418,0.2,10561.845703125,0.6709692776203156,-1.9278931776061654,0.005574866,0.0001,0.0367279052734375,,
9739.473,366,1507328,979.94,46,4114,33999.51410522461,9.889124703477137e-05,2920,0.39263296127319336,0.2,10003.8837890625,0.6572210788726807,-1.9274314031004907,0.005376765,0.0001,0.0324554443359375,,
9574.344,366,1540096,981.74,47,4204,35555.01425476074,0.0006639930081291823,2930,0.39260876178741455,0.2,15118.48046875,0.6253447532653809,-1.926946584880352,0.005392897,0.0001,0.0337615966796875,,
8374.034,366,1572864,974.08,48,4295,36505.912106323245,-0.0001834760478232056,2940,0.3925751745700836,0.2,11976.1083984375,0.667925238609314,-1.926633134111762,0.004525968,0.0001,0.0300262451171875,,
,,1600000,,,,222708.6757965088,-0.00029813361325068397,2950,0.3925895094871521,0.2,63200.21484375,0.47279834747314453,-1.9265070479363202,0.0055079362,0.0001,0.0336944580078125,2761.722412109375,679.93
7559.757,348,1605632,934.13,49,4603,,,,,,,,,,,,,
7585.8306,348,1638400,943.93,50,4697,34817.96533813477,0.0011462221147667151,2960,0.39250123500823975,0.2,9063.0146484375,0.645654946565628,-1.926229099370539,0.005628446,0.0001,0.0385955810546875,,
8726.77,348,1671168,967.72,51,4790,32009.730859375,-0.0001394442646414973,2970,0.39244765043258667,0.2,8029.76318359375,0.5808124542236328,-1.9254963925108313,0.005129837,0.0001,0.0374755859375,,
9424.56,348,1703936,1015.79,52,4884,31829.11113586426,0.00024411251579294912,2980,0.3924139142036438,0.2,8717.59765625,0.6035386025905609,-1.9250607693567872,0.004891148,0.0001,0.02984619140625,,
10566.97,349,1736704,1053.01,53,4975,26019.572515869142,-0.0003030815067177173,2990,0.3922959268093109,0.2,9446.3662109375,0.6584506630897522,-1.924350587837398,0.0057775853,0.0001,0.041705322265625,,
