Episode,Reward
1,459.64703
2,754.0032
3,3512.7595
4,-3.4471407
5,3284.9907
6,2810.0938
7,4532.157
8,7479.8794
9,4789.0596
10,2897.313
11,223.53468
12,1941.9305
13,1239.7567
14,5173.035
15,2404.8606
16,4055.1355
17,1650.6724
18,7725.7676
19,5244.9414
20,869.72253
21,3902.2073
22,1544.2625
23,17237.852
24,16909.379
25,7235.2607
26,17745.625
27,2565.2122
28,2088.373
29,3666.5908
30,7394.996
31,9243.361
32,12676.072
33,10451.726
34,-225.73506
35,15048.128
36,1178.6089
37,881.291
38,3708.4292
39,3363.0198
40,6265.7725
41,7424.1865
42,-66.63554
43,678.0646
44,6066.7686
45,14817.581
46,3368.1846
47,-13.44942
48,1519.2909
49,5032.7944
50,7162.8315
51,42.470943
52,623.3389
53,2663.3115
54,3359.668
55,14024.393
56,9202.798
57,11025.047
58,3148.4297
59,852.0678
60,7826.739
61,14020.799
62,2238.8906
63,2584.4788
64,5989.832
65,8989.12
66,3151.0728
67,6977.897
68,2245.867
69,2399.6716
70,3437.0283
71,1520.5808
72,10639.392
73,10848.004
74,8019.543
75,2719.137
76,15843.62
77,11502.4
78,19783.434
79,15757.628
80,-70.6059
81,342.75632
82,7521.8945
83,3903.3281
84,3943.727
85,8565.343
86,11617.605
87,4237.1094
88,4892.387
89,6664.935
90,1307.4081
91,2469.5818
92,18430.668
93,16124.999
94,3755.5264
95,2585.1216
96,6312.847
97,16947.943
98,8301.108
99,8980.56
100,23843.754
