number,value,params_batch_size,params_exponent,params_feature_dim,params_hiddens_1,params_hiddens_2,params_hiddens_3,params_rl_frequency,state
0,8065.50439453125,512,-4,512,128,256,512,15,COMPLETE
1,5898.87744140625,512,-4,512,128,256,512,15,COMPLETE
2,6595.349609375,512,-4,512,128,256,512,15,COMPLETE
3,8246.62109375,512,-4,512,128,256,512,15,COMPLETE
4,6120.30517578125,512,-4,512,128,256,512,15,COMPLETE
5,8378.8896484375,512,-4,512,128,256,512,15,COMPLETE
6,784.658935546875,512,-4,512,128,256,512,15,COMPLETE
7,3673.5205078125,512,-4,512,128,256,512,15,COMPLETE
8,-2275.239013671875,512,-4,512,128,256,512,15,COMPLETE
9,7445.1689453125,512,-4,512,128,256,512,15,COMPLETE
