Episode,Reward
1,143.7262
2,-842.55304
3,1409.818
4,1235.9368
5,86.13603
6,-882.1309
7,1721.3972
8,5521.788
9,7244.4546
10,5884.452
11,5395.839
12,7627.246
13,8687.093
14,7132.9546
15,2627.4766
16,3369.575
17,4231.379
18,4077.8152
19,4634.482
20,3153.4395
21,-792.03265
22,9706.066
23,6387.4756
24,-611.1128
25,5566.1377
26,3930.4365
27,3647.735
28,4472.7983
29,9637.022
30,4450.435
31,3525.5789
32,5713.199
33,7546.89
34,7764.8237
35,5344.9033
36,7949.95
37,3660.9155
38,-1039.801
39,1733.1365
40,4982.5225
41,1391.2313
42,2371.2097
43,6209.534
44,3469.0051
45,5151.683
46,4258.1143
47,4377.1865
48,5153.8755
49,6661.7383
50,3164.4019
51,6502.6333
52,3539.2932
53,219.74594
54,5115.2437
55,2421.8723
56,180.93805
57,3160.0269
58,6470.6187
59,7229.1143
60,6894.6265
61,5871.361
62,4405.456
63,2717.1943
64,5252.8813
65,5386.886
66,7911.1836
67,6193.306
68,284.57614
69,4433.472
70,6675.747
71,3918.5876
72,-888.2701
73,5817.593
74,3974.8125
75,6942.64
76,5105.3745
77,4609.0186
78,1730.4841
79,9181.619
80,2848.9163
81,4674.003
82,5650.4263
83,4064.5503
84,5422.0557
85,3313.8572
86,5210.1523
87,5712.76
88,5431.291
89,2620.2136
90,5872.743
91,4092.0918
92,7694.235
93,1965.4622
94,6196.17
95,5759.002
96,5700.9233
97,5180.6064
98,7652.01
99,513.0099
100,7685.353
