time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
208,32768,594.5208333333334,2414.8801,157,1,,,,,,,,,,,,,
206,65536,592.4646464646464,2537.1274,316,2,0.017717615,1860,-2.7474300153553486,0.7177880704402924,1022.978515625,0.0013156394046745846,0.4821905493736267,0.187799072265625,7105.812278366089,0.2,0.001,,
206,98304,586.54,2735.9585,475,3,0.017059293,1870,-2.731528878211975,0.6690693199634552,1249.1142578125,4.741275915876031e-05,0.4789372682571411,0.17269287109375,6618.803183746338,0.2,0.001,,
206,131072,585.88,2656.2722,634,4,0.018138953,1880,-2.7108279779553413,0.6770758926868439,762.0094604492188,0.0012520780983322766,0.4769049286842346,0.18419189453125,6798.5053062438965,0.2,0.001,,
206,163840,593.83,2596.411,793,5,0.017879786,1890,-2.6950734198093413,0.6698528826236725,764.5783081054688,0.0013321967475349084,0.47539037466049194,0.196087646484375,6267.980888366699,0.2,0.001,,
206,196608,596.57,2781.2297,952,6,0.016313031,1900,-2.679141468554735,0.6959735453128815,728.4071655273438,3.186622379871551e-05,0.472629189491272,0.169775390625,6335.433813858032,0.2,0.001,,
206,229376,592.99,2617.127,1111,7,0.017189186,1910,-2.6555396862328053,0.6821677088737488,701.8738403320312,0.0010922248158749426,0.47034430503845215,0.1832000732421875,6890.272847366333,0.2,0.001,,
206,262144,590.86,2761.455,1270,8,0.0167307,1920,-2.637902522087097,0.6867948770523071,715.9476928710938,-0.0001701326029433403,0.46864980459213257,0.184100341796875,6282.274156188965,0.2,0.001,,
206,294912,590.86,2995.397,1429,9,0.019272225,1930,-2.6257571049034594,0.6491741836071014,1392.80078125,0.0026163394322793465,0.4669634699821472,0.2070220947265625,7339.066975784302,0.2,0.001,,
206,327680,599.37,2912.4612,1589,10,0.018665684,1940,-2.6116721890866756,0.7013737261295319,638.287353515625,0.001691923153521202,0.46507951617240906,0.2003936767578125,5468.054466629028,0.2,0.001,,
206,360448,595.37,2850.902,1748,11,0.018901955,1950,-2.5921101577579977,0.7300007939338684,949.741455078125,0.0019247533011366614,0.46265751123428345,0.2077972412109375,5126.501090049744,0.2,0.001,,
206,393216,585.8,2525.3613,1907,12,0.019244023,1960,-2.5674013189971445,0.7181703746318817,808.6316528320312,-1.4621469381381757e-05,0.45952168107032776,0.194830322265625,6022.208359146118,0.2,0.001,,
206,425984,588.8,2820.651,2066,13,0.017875127,1970,-2.544397757947445,0.6834796369075775,631.8497924804688,0.0008222044092690339,0.4573158919811249,0.182928466796875,6208.08663406372,0.2,0.001,,
206,458752,592.35,3021.0671,2225,14,0.017297091,1980,-2.525622460991144,0.7267369329929352,528.7653198242188,0.002814109581959201,0.4553831219673157,0.1904266357421875,5154.329732131958,0.2,0.001,,
206,491520,592.38,2977.5513,2385,15,0.018921413,1990,-2.508063267916441,0.6924922168254852,1004.0457763671875,0.0005157027590030339,0.453108549118042,0.2036773681640625,6796.556698226928,0.2,0.001,,
206,524288,585.0,2919.2944,2544,16,0.017727764,2000,-2.4898730158805846,0.6832287311553955,719.1133422851562,0.0014570369707143983,0.4509739279747009,0.1940765380859375,6794.967893600464,0.2,0.001,,
206,557056,587.95,3024.6978,2703,17,0.019764807,2010,-2.468237566947937,0.7003563046455383,1398.9619140625,0.001298062991554616,0.4483722150325775,0.20797119140625,6894.171765899659,0.2,0.001,,
205,589824,591.06,3100.7712,2864,18,0.019036721,2020,-2.4543235592544077,0.6501109898090363,1095.0533447265625,0.0025924950426997385,0.44787532091140747,0.2055145263671875,6142.439340209961,0.2,0.001,,
205,622592,593.21,3245.199,3025,19,0.019098207,2030,-2.442836028337479,0.6691107451915741,763.6207885742188,0.003581779158412246,0.44593745470046997,0.209063720703125,6769.447426986694,0.2,0.001,,
205,655360,585.64,3038.6978,3185,20,0.017880477,2040,-2.4292768009006975,0.6537836194038391,853.9696044921875,0.0013856584850145738,0.4444992244243622,0.194805908203125,6963.93486366272,0.2,0.001,,
205,688128,564.83,3001.8928,3344,21,0.019480534,2050,-2.419510147720575,0.7330772280693054,1160.234619140625,0.0010331852208764758,0.44413211941719055,0.1996246337890625,6060.345316886902,0.2,0.001,,
205,720896,582.59,3237.6777,3503,22,0.019242797,2060,-2.414111255854368,0.6880378425121307,1901.753173828125,0.002072397388110403,0.4431506395339966,0.204595947265625,8676.805504989625,0.2,0.001,,
205,753664,590.94,3173.5852,3662,23,0.018533023,2070,-2.3976421140134336,0.6945444643497467,882.658203125,0.0033404775971575874,0.4405483305454254,0.20662841796875,7424.095816040039,0.2,0.001,,
205,786432,591.46,3266.9915,3821,24,0.017804489,2080,-2.385688092559576,0.7062996625900269,891.4258422851562,0.003974543997173896,0.4404977560043335,0.19993896484375,6562.011263275146,0.2,0.001,,
205,819200,596.63,3240.1526,3981,25,0.01890215,2090,-2.3800846099853517,0.6704318523406982,640.9306640625,0.001758242000869359,0.4390583634376526,0.2021392822265625,7881.280950164795,0.2,0.001,,
205,851968,591.0,3305.7446,4141,26,0.017824575,2100,-2.3705017760396005,0.68448805809021,1053.3814697265625,0.0029099489671352784,0.43839579820632935,0.199798583984375,6501.564870834351,0.2,0.001,,
205,884736,595.37,3071.0881,4300,27,0.01839361,2110,-2.3564659893512725,0.6851700842380524,1164.42333984375,0.0024626668036944466,0.43617814779281616,0.19990234375,7233.424880599976,0.2,0.001,,
