Episode,Reward
1,-1114.8888
2,-788.23505
3,-115.247795
4,-85.583954
5,735.5201
6,884.661
7,2357.9944
8,-620.46796
9,-671.2568
10,2997.3833
11,2795.5254
12,-212.94176
13,4483.3564
14,861.288
15,-892.0599
16,9168.08
17,1743.1832
18,20.63482
19,-112.03227
20,14374.212
21,10064.345
22,-460.8392
23,1779.0782
24,2186.4456
25,-225.64827
26,2031.0725
27,1817.2205
28,-108.75914
29,-819.48914
30,-9536.828
31,-161.76482
32,1583.5618
33,754.5165
34,622.04364
35,-1024.3658
36,2124.9568
37,1925.9845
38,3848.87
39,-904.5555
40,-321.7412
41,12565.232
42,-2119.162
43,2395.8066
44,12803.985
45,887.14655
46,-538.0019
47,1016.69403
48,-10184.566
49,1292.4587
50,-927.0304
51,2462.0508
52,1535.3796
53,1455.4882
54,4455.624
55,-663.9785
56,192.88815
57,-528.08466
58,9203.209
59,2377.8074
60,4225.595
61,-729.7178
62,4549.951
63,-1485.3745
64,7424.2603
65,6277.478
66,3810.6409
67,2796.828
68,-573.1455
69,1633.7056
70,868.25824
71,1427.3066
72,1370.3911
73,-676.8491
74,4895.1675
75,1787.9116
76,-230.16277
77,-732.00336
78,-432.6216
79,1071.3151
80,2261.2947
81,3072.1477
82,3287.4832
83,-30.200464
84,0.52329665
85,2451.0198
86,-3210.5496
87,6218.236
88,3596.642
89,315.15802
90,5779.9077
91,-692.4614
92,-181.91556
93,1520.9382
94,811.45514
95,851.5621
96,2405.7542
97,-303.67422
98,-818.8918
99,-821.9605
100,672.4006
