time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,642,16384,1142.3375,477.1666666666667,25,,,,,,,,,,,,,
2,448,32768,1047.187,471.8636363636364,72,0.2,0.0038567754680116197,-0.04416525363922119,2480,9131.732421875,0.0003,-1.9470395669341087,0.116204833984375,0.3945191204547882,0.013236069,27554.719348144532,,
3,411,49152,1125.9263,476.84375,119,0.2,0.002455224987352267,0.06659096479415894,2490,8335.263671875,0.0003,-1.9464186429977417,0.084527587890625,0.39448657631874084,0.008968654,27625.050512695314,,
4,392,65536,1397.6992,501.37,167,0.2,3.8878516352269796e-05,0.18118351697921753,2500,7121.52685546875,0.0003,-1.946211476624012,0.083624267578125,0.39449167251586914,0.010286194,28661.460046386717,,
5,380,81920,1862.9077,538.06,215,0.2,0.0006995532246946822,0.2408992052078247,2510,6810.02587890625,0.0003,-1.94605353474617,0.046331787109375,0.39443984627723694,0.0063801357,27173.71433105469,,
6,373,98304,2009.9652,548.63,263,0.2,0.00021430726774269716,0.2662126421928406,2520,6916.1611328125,0.0003,-1.9456477150321008,0.064361572265625,0.3944358229637146,0.008132852,26704.08088378906,,
7,368,114688,2110.636,554.72,310,0.2,-0.000758940631931182,0.36134248971939087,2530,8229.67578125,0.0003,-1.945768764615059,0.064630126953125,0.39445847272872925,0.0077874255,26809.521264648436,,
8,364,131072,2119.0215,557.33,359,0.2,0.0009732795908348635,0.4427494406700134,2540,5149.33642578125,0.0003,-1.9455383002758027,0.0370849609375,0.39435315132141113,0.0053359163,22495.151171875,,
9,361,147456,2269.0352,573.15,408,0.2,-0.00034803149028448386,0.38766151666641235,2550,6119.14990234375,0.0003,-1.9444215908646583,0.04591064453125,0.39429157972335815,0.006022996,23696.556787109374,,
10,357,163840,2524.6208,599.41,457,0.2,-8.232237451011315e-05,0.40812134742736816,2560,7870.95166015625,0.0003,-1.9437942117452622,0.04752197265625,0.3942197561264038,0.006564296,25523.84793701172,,
