rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
928.0370370370371,32768,347,2015.9933,1,94,,,,,,,,,,,,,
936.6229508196722,65536,303,2779.6152,2,216,8741.6025390625,-1.9460678318981082,0.0001,0.16651910543441772,0.3943513035774231,0.011807881,2480,0.125738525390625,32831.445534515384,0.2,0.002968282978690695,,
940.9285714285714,98304,290,3243.8113,3,338,8258.2646484375,-1.944091405533254,0.0001,0.12469351291656494,0.39417582750320435,0.010104397,2490,0.1009185791015625,35010.677083587645,0.2,0.0019065096188569442,,
906.62,131072,284,3434.0554,4,460,23249.55078125,-1.9423694270197303,0.0001,0.14799630641937256,0.3940054476261139,0.0079822205,2500,0.0735137939453125,38762.12772445679,0.2,0.0012133238824389991,,
916.63,163840,278,3998.6619,5,587,7641.46240234375,-1.9405362776946276,0.0001,0.24464011192321777,0.3938000500202179,0.007861732,2510,0.0669097900390625,36281.91473007202,0.2,0.0006780702877222211,,
918.74,196608,276,3726.2979,6,710,5498.87841796875,-1.9392878938000648,0.0001,0.23361468315124512,0.39376312494277954,0.008430289,2520,0.0740753173828125,32488.50431480408,0.2,0.002192740610007604,,
973.5,229376,274,4303.7153,7,834,15282.7626953125,-1.9378526728600263,0.0001,0.24976813793182373,0.39349329471588135,0.0067885453,2530,0.0586151123046875,31051.909713745117,0.2,0.0015168603804340819,,
1003.32,262144,272,4650.8413,8,963,11192.1142578125,-1.9360646570567042,0.0001,0.2659052014350891,0.3934386074542999,0.009063788,2540,0.089410400390625,30089.318163871765,0.2,0.0015888720414295675,,
1002.63,294912,270,5058.2114,9,1089,6189.7197265625,-1.9355206965934486,0.0001,0.27955007553100586,0.39335182309150696,0.007057556,2550,0.056109619140625,33135.37414741516,0.2,0.0006489097704616142,,
1037.68,327680,270,5480.9683,10,1210,7671.76318359375,-1.9352752395439894,0.0001,0.3365859389305115,0.393398255109787,0.0075647216,2560,0.0696258544921875,30479.1347530365,0.2,0.0001643141475142329,,
1035.68,360448,270,5773.062,11,1332,14409.4208984375,-1.9347309240605681,0.0001,0.28766483068466187,0.39322859048843384,0.008145303,2570,0.0761749267578125,31375.55862464905,0.2,0.00043500435112946433,,
1055.54,393216,271,5969.4805,12,1450,10536.318359375,-1.9334356220904738,0.0001,0.3280903697013855,0.3931784927845001,0.007471402,2580,0.06866455078125,31185.68341217041,0.2,0.00048036750886240045,,
1056.82,425984,270,6229.76,13,1572,13439.26953125,-1.9326324055436999,0.0001,0.34009456634521484,0.39306652545928955,0.0065971897,2590,0.058660888671875,30664.414177703857,0.2,0.0006206548847330851,,
1047.63,458752,271,6253.621,14,1688,7726.0546875,-1.9312021973077207,0.0001,0.37076419591903687,0.39288920164108276,0.007638308,2600,0.067218017578125,29604.19793739319,0.2,0.000416124038201815,,
1074.68,491520,271,6533.635,15,1809,8587.81640625,-1.9296408323105425,0.0001,0.3506733775138855,0.3927523195743561,0.007028305,2610,0.056304931640625,33916.48495559693,0.2,0.0007710399675488588,,
1044.93,524288,271,6296.3223,16,1930,45095.95703125,-1.9282042314764112,0.0001,0.3795868158340454,0.3926296532154083,0.0078086667,2620,0.07264404296875,37112.69074859619,0.2,-0.0006385535165463807,,
1055.39,557056,271,6622.115,17,2048,7275.58837890625,-1.9267786509357392,0.0001,0.34772658348083496,0.3924713730812073,0.006097974,2630,0.053314208984375,32224.475341033936,0.2,-0.00018424551763018826,,
1057.77,589824,272,6829.264,18,2163,8352.3134765625,-1.9251273381058127,0.0001,0.35757511854171753,0.39230167865753174,0.0071918163,2640,0.062469482421875,29519.620427703856,0.2,0.00044563132541952655,,
1098.21,622592,272,7369.63,19,2283,11020.296875,-1.9234046262223274,0.0001,0.3698599338531494,0.39209842681884766,0.0070288144,2650,0.0620635986328125,30865.53292694092,0.2,0.0015114670290131472,,
1093.65,655360,272,7442.47,20,2401,7165.68603515625,-1.921772403968498,0.0001,0.482155442237854,0.39199429750442505,0.0071964674,2660,0.07047119140625,32301.720669364928,0.2,0.000572935483614856,,
1117.38,688128,272,7672.636,21,2527,9425.6474609375,-1.920549634238705,0.0001,0.386471152305603,0.3918858766555786,0.00694872,2670,0.065301513671875,35687.099879837035,0.2,0.0006501292903521971,,
1095.12,720896,271,7305.51,22,2654,5743.2744140625,-1.919031256577,0.0001,0.5726780295372009,0.3916853070259094,0.006463194,2680,0.0578857421875,30617.937032318114,0.2,0.00014263914908951847,,
1133.45,753664,270,7931.977,23,2786,8673.0966796875,-1.9180470255669206,0.0001,0.3975820541381836,0.3917177617549896,0.006524454,2690,0.0577392578125,30431.778872299194,0.2,0.0004929835271468619,,
1152.07,786432,269,8229.888,24,2914,9652.3916015625,-1.917659094883129,0.0001,0.5341174602508545,0.39158788323402405,0.005745915,2700,0.044189453125,29784.17732963562,0.2,-0.0005517076642718166,,
1189.18,819200,269,8714.548,25,3043,8663.2255859375,-1.915785840107128,0.0001,0.48237210512161255,0.39136821031570435,0.0064562457,2710,0.054412841796875,29057.870250701904,0.2,-0.0004191874719253974,,
1202.71,851968,268,9037.865,26,3172,8618.451171875,-1.9142244866583495,0.0001,0.46613186597824097,0.39128559827804565,0.007419199,2720,0.0619720458984375,32120.165919685365,0.2,0.0003279545132500061,,
1161.66,884736,268,8843.392,27,3297,8567.76953125,-1.9131877884734423,0.0001,0.4971883296966553,0.3911672830581665,0.008486554,2730,0.08421630859375,28406.745821380617,0.2,-7.857753025746206e-05,,
1189.53,917504,268,9515.55,28,3422,10320.7705078125,-1.9121156600769609,0.0001,0.5005253255367279,0.3910835087299347,0.007073658,2740,0.0654388427734375,29578.48187599182,0.2,0.0009102051340960316,,
1168.73,950272,268,9407.576,29,3542,4874.50244140625,-1.911288489634171,0.0001,0.6009436845779419,0.39100930094718933,0.0067221276,2750,0.061126708984375,25449.64385070801,0.2,0.0008686545502314402,,
1164.17,983040,268,9299.615,30,3663,8904.361328125,-1.9099312108010054,0.0001,0.45182710886001587,0.390804648399353,0.0066542216,2760,0.0548797607421875,31089.60330810547,0.2,0.0003855501423458918,,
1152.68,1015808,268,9125.198,31,3783,6234.2373046875,-1.9084669751580805,0.0001,0.5130527317523956,0.3907191753387451,0.006650268,2770,0.060076904296875,28214.656810379027,0.2,0.0008183813915820792,,
1170.55,1048576,268,8910.488,32,3902,6858.6591796875,-1.9076112962793559,0.0001,0.5295917689800262,0.3906022310256958,0.007066723,2780,0.0608978271484375,29554.287167358398,0.2,0.0003289549386863655,,
1173.73,1081344,268,9083.384,33,4029,5627.64892578125,-1.9068402191158385,0.0001,0.4960290789604187,0.3905932605266571,0.007821975,2790,0.07032470703125,29337.431993484497,0.2,0.0003686218521579576,,
1166.14,1114112,268,9505.678,34,4152,10494.8837890625,-1.9063089507631958,0.0001,0.4939573407173157,0.3904792070388794,0.0060946885,2800,0.0466796875,28913.067697906496,0.2,0.00036370116304169643,,
1124.13,1146880,268,9445.342,35,4272,6937.77001953125,-1.9052223614417017,0.0001,0.4119471311569214,0.3903801143169403,0.00808928,2810,0.069140625,37173.95747299194,0.2,0.0007605667298776098,,
1143.72,1179648,268,9721.705,36,4393,11148.7431640625,-1.9047269962728024,0.0001,0.41269904375076294,0.39040082693099976,0.006521716,2820,0.0525390625,33624.602515411374,0.2,-0.0001677954354818212,,
1103.89,1212416,268,9212.071,37,4513,7229.7548828125,-1.9044573694933207,0.0001,0.4757767915725708,0.39031022787094116,0.006602762,2830,0.0563751220703125,30019.504234313965,0.2,0.00131695410454995,,
1163.39,1245184,267,9651.899,38,4647,7504.03515625,-1.9030747543089093,0.0001,0.48436105251312256,0.3901187479496002,0.0072345706,2840,0.06356201171875,31929.05616989136,0.2,0.0014246016706238151,,
1165.89,1277952,266,9833.77,39,4788,7351.4248046875,-1.90233836309053,0.0001,0.5487116277217865,0.39016908407211304,0.0056299283,2850,0.047052001953125,31172.780001068117,0.2,0.00010384006664025947,,
1166.52,1310720,266,9994.209,40,4921,9984.322265625,-1.902126510348171,0.0001,0.50006303191185,0.39008328318595886,0.0077628754,2860,0.06749267578125,30004.506980514525,0.2,0.00014545201893270132,,
1188.89,1343488,265,10400.88,41,5051,8547.052734375,-1.9016468812245875,0.0001,0.5253721475601196,0.39006879925727844,0.0068885484,2870,0.056005859375,28189.18977546692,0.2,-2.685755853235605e-05,,
1206.04,1376256,265,10841.082,42,5185,13897.3876953125,-1.901378338271752,0.0001,0.5714845061302185,0.39002907276153564,0.007779691,2880,0.0723724365234375,33616.371437835696,0.2,-0.0005807451009786746,,
1215.11,1409024,264,11124.32,43,5318,10912.37890625,-1.901200142968446,0.0001,0.5212802290916443,0.39004531502723694,0.0065662507,2890,0.0528411865234375,32842.143019104005,0.2,-0.00017651542148087174,,
1195.57,1441792,264,10989.534,44,5450,6370.48095703125,-1.9011990245897323,0.0001,0.522458404302597,0.39002275466918945,0.006348235,2900,0.0553985595703125,29770.15336418152,0.2,0.0006400304361704912,,
1169.19,1474560,264,10873.075,45,5581,6624.18505859375,-1.9000866595190018,0.0001,0.5695928633213043,0.38981232047080994,0.0062843356,2910,0.052362060546875,28847.122213363647,0.2,0.0004405395176036109,,
1216.2,1507328,263,11104.945,46,5714,8035.98046875,-1.8991368098650128,0.0001,0.5119488835334778,0.38983798027038574,0.0064291037,2920,0.0499847412109375,29640.595611572266,0.2,-0.0004602797618645127,,
1191.65,1540096,263,10665.093,47,5848,6406.453125,-1.899082400277257,0.0001,0.6005879342556,0.389791876077652,0.0064037843,2930,0.0539642333984375,28144.505920410156,0.2,0.0009479652051595621,,
1226.63,1572864,262,11188.938,48,5981,9769.552734375,-1.89825805099681,0.0001,0.6013663709163666,0.3896673321723938,0.006263405,2940,0.0507110595703125,29576.740995025633,0.2,0.00014046937085367971,,
,1600000,,,,,7640.66455078125,-1.8976189514156432,0.0001,0.647674173116684,0.38968467712402344,0.005493784,2950,0.04293212890625,27616.73680381775,0.2,-0.0005797235786303645,1254.65,4276.9736328125
1265.97,1605632,243,11051.116,49,6583,,,,,,,,,,,,,
1153.07,1638400,244,9624.894,50,6711,5602.20263671875,-1.8974267734214663,0.0001,0.7101809978485107,0.38962841033935547,0.0069908346,2960,0.05665283203125,27801.55345439911,0.2,0.0003792157163843513,,
1149.65,1671168,244,9616.226,51,6844,6093.40576171875,-1.8962170131504537,0.0001,0.5267709493637085,0.3894403576850891,0.006349531,2970,0.0551055908203125,30127.074764060973,0.2,0.00014227306255634175,,
1137.71,1703936,244,9604.915,52,6977,7838.60009765625,-1.8948020834941417,0.0001,0.5934315323829651,0.3893783986568451,0.0072985333,2980,0.0666412353515625,28526.803742218017,0.2,0.00031555193108943056,,
1129.98,1736704,244,10129.24,53,7106,3987.212158203125,-1.893963117711246,0.0001,0.6409817636013031,0.3892834186553955,0.0065328726,2990,0.0544525146484375,27409.683988761903,0.2,0.0007026387409496237,,
1110.81,1769472,244,10352.999,54,7246,8072.55517578125,-1.8930146776605397,0.0001,0.44340938329696655,0.38920122385025024,0.007062029,3000,0.0667266845703125,39523.00336265564,0.2,0.00032448319807372173,,
997.27,1802240,244,9161.383,55,7376,10029.435546875,-1.8921575598418712,0.0001,0.5554035305976868,0.3891409635543823,0.0067076324,3010,0.0601959228515625,29811.970218276976,0.2,0.000412696161220083,,
1030.58,1835008,244,9467.35,56,7514,11738.029296875,-1.8914545208215714,0.0001,0.4942769408226013,0.3890668749809265,0.0070577106,3020,0.0623565673828125,34786.55520248413,0.2,0.0005413768076323322,,
1066.35,1867776,244,9722.749,57,7649,6054.66845703125,-1.890920404298231,0.0001,0.5853278040885925,0.3890496492385864,0.006196038,3030,0.046929931640625,27527.116726303102,0.2,0.0006065703704734915,,
