Episode,Reward
1,-1624.474
2,3269.2144
3,4854.026
4,-1837.3718
5,2456.4417
6,2876.32
7,1876.3645
8,5012.546
9,-3682.508
10,5569.5483
11,2995.8008
12,8419.806
13,6910.918
14,773.9593
15,7045.3945
16,8603.92
17,-1441.089
18,8438.695
19,12032.526
20,6650.95
21,6845.262
22,2112.319
23,9239.182
24,370.62054
25,9064.3545
26,5878.9316
27,404.72366
28,527.5749
29,1763.9159
30,10441.425
31,730.0424
32,-10532.001
33,8399.838
34,-14436.525
35,9652.722
36,-786.4311
37,9265.276
38,3997.6892
39,5982.8105
40,4241.0728
41,7374.6655
42,1638.9669
43,2719.3079
44,7804.687
45,-6542.0244
46,950.30615
47,6600.0757
48,-2957.033
49,4394.2627
50,2999.7424
51,3429.792
52,603.6381
53,-211.76772
54,8939.397
55,-1657.0472
56,11656.242
57,8898.065
58,15167.433
59,11540.327
60,2112.7676
61,6743.49
62,2165.578
63,7472.1562
64,8617.734
65,5979.575
66,14302.409
67,3885.0244
68,13428.97
69,428.52817
70,7457.4985
71,1763.8225
72,6151.245
73,1992.3057
74,501.9146
75,8084.393
76,6130.644
77,5148.3413
78,5953.17
79,1018.53754
80,2987.4521
81,10507.697
82,5485.3125
83,7758.9814
84,-565.3053
85,9919.038
86,11935.869
87,7216.661
88,10540.819
89,7027.827
90,9357.181
91,7846.0356
92,1750.6725
93,12955.263
94,10108.363
95,4979.1997
96,2143.8218
97,1179.6841
98,10055.083
99,6258.943
100,9186.034
