number,value,params_batch_size,params_exponent,params_feature_dim,params_hiddens_1,params_hiddens_2,params_hiddens_3,params_rl_frequency,state
0,6397.314453125,512,-3,512,128,256,512,15,COMPLETE
1,3418.906494140625,128,-3,512,128,256,512,15,COMPLETE
2,6309.732421875,512,-4,512,128,256,512,15,COMPLETE
3,5949.43310546875,1024,-4,512,128,256,512,15,COMPLETE
4,3867.673828125,256,-3,512,128,256,512,15,COMPLETE
5,-5868.8232421875,512,-3,512,128,256,512,15,COMPLETE
6,547.7948608398438,512,-3,512,128,256,512,15,COMPLETE
7,4836.85595703125,128,-4,512,128,256,512,15,COMPLETE
8,6995.396484375,2048,-4,512,128,256,512,15,COMPLETE
9,6467.76513671875,2048,-4,512,128,256,512,15,COMPLETE
