Episode,Reward
1,764.63965
2,1347.033
3,2273.1816
4,2941.8066
5,959.9814
6,6557.622
7,9631.195
8,9406.178
9,10514.113
10,9983.385
11,14700.802
12,13178.532
13,-10404.263
14,9698.2705
15,15279.592
16,4683.5874
17,19639.74
18,4962.4717
19,12354.444
20,15620.797
21,12673.086
22,21209.719
23,12511.039
24,9907.464
25,2571.2344
26,19594.242
27,20230.877
28,15803.395
29,8259.253
30,12610.669
31,6388.8267
32,14477.647
33,10332.939
34,16304.2295
35,9137.165
36,10694.81
37,11753.322
38,11654.846
39,8364.215
40,7874.9824
41,2924.887
42,-907.0194
43,18649.57
44,19853.893
45,10547.075
46,22758.639
47,17009.174
48,17505.494
49,12373.862
50,11309.319
51,6029.5854
52,4999.006
53,10593.445
54,4130.4795
55,9340.322
56,4767.5317
57,777.8447
58,-1463.5931
59,3038.4473
60,7138.0747
61,11574.967
62,19761.113
63,-19061.229
64,18781.238
65,20350.988
66,13978.24
67,15939.5205
68,9156.914
69,9827.384
70,19906.07
71,10199.939
72,14013.774
73,2273.43
74,7588.583
75,1487.2819
76,10724.09
77,4998.8345
78,20007.373
79,11379.656
80,6301.7305
81,15021.896
82,15732.037
83,27895.879
84,10583.485
85,14865.669
86,1692.9332
87,12655.174
88,3998.9846
89,19378.516
90,11443.872
91,15540.542
92,15149.056
93,-49.172688
94,16884.996
95,10567.895
96,10076.519
97,2757.8857
98,10136.064
99,17177.59
100,22007.38
