time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
32768,658.6666666666666,2358.0825,396,82,1,,,,,,,,,,,,,
65536,647.9462365591398,2148.0986,342,191,2,0.014147209,2480,10552.9609375,28973.453564453124,0.2,0.14947509765625,-1.94633558280766,0.0001,0.002897996268075076,0.3944244682788849,0.0472562313079834,,
98304,661.9,2482.763,325,301,3,0.009262331,2490,6052.5537109375,28102.300386238097,0.2,0.087872314453125,-1.9450715524610132,0.0001,0.0014185432557496825,0.39428409934043884,0.11688625812530518,,
131072,730.0,3417.6782,316,414,4,0.008932831,2500,6770.28564453125,28669.178443145753,0.2,0.0845672607421875,-1.94384300140664,0.0001,0.0011498121683871433,0.39418327808380127,0.22219085693359375,,
163840,757.1,3874.068,311,525,5,0.00827452,2510,11067.7578125,26228.861354637145,0.2,0.0787384033203125,-1.9434442073106766,0.0001,0.0009967900930860196,0.39421936869621277,0.2344677448272705,,
196608,743.74,3710.6418,308,637,6,0.0096607525,2520,7450.291015625,27127.131220436095,0.2,0.0976654052734375,-1.9433124816510827,0.0001,0.0013712215337363886,0.3941437005996704,0.1921977400779724,,
229376,757.33,3928.4175,305,749,7,0.008132625,2530,7571.357421875,26635.472624397276,0.2,0.0735931396484375,-1.9412558594252913,0.0001,0.0003150185340018652,0.39381057024002075,0.28678596019744873,,
262144,758.9,3856.5085,303,864,8,0.0066329106,2540,6055.2978515625,27212.58209285736,0.2,0.058197021484375,-1.9387015786021948,0.0001,0.00017918938410730335,0.3936719000339508,0.27518635988235474,,
294912,766.16,4153.2153,301,979,9,0.0077298013,2550,6160.15087890625,27121.91976966858,0.2,0.06998291015625,-1.9369154144078493,0.0001,0.0006456043026446423,0.3934277892112732,0.24926602840423584,,
327680,785.6,4410.0205,300,1088,10,0.0071317973,2560,8309.8505859375,24912.299167823792,0.2,0.0632659912109375,-1.9348818728234618,0.0001,0.0010589480229100446,0.3932687044143677,0.32509058713912964,,
