Episode,Reward
1,1012.67126
2,942.67944
3,-437.8122
4,-1022.17773
5,1257.4376
6,-2883.2742
7,923.3489
8,4425.3706
9,3515.0718
10,20.149794
11,-12411.608
12,-12754.345
13,-12176.182
14,1750.4323
15,-9032.113
16,-8485.919
17,-14622.962
18,600.43195
19,-9978.823
20,3954.8699
21,-15307.772
22,-792.2252
23,-9574.803
24,-6116.731
25,-2975.3245
26,-9445.998
27,-11071.572
28,-17219.81
29,-812.4801
30,-669.5512
31,6810.937
32,-10893.596
33,-561.13806
34,-12905.192
35,2814.6377
36,-9913.71
37,-1196.8263
38,-469.9347
39,-11087.178
40,-2145.9617
41,486.9769
42,-11392.356
43,-9368.833
44,-1574.3228
45,-13110.989
46,4531.3564
47,6609.3633
48,-1266.3885
49,-16287.99
50,1170.1613
51,-11295.181
52,-6931.3677
53,-11036.7
54,-3464.903
55,-251.02458
56,-8992.7295
57,-11477.209
58,1063.2683
59,-559.4465
60,580.8224
61,-9381.166
62,-10860.816
63,-20277.994
64,5805.383
65,-633.6219
66,2348.972
67,-36178.39
68,166.57059
69,-19784.467
70,2012.9521
71,552.8085
72,3356.3013
73,-14113.593
74,10428.339
75,-596.85187
76,-607.6083
77,-7345.0415
78,-11399.264
79,-23837.605
80,-25394.723
81,-8828.403
82,2272.425
83,843.6857
84,-12535.935
85,1910.3276
86,-12945.911
87,-1203.4207
88,5532.483
89,1123.8986
90,2198.69
91,5929.314
92,-9549.948
93,806.10443
94,4446.0947
95,2407.8433
96,2291.1436
97,-379.4699
98,83.284546
99,10872.162
100,6348.6177
