number,value,params_batch_size,params_exponent,params_feature_dim,params_hiddens_1,params_hiddens_2,params_hiddens_3,params_rl_frequency,state
0,6291.0517578125,128,-4,512,128,256,512,15,COMPLETE
1,3267.47998046875,256,-4,512,128,256,512,15,COMPLETE
2,36.5001335144043,512,-3,512,128,256,512,15,COMPLETE
3,5086.830078125,512,-3,512,128,256,512,15,COMPLETE
4,-679.6260986328125,256,-3,512,128,256,512,15,COMPLETE
5,2001.774169921875,512,-4,512,128,256,512,15,COMPLETE
6,-4256.212890625,256,-3,512,128,256,512,15,COMPLETE
7,-817.6951293945312,512,-3,512,128,256,512,15,COMPLETE
8,-2337.68505859375,2048,-3,512,128,256,512,15,COMPLETE
9,2490.54248046875,128,-4,512,128,256,512,15,COMPLETE
