Episode,Reward
1,-399.71634
2,-602.525
3,-1931.8333
4,-1871.9066
5,560.02045
6,-896.22736
7,1603.1696
8,228.8856
9,1724.6132
10,-1725.4762
11,709.3673
12,724.2442
13,213.70428
14,237.8376
15,2142.8206
16,-331.7544
17,-288.23807
18,1894.1113
19,313.82947
20,1683.3964
21,1996.397
22,4014.5198
23,212.83302
24,1051.5044
25,283.10376
26,1615.4016
27,100.39149
28,2235.5867
29,781.04755
30,977.35
31,-322.17163
32,1482.287
33,383.88107
34,2516.3525
35,-757.53235
36,-298.48242
37,3005.8882
38,543.2543
39,1438.193
40,-765.88403
41,3100.3933
42,427.02393
43,-1125.3151
44,3044.425
45,-455.02615
46,1970.0718
47,2629.358
48,2454.941
49,2527.024
50,198.57738
51,2079.551
52,457.9103
53,12.106262
54,2452.37
55,3318.054
56,2499.562
57,-647.3737
58,1340.4797
59,1762.9764
60,-215.79852
61,2112.524
62,1378.6985
63,2201.388
64,4522.1836
65,-955.11536
66,-1711.4354
67,3553.851
68,1761.6003
69,-1104.2543
70,2824.6726
71,316.98224
72,-535.48584
73,3036.5012
74,1430.9954
75,-1040.7543
76,2352.0151
77,679.43243
78,3524.054
79,2068.8203
80,642.0323
81,143.10162
82,-1617.8234
83,-1044.0355
84,3242.2932
85,-436.69482
86,2284.8445
87,397.65866
88,357.4882
89,3069.7239
90,-1821.8203
91,4560.9834
92,246.39723
93,3498.4197
94,5148.151
95,1833.7344
96,678.677
97,-576.33527
98,2851.2322
99,-2155.6624
100,1900.6982
