Episode,Reward
1,119.93081
2,107.71377
3,-3637.3403
4,-3384.9114
5,-2667.617
6,-1847.6897
7,139.8117
8,-3062.9697
9,-2586.0793
10,1657.3403
11,-2516.582
12,2081.0286
13,-3978.5044
14,1956.6165
15,-2663.3079
16,380.25552
17,-3125.0132
18,-2176.4329
19,-1231.2926
20,5219.331
21,-2797.1338
22,-1466.2229
23,5930.819
24,-565.4174
25,31.050009
26,5416.969
27,3529.97
28,259.50107
29,313.0887
30,1829.4937
31,761.31775
32,-3848.2285
33,1409.558
34,-3208.6443
35,-3431.388
36,-3224.0574
37,-2935.8777
38,207.57794
39,794.10095
40,-3234.8206
41,-3556.7437
42,-3030.1938
43,1540.6932
44,-3957.823
45,-2087.9214
46,-1597.4353
47,1289.2455
48,-2352.7974
49,-2639.7078
50,892.9222
51,-3231.4893
52,1694.993
53,3120.55
54,-2486.4785
55,-3521.856
56,-3584.7156
57,1959.3163
58,-3531.5
59,296.56293
60,-3204.771
61,-683.99664
62,-284.39563
63,-89.002144
64,-4213.8345
65,-2900.9502
66,907.43567
67,-2429.9224
68,-3153.0247
69,-3319.7715
70,-4094.613
71,-2820.5327
72,-3070.9585
73,-3867.6865
74,-2464.7534
75,-3377.0198
76,422.60983
77,-2369.6516
78,3610.1384
79,2412.6926
80,-2768.3538
81,-3994.002
82,-3224.3823
83,1290.0045
84,1223.1982
85,915.6854
86,-4089.1763
87,3591.986
88,170.74387
89,-4142.3447
90,-2476.3503
91,-1755.4833
92,1261.1534
93,1364.0033
94,3737.5593
95,-3497.9512
96,-1471.2297
97,454.1022
98,-2865.3926
99,-1656.2037
100,-2383.458
