time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,356.5238095238095,38,425,983.36554,16384,,,,,,,,,,,,,
2,358.36046511627904,98,331,902.57184,32768,2480,14423.408203125,-1.947129449993372,0.3945463299751282,0.01951198,0.2,0.0003,0.181390380859375,0.004798456032585818,49170.02290039063,0.09899437427520752,,
3,358.46,158,309,722.31287,49152,2490,15159.62109375,-1.9465284503996372,0.3944688141345978,0.012292361,0.2,0.0003,0.12381591796875,0.0038004804446245544,48491.366918945314,0.25847744941711426,,
4,369.07,218,299,928.54846,65536,2500,12396.8486328125,-1.9460174717009067,0.39445459842681885,0.010031359,0.2,0.0003,0.097528076171875,0.00237224109005183,41031.69008789062,0.3290921449661255,,
5,373.02,278,294,919.0909,81920,2510,14730.646484375,-1.9460760436952114,0.39447221159935,0.007946603,0.2,0.0003,0.061474609375,-0.00013997540372656658,41981.90905761719,0.42939215898513794,,
6,406.95,338,290,1220.6455,98304,2520,11103.314453125,-1.9459496125578881,0.39442771673202515,0.0074446416,0.2,0.0003,0.0679931640625,-2.1361769177019597e-05,35569.35463867187,0.5299719870090485,,
7,444.27,399,287,1452.0074,114688,2530,7764.3984375,-1.9451883509755135,0.3943241536617279,0.007882671,0.2,0.0003,0.064410400390625,0.00020084121570107527,29342.548065185547,0.6390023827552795,,
8,451.42,460,284,1496.2191,131072,2540,12108.439453125,-1.9443971626460552,0.3942742347717285,0.0069458326,0.2,0.0003,0.054974365234375,0.00039995484330574983,36752.69178466797,0.5898858308792114,,
9,442.24,521,282,1318.2323,147456,2550,8655.408203125,-1.9439329743385314,0.3942306935787201,0.007132309,0.2,0.0003,0.0594970703125,0.0005966853932477534,31827.72067871094,0.6350981891155243,,
10,448.47,581,281,1371.2688,163840,2560,11985.177734375,-1.9433631636202335,0.3941683769226074,0.0071206056,0.2,0.0003,0.0630615234375,0.0008758415307966061,34954.09953613281,0.6130574643611908,,
11,453.0,641,281,1550.7351,180224,2570,8747.7216796875,-1.9428532771766185,0.39414507150650024,0.008030822,0.2,0.0003,0.06513671875,0.0006388006630004383,33293.21688232422,0.6146736145019531,,
12,451.13,701,280,1626.8634,196608,2580,12342.0029296875,-1.942364790290594,0.39405786991119385,0.0075319293,0.2,0.0003,0.06214599609375,1.787248984328471e-05,39035.52504882812,0.6096354126930237,,
13,446.21,760,280,1729.3054,212992,2590,10621.439453125,-1.9416692659258843,0.39402782917022705,0.006931667,0.2,0.0003,0.046124267578125,-0.00018932590610347687,36579.61151123047,0.5709633827209473,,
14,424.67,820,279,1594.9128,229376,2600,8216.6552734375,-1.94177310988307,0.3940935432910919,0.0072788587,0.2,0.0003,0.054644775390625,-0.00028882833721581845,37180.36772460937,0.6542125642299652,,
15,409.2,879,279,1437.9066,245760,2610,11352.654296875,-1.942067913711071,0.39406678080558777,0.007489942,0.2,0.0003,0.059210205078125,-0.001464238692278741,40634.513146972655,0.5716970562934875,,
16,428.89,939,278,1811.1793,262144,2620,11128.3603515625,-1.941624566912651,0.39401260018348694,0.006629853,0.2,0.0003,0.050164794921875,-0.0003193633870978374,41292.1845703125,0.5855148732662201,,
17,441.28,999,278,1927.9487,278528,2630,8113.99609375,-1.9412454448640346,0.39399588108062744,0.0063720066,0.2,0.0003,0.049359130859375,-0.0015035078176879324,34162.42109985351,0.6309593021869659,,
18,469.8,1059,278,2086.9883,294912,2640,10550.3916015625,-1.940988116711378,0.39395880699157715,0.0062749907,0.2,0.0003,0.047186279296875,0.0007703984043473611,42613.02924804688,0.5416422784328461,,
19,451.32,1119,278,1977.124,311296,2650,7467.6640625,-1.9408062294125557,0.39396917819976807,0.0051090773,0.2,0.0003,0.0383056640625,4.118535107409116e-05,27159.62227783203,0.6807741224765778,,
20,486.24,1179,277,2315.8535,327680,2660,9445.1484375,-1.9406342484056949,0.39392703771591187,0.00701218,0.2,0.0003,0.069989013671875,-0.00047803574925637805,34390.1377746582,0.5897192358970642,,
21,462.42,1239,277,2108.4727,344064,2670,12570.4716796875,-1.9401191748678683,0.39386606216430664,0.006510387,0.2,0.0003,0.047003173828125,0.0008396986224397552,37582.1271484375,0.6098103225231171,,
22,445.05,1299,277,2000.5725,360448,2680,10202.8876953125,-1.9394291810691358,0.39379698038101196,0.006071944,0.2,0.0003,0.04072265625,-0.0002683352144231321,37920.12065429687,0.5892331600189209,,
23,441.2,1358,277,1840.8417,376832,2690,13154.98046875,-1.9387998007237912,0.39373207092285156,0.006077241,0.2,0.0003,0.03564453125,-0.0003097127439104952,40983.64122314453,0.5933654010295868,,
