Episode,Reward
1,-1782.1005
2,-1763.8197
3,-934.2525
4,-1298.9744
5,1433.8021
6,1166.372
7,-935.0154
8,-1421.4613
9,4371.7886
10,4537.9907
11,-1061.5972
12,3747.7651
13,931.96967
14,-1587.0078
15,-581.1839
16,-991.255
17,5130.359
18,1088.004
19,4840.087
20,-799.01746
21,-595.31836
22,5685.895
23,-1251.8905
24,2580.8965
25,-752.6704
26,5791.384
27,-1468.7739
28,-895.6513
29,3745.2493
30,-1379.8422
31,-882.7036
32,2588.9265
33,-887.9199
34,-1136.535
35,-992.0268
36,7226.69
37,-653.9448
38,-316.69284
39,2349.3752
40,-741.47943
41,-1027.9425
42,-952.71606
43,3245.1294
44,-914.9142
45,-102.51923
46,6780.5483
47,-1568.9808
48,10430.739
49,-484.10318
50,917.2847
51,-684.70825
52,-583.8418
53,-431.48
54,-1110.5458
55,2176.9543
56,5037.007
57,8648.953
58,2241.2932
59,4461.3926
60,-998.8566
61,-1090.1118
62,7158.4756
63,2440.292
64,-1224.5979
65,-861.7619
66,-1425.6528
67,777.2875
68,10743.718
69,-798.6111
70,-1661.013
71,-645.16296
72,-59.29797
73,3882.6257
74,5655.571
75,-1106.8263
76,-255.43181
77,5390.794
78,2455.258
79,1069.4327
80,-684.3778
81,-807.75586
82,-1065.0107
83,4480.534
84,-1516.7888
85,3785.2737
86,-1347.3978
87,8871.142
88,-782.5029
89,7752.9795
90,-962.96375
91,-483.46558
92,-1340.6473
93,-1548.2948
94,5984.1855
95,-1354.101
96,-596.35254
97,3596.3398
98,8511.841
99,-1480.9119
100,3493.8037
