time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
25,1,16384,492.2962962962963,641,1230.6925,,,,,,,,,,,,,
73,2,32768,536.2452830188679,446,1680.6858,0.0017304414381214884,0.010696814,0.119525146484375,-1.9472690165042876,0.3945370316505432,2480,0.0539402961730957,0.2,0.0003,8530.6640625,28578.25311279297,,
120,3,49152,561.65,407,1993.5211,0.0011268506219494156,0.0105366595,0.089276123046875,-1.94693663418293,0.3945584297180176,2490,0.16196244955062866,0.2,0.0003,8671.8359375,30762.15886230469,,
167,4,65536,584.4,391,2242.7803,0.001677941853995435,0.008078639,0.060784912109375,-1.9471508994698525,0.39456838369369507,2500,0.24848228693008423,0.2,0.0003,8385.1015625,30219.31611328125,,
214,5,81920,597.12,381,2360.8323,0.0014847966667730361,0.006182606,0.047210693359375,-1.9471648782491684,0.39457303285598755,2510,0.36413145065307617,0.2,0.0003,7722.35302734375,26306.64357910156,,
264,6,98304,606.03,372,2430.7993,0.0011386441779904998,0.0076344945,0.067852783203125,-1.9465903982520103,0.3944356441497803,2520,0.29965347051620483,0.2,0.0003,9481.01953125,30333.8474609375,,
313,7,114688,614.77,365,2505.2673,0.0007113039901014417,0.007895719,0.063128662109375,-1.9458253249526023,0.39446380734443665,2530,0.32211703062057495,0.2,0.0003,6609.0673828125,25883.812561035156,,
362,8,131072,629.83,361,2704.3044,-1.8159567844122648e-05,0.007949164,0.054949951171875,-1.9460709512233734,0.3944467306137085,2540,0.4375397562980652,0.2,0.0003,10012.7734375,30068.576171875,,
411,9,147456,651.68,358,2924.373,0.00042427683365531266,0.0067533776,0.050762939453125,-1.9456655621528625,0.39439237117767334,2550,0.4452621340751648,0.2,0.0003,7391.3974609375,24349.785314941408,,
458,10,163840,638.47,357,2841.1738,0.000274964130949229,0.008212047,0.073455810546875,-1.9451623767614366,0.39437052607536316,2560,0.4181976914405823,0.2,0.0003,7482.26123046875,25755.32735595703,,
507,11,180224,650.83,355,3135.2563,9.3092568567954e-05,0.0067280633,0.048394775390625,-1.9446291461586953,0.3942655920982361,2570,0.4157470464706421,0.2,0.0003,10139.75,29450.89470214844,,
555,12,196608,654.74,353,3234.604,-0.00024572760303271935,0.007882302,0.080804443359375,-1.9437171384692191,0.39421433210372925,2580,0.5025399029254913,0.2,0.0003,8025.4072265625,27609.434411621092,,
604,13,212992,657.43,352,3435.8716,-3.1366989423986526e-05,0.0074549746,0.05181884765625,-1.9431136310100556,0.3941275477409363,2590,0.4246503710746765,0.2,0.0003,9085.5927734375,30819.75751953125,,
652,14,229376,665.24,351,3617.9443,-0.00023573002908960916,0.005759173,0.04217529296875,-1.9421464398503303,0.39402472972869873,2600,0.533890962600708,0.2,0.0003,7135.470703125,28202.20986328125,,
701,15,245760,678.46,350,3773.376,-0.0010781051038065924,0.006789297,0.04638671875,-1.9412215262651444,0.39396071434020996,2610,0.5225430727005005,0.2,0.0003,9471.8974609375,28723.309375,,
750,16,262144,698.79,349,4207.5996,5.9262530703563245e-05,0.0062465407,0.04766845703125,-1.9407262921333313,0.3939363658428192,2620,0.5324885547161102,0.2,0.0003,9793.8330078125,30439.05290527344,,
798,17,278528,691.19,348,4078.5637,3.1359629065264014e-05,0.0065303706,0.039630126953125,-1.9402176603674888,0.3938409090042114,2630,0.5927422940731049,0.2,0.0003,7164.96142578125,25863.698193359374,,
847,18,294912,721.69,348,4490.7827,-0.000988890008738963,0.0069664605,0.045233154296875,-1.93966815918684,0.3938610553741455,2640,0.5382624268531799,0.2,0.0003,8912.6787109375,30337.75047607422,,
896,19,311296,742.51,347,4834.8105,-0.000414819971047109,0.0071011945,0.0469970703125,-1.9396883189678191,0.39381837844848633,2650,0.5443494319915771,0.2,0.0003,7888.60986328125,28266.30625,,
945,20,327680,752.36,346,4995.408,-0.0016518715638085268,0.0057461644,0.037567138671875,-1.9391782611608506,0.39377325773239136,2660,0.5618537664413452,0.2,0.0003,7618.0400390625,29264.214953613282,,
994,21,344064,737.02,345,4823.865,-0.0005700267516658642,0.00580188,0.032501220703125,-1.9387466415762902,0.3937191069126129,2670,0.6088444590568542,0.2,0.0003,9484.89453125,30762.883349609376,,
1043,22,360448,724.41,345,4790.905,-0.0009075764333829284,0.0058886306,0.044610595703125,-1.937982365489006,0.39362597465515137,2680,0.6092311441898346,0.2,0.0003,8663.76171875,29444.149865722655,,
1094,23,376832,758.86,344,5385.277,0.0005716831103200093,0.005318698,0.02789306640625,-1.9372552886605263,0.39358198642730713,2690,0.6328784227371216,0.2,0.0003,9675.48046875,30142.674438476562,,
1142,24,393216,722.96,344,5055.7305,0.0002740625364822336,0.0062803226,0.0341552734375,-1.9367488890886306,0.3935028910636902,2700,0.665808916091919,0.2,0.0003,7366.552734375,27415.096118164063,,
1191,25,409600,741.41,343,5335.947,0.0009463244816288352,0.0049147415,0.03740234375,-1.936186821758747,0.3934953212738037,2710,0.5789880156517029,0.2,0.0003,11519.8369140625,33232.173657226565,,
1241,26,425984,742.07,343,5480.381,-0.00013064364611636847,0.0051225796,0.03399658203125,-1.93598363250494,0.39343979954719543,2720,0.6594600081443787,0.2,0.0003,7476.00146484375,27272.863232421874,,
1290,27,442368,714.76,342,5161.5796,0.0011353475085343235,0.004259737,0.01712646484375,-1.9354194536805154,0.3934033513069153,2730,0.666438639163971,0.2,0.0003,8004.5087890625,25109.400158691406,,
1341,28,458752,729.96,342,5326.435,-0.00023755461588734761,0.0050121266,0.02158203125,-1.9349826887249946,0.39334362745285034,2740,0.6149453520774841,0.2,0.0003,11347.546875,32151.580615234376,,
1389,29,475136,739.91,342,5485.1167,2.2881030599819496e-05,0.0055526327,0.034063720703125,-1.9343623355031014,0.39329198002815247,2750,0.6248343884944916,0.2,0.0003,9166.775390625,29326.60030517578,,
1438,30,491520,704.96,341,5164.243,-0.0007967108977027237,0.0061303442,0.034375,-1.9337604731321334,0.39321550726890564,2760,0.5881421267986298,0.2,0.0003,10000.5615234375,32237.90671386719,,
1490,31,507904,728.85,340,5431.6807,0.00024776568316156047,0.0040749814,0.0219482421875,-1.933022989332676,0.39315885305404663,2770,0.624801516532898,0.2,0.0003,11144.275390625,31844.596142578124,,
1538,32,524288,738.52,340,5540.456,0.0003501155617414042,0.0048503177,0.030517578125,-1.9325317606329917,0.3931257128715515,2780,0.6804039180278778,0.2,0.0003,8323.94140625,27813.800622558592,,
1589,33,540672,739.27,340,5562.96,-0.0005992149162921123,0.0056459773,0.0330322265625,-1.932218573987484,0.3930911421775818,2790,0.6431841254234314,0.2,0.0003,11024.55859375,34046.53312988281,,
1637,34,557056,726.12,340,5419.0967,-0.00022034242138033733,0.0051462958,0.0251220703125,-1.9317997470498085,0.3930399715900421,2800,0.6455178260803223,0.2,0.0003,11251.1708984375,32738.5578125,,
1685,35,573440,704.3,340,5027.4478,0.00033011505875037985,0.0056888047,0.032843017578125,-1.9313830196857453,0.39301183819770813,2810,0.6323119699954987,0.2,0.0003,11418.9208984375,33371.72106933594,,
1735,36,589824,687.69,339,4966.445,0.0007152249876526184,0.0046617184,0.02442626953125,-1.93119478225708,0.3930060565471649,2820,0.6464375853538513,0.2,0.0003,9638.2490234375,28512.22000732422,,
1784,37,606208,691.06,339,5060.584,-0.0005817853751068469,0.004973991,0.020068359375,-1.9309238493442535,0.39294755458831787,2830,0.6554829180240631,0.2,0.0003,10824.486328125,30649.80703125,,
1833,38,622592,721.98,339,5576.552,-0.0002608669426990673,0.0050834436,0.02357177734375,-1.9302956312894821,0.39289140701293945,2840,0.6684450805187225,0.2,0.0003,9702.4921875,31433.89150390625,,
1883,39,638976,726.53,339,5871.522,-0.0007828626374248415,0.0040268344,0.0251220703125,-1.9297689884901046,0.3928358554840088,2850,0.7177267372608185,0.2,0.0003,7096.837890625,26146.195690917968,,
1932,40,655360,737.7,339,6009.582,-0.0003590015578083694,0.005088715,0.03006591796875,-1.9291001319885255,0.3927750587463379,2860,0.6880664229393005,0.2,0.0003,8628.2255859375,29585.259375,,
1983,41,671744,749.42,338,6212.871,-0.0012359260130324402,0.0055787805,0.02208251953125,-1.9285325780510902,0.39272576570510864,2870,0.6726346611976624,0.2,0.0003,9775.021484375,30319.4701171875,,
2033,42,688128,741.57,338,6177.649,-0.00030485651514027267,0.0042561004,0.016436767578125,-1.9282765164971352,0.3927331566810608,2880,0.7701577395200729,0.2,0.0003,7592.67529296875,27337.53172607422,,
2083,43,704512,755.63,338,6253.9683,-4.449122643563896e-05,0.0042832377,0.02423095703125,-1.9282196536660194,0.39269304275512695,2890,0.713186651468277,0.2,0.0003,8101.45166015625,29134.856665039064,,
2132,44,720896,732.31,338,5972.9927,-0.0005601391254458577,0.0052965423,0.03258056640625,-1.927482682466507,0.3925689458847046,2900,0.7633782029151917,0.2,0.0003,6342.45556640625,23054.113317871095,,
2184,45,737280,757.78,337,6246.967,-0.0002944408755865879,0.0053357473,0.028253173828125,-1.9264630392193793,0.3925178050994873,2910,0.709382563829422,0.2,0.0003,11548.6201171875,32707.87858886719,,
2235,46,753664,798.55,337,6623.027,-0.00030671761705889364,0.00391041,0.016943359375,-1.9257779985666275,0.39241376519203186,2920,0.7436760067939758,0.2,0.0003,6930.82958984375,25063.981359863283,,
2289,47,770048,831.7,336,6964.551,-0.0003112732490990311,0.004878602,0.02640380859375,-1.9250263899564743,0.3923982083797455,2930,0.7587698251008987,0.2,0.0003,8608.1513671875,26875.927392578124,,
2340,48,786432,810.04,336,6767.9644,5.513734795385972e-05,0.0054658833,0.035601806640625,-1.9249827429652213,0.39238959550857544,2940,0.7665914446115494,0.2,0.0003,5789.3310546875,24796.519970703124,,
,,800000,,,,-0.00018707114650169389,0.005632,0.0366943359375,-1.9248139455914497,0.3923754394054413,2950,0.6888245642185211,0.2,0.0003,9635.0263671875,33759.748315429686,1765.8360595703125,501.59
2470,49,802816,809.28,324,6680.9814,,,,,,,,,,,,,
2519,50,819200,793.47,325,6467.8936,-0.00023751701519358903,0.004043408,0.019189453125,-1.9245454296469688,0.39233213663101196,2960,0.677431583404541,0.2,0.0003,9333.4619140625,31011.62333984375,,
2570,51,835584,763.7,325,6239.427,-0.0003931020561140031,0.0046382193,0.028436279296875,-1.9242165699601173,0.3923203647136688,2970,0.7215870022773743,0.2,0.0003,7507.2099609375,25219.76823730469,,
2620,52,851968,715.57,325,5652.404,-0.0004884717724053189,0.0035445148,0.01922607421875,-1.9241448551416398,0.3923224210739136,2980,0.7318763732910156,0.2,0.0003,7886.30859375,27975.132897949217,,
2670,53,868352,754.95,325,6166.33,-0.00014558193724951708,0.004163868,0.016925048828125,-1.9242173165082932,0.3923340439796448,2990,0.7463207840919495,0.2,0.0003,8250.1240234375,25784.85968017578,,
2723,54,884736,745.16,324,6247.2046,-0.0004970740381395444,0.0077362265,0.053216552734375,-1.924229647219181,0.39232707023620605,3000,0.7434709668159485,0.2,0.0003,8829.388671875,28526.444177246092,,
2776,55,901120,799.35,324,6833.4204,-0.00027397653757361696,0.0045114732,0.023858642578125,-1.9241569384932518,0.39232099056243896,3010,0.74778813123703,0.2,0.0003,7524.845703125,25292.29461669922,,
2829,56,917504,785.28,324,6618.4683,0.00011090140033047647,0.0045506842,0.0187744140625,-1.923983983695507,0.3922903537750244,3020,0.7406682074069977,0.2,0.0003,8841.625,28606.612145996092,,
2879,57,933888,788.25,324,6728.6973,0.0005572555077378638,0.0055327816,0.030078125,-1.9237002938985825,0.3922773003578186,3030,0.6711814105510712,0.2,0.0003,10086.3125,34548.12292480469,,
2930,58,950272,768.3,324,6509.9463,-0.0006401355247362516,0.0056172316,0.034600830078125,-1.923508982360363,0.39225322008132935,3040,0.662051647901535,0.2,0.0003,11472.072265625,34546.14362792969,,
2979,59,966656,784.94,324,6762.8306,-2.597164566395804e-05,0.0048435247,0.025360107421875,-1.92319645434618,0.3922237157821655,3050,0.6597450077533722,0.2,0.0003,12159.7001953125,32077.302294921876,,
3031,60,983040,779.43,324,6668.8257,-0.00015425621313625015,0.003972592,0.0176513671875,-1.9229097485542297,0.3921946883201599,3060,0.6566252708435059,0.2,0.0003,8870.509765625,31062.40871582031,,
3081,61,999424,758.62,324,6573.505,-0.00036535036997520365,0.0044647534,0.023712158203125,-1.9225556299090385,0.3921540379524231,3070,0.7040724456310272,0.2,0.0003,8464.515625,29447.587353515624,,
3132,62,1015808,783.14,324,6860.9233,-0.0005543478997424245,0.004758217,0.030938720703125,-1.9220548868179321,0.3921097218990326,3080,0.673316091299057,0.2,0.0003,9164.7900390625,30117.097436523436,,
3184,63,1032192,830.42,324,7465.4893,-0.0004983958671800793,0.0052023726,0.03135986328125,-1.9218698039650917,0.3921240270137787,3090,0.7098688781261444,0.2,0.0003,6660.765625,27860.262573242188,,
3234,64,1048576,833.08,324,7573.31,-0.0004692546193837188,0.0052542062,0.027154541015625,-1.9219332545995713,0.39210203289985657,3100,0.7589308023452759,0.2,0.0003,5447.06689453125,22648.366735839845,,
3284,65,1064960,794.9,324,7126.5767,-0.0005934971282840707,0.0052774786,0.026617431640625,-1.9216672673821449,0.39208611845970154,3110,0.7463912069797516,0.2,0.0003,8757.1767578125,28606.62392578125,,
3334,66,1081344,828.66,324,7534.3755,-0.0008393572956265416,0.004033142,0.024676513671875,-1.921249547600746,0.3920153081417084,3120,0.6077274680137634,0.2,0.0003,10648.978515625,34344.21828613281,,
3385,67,1097728,794.8,324,7303.502,-0.0008712800583452918,0.005328005,0.027459716796875,-1.9207546591758728,0.39201000332832336,3130,0.7181099057197571,0.2,0.0003,6007.09521484375,27426.57307128906,,
3434,68,1114112,739.66,324,6705.2886,0.0003737897961400449,0.004221947,0.021771240234375,-1.9205787390470506,0.3919672966003418,3140,0.6378417313098907,0.2,0.0003,12622.859375,38305.99660644531,,
3484,69,1130496,760.38,324,7002.9414,0.0005984909232211067,0.005447803,0.032025146484375,-1.9202098101377487,0.391940712928772,3150,0.6016590893268585,0.2,0.0003,12704.8076171875,38193.73498535156,,
3536,70,1146880,750.25,324,6898.698,5.058593960711732e-05,0.0055054226,0.032135009765625,-1.9198648020625115,0.39189544320106506,3160,0.731173187494278,0.2,0.0003,8175.734375,29479.49123535156,,
3587,71,1163264,762.42,324,7018.215,-0.0002948302266304381,0.005786283,0.03150634765625,-1.9193106696009636,0.391819030046463,3170,0.6596789658069611,0.2,0.0003,11468.357421875,36734.6134765625,,
3637,72,1179648,796.43,324,7098.498,0.0003072747509577312,0.0052916487,0.03284912109375,-1.9186207085847855,0.3917883634567261,3180,0.7465408444404602,0.2,0.0003,8643.9287109375,28963.825244140626,,
3687,73,1196032,793.91,324,7057.277,0.0022687255906930657,0.005871468,0.0395751953125,-1.918350225687027,0.3917701542377472,3190,0.44145458936691284,0.2,0.0003,81898.453125,165091.8541015625,,
3739,74,1212416,770.61,324,6685.6704,8.552515209885314e-05,0.0051986733,0.032806396484375,-1.9180571019649506,0.3917295038700104,3200,0.6831854283809662,0.2,0.0003,11779.13671875,33650.01694335938,,
3790,75,1228800,782.93,324,6777.1606,-0.0007717572414549067,0.006298402,0.04012451171875,-1.9175818026065827,0.39167654514312744,3210,0.7699821591377258,0.2,0.0003,12874.744140625,31074.750048828126,,
3843,76,1245184,805.63,323,7117.281,-0.0011343308950017672,0.006200497,0.0427978515625,-1.9171463936567306,0.3916413187980652,3220,0.7296512424945831,0.2,0.0003,10046.61328125,29905.524084472658,,
3894,77,1261568,817.92,323,7479.8145,-0.00046705475833732637,0.0048996797,0.033343505859375,-1.9164968356490135,0.3915354013442993,3230,0.7969807833433151,0.2,0.0003,6505.6787109375,22806.74853515625,,
3947,78,1277952,851.55,323,7771.517,-0.001222646384849213,0.005521722,0.039410400390625,-1.9154776141047478,0.39146220684051514,3240,0.7633206397294998,0.2,0.0003,7482.20703125,27313.810437011718,,
3998,79,1294336,847.17,323,7609.6577,-0.0002029096896876581,0.0054333033,0.027630615234375,-1.9148120522499084,0.3913894295692444,3250,0.7176603376865387,0.2,0.0003,8041.79296875,26991.855212402344,,
4048,80,1310720,852.9,323,7663.9624,0.0001446345435397234,0.00471263,0.0315673828125,-1.9143550083041192,0.3913881182670593,3260,0.6735406816005707,0.2,0.0003,8471.8701171875,30376.943225097657,,
4101,81,1327104,843.71,323,7518.502,-0.0006437130949052516,0.004763728,0.030560302734375,-1.914159318804741,0.39133530855178833,3270,0.7068484425544739,0.2,0.0003,8560.0458984375,28917.13653564453,,
4155,82,1343488,866.14,323,7680.7217,-0.0009935746529663447,0.004687297,0.027056884765625,-1.9138683095574378,0.39134132862091064,3280,0.7077147364616394,0.2,0.0003,10398.41796875,29375.76904296875,,
4207,83,1359872,886.63,323,7799.69,-0.001145160323358141,0.0054475684,0.040765380859375,-1.9137625515460968,0.39129841327667236,3290,0.7640200704336166,0.2,0.0003,7024.22412109375,23891.612573242186,,
4258,84,1376256,926.09,323,8382.678,0.000286738938302733,0.005897564,0.039129638671875,-1.9134122744202613,0.3912854790687561,3300,0.7223121225833893,0.2,0.0003,10034.4501953125,30156.52536621094,,
4312,85,1392640,907.33,322,7948.8877,0.0006688506007776595,0.005041401,0.034625244140625,-1.9130791500210762,0.39121079444885254,3310,0.7425157725811005,0.2,0.0003,7207.021484375,25278.991955566406,,
4364,86,1409024,920.04,322,7652.7744,0.0013523781963158399,0.007868117,0.04976806640625,-1.91252308934927,0.3911955952644348,3320,0.5344051718711853,0.2,0.0003,42603.14453125,86847.69919433593,,
4416,87,1425408,931.37,322,7556.063,0.0019036303958273493,0.007530324,0.06312255859375,-1.9124043747782706,0.3911799192428589,3330,0.600416362285614,0.2,0.0003,141137.9375,270783.605078125,,
4470,88,1441792,948.3,322,7762.225,0.0014680107589811087,0.0067456225,0.03984375,-1.9120376035571098,0.39111316204071045,3340,0.720460444688797,0.2,0.0003,42850.359375,87839.13098144531,,
4524,89,1458176,981.05,322,7939.1533,0.008289346267702058,0.012631919,0.07119140625,-1.9115203857421874,0.3911042809486389,3350,0.8327721953392029,0.2,0.0003,65072.32421875,111939.9015625,,
4580,90,1474560,967.09,321,6940.2373,-0.0010962263841065578,0.0049592713,0.024957275390625,-1.9114882990717887,0.3910924792289734,3360,0.7873333543539047,0.2,0.0003,7199.28564453125,26987.960998535156,,
4630,91,1490944,994.82,321,7178.078,0.00036802130198339,0.006667964,0.03984375,-1.9113503828644753,0.39109042286872864,3370,0.5265702903270721,0.2,0.0003,126147.1015625,359351.9501953125,,
4684,92,1507328,1040.71,321,8157.9087,-7.70264545280952e-05,0.005844972,0.04017333984375,-1.9114783272147178,0.3911200165748596,3380,0.6537458300590515,0.2,0.0003,23758.263671875,107305.40078125,,
4737,93,1523712,1012.68,321,7985.99,-0.0003150543197989464,0.004671556,0.028497314453125,-1.9113685265183449,0.3910464644432068,3390,0.7336906790733337,0.2,0.0003,7656.84423828125,23489.97019042969,,
4789,94,1540096,949.91,321,7635.6895,-0.0005947523110080511,0.0050203716,0.034515380859375,-1.910460714995861,0.3909527063369751,3400,0.6650282144546509,0.2,0.0003,6429.0263671875,27006.233154296875,,
4841,95,1556480,929.65,321,7478.976,3.450067670200952e-05,0.0057892473,0.03250732421875,-1.9095974624156953,0.39089393615722656,3410,0.6427924036979675,0.2,0.0003,9754.2890625,29952.810998535155,,
4895,96,1572864,946.95,321,8955.232,0.00032273573233396744,0.0053903814,0.029522705078125,-1.9090487569570542,0.3908478319644928,3420,0.6832190155982971,0.2,0.0003,8391.14453125,27179.806420898436,,
4948,97,1589248,940.07,321,8818.086,-0.0012005560725810937,0.0068715876,0.0531494140625,-1.9086749002337455,0.39082127809524536,3430,0.760956421494484,0.2,0.0003,8140.71435546875,26305.694384765626,,
,,1600000,,,,-0.00018236175237689166,0.0057955645,0.034796142578125,-1.9083601772785186,0.3907778561115265,3440,0.6627672016620636,0.2,0.0003,9473.3505859375,33701.11459960938,1224.2886962890625,477.5
5078,98,1605632,902.76,316,8289.874,,,,,,,,,,,,,
5132,99,1622016,930.2,316,8341.041,-0.0014350994082633407,0.0053142356,0.030535888671875,-1.9080216988921166,0.39076441526412964,3450,0.6774331033229828,0.2,0.0003,9814.041015625,26984.919653320314,,
5183,100,1638400,934.14,316,8244.782,0.002069297732668929,0.005766665,0.041546630859375,-1.9077882796525956,0.3907244801521301,3460,0.6004968285560608,0.2,0.0003,79614.5,272090.1578125,,
5236,101,1654784,919.19,316,7990.0674,-0.0002855321843526326,0.0055156695,0.033148193359375,-1.907494181394577,0.3907319903373718,3470,0.673823356628418,0.2,0.0003,30403.28515625,59158.08383789063,,
5289,102,1671168,917.74,315,7928.219,-0.00031683271954534574,0.005098434,0.02672119140625,-1.907404752075672,0.3906947374343872,3480,0.7297256886959076,0.2,0.0003,8268.9111328125,32316.719970703125,,
5340,103,1687552,896.42,315,7596.237,-0.0007525118729972746,0.004446123,0.025714111328125,-1.9070813938975335,0.3906813859939575,3490,0.7274037897586823,0.2,0.0003,11125.84765625,30354.9087890625,,
5393,104,1703936,933.57,315,8403.112,0.00022099433335824868,0.003787546,0.01614990234375,-1.906877002120018,0.3906506597995758,3500,0.6709026396274567,0.2,0.0003,9021.8076171875,32542.05402832031,,
5444,105,1720320,918.34,315,6399.792,0.0007841031969292089,0.0057802787,0.0375244140625,-1.9065937295556068,0.3906332552433014,3510,0.6790774464607239,0.2,0.0003,10041.861328125,35873.74897460938,,
5495,106,1736704,912.67,316,6539.677,0.011822550591023172,0.00924988,0.056976318359375,-1.9067036494612695,0.39069879055023193,3520,0.2363142967224121,0.2,0.0003,519571.40625,1040864.93671875,,
5546,107,1753088,910.04,316,6416.397,0.00011370050051482395,0.0042990786,0.0205078125,-1.9070636287331582,0.39065369963645935,3530,0.7086829841136932,0.2,0.0003,10642.14453125,33517.29645996094,,
5598,108,1769472,914.39,316,6486.714,0.002385129377944395,0.0067024343,0.031500244140625,-1.9066069662570952,0.3906398415565491,3540,0.7778372019529343,0.2,0.0003,9891.2490234375,38735.45830078125,,
5648,109,1785856,912.32,316,6490.571,-0.001127615231962409,0.005724638,0.03604736328125,-1.9064921736717224,0.39061734080314636,3550,0.683186948299408,0.2,0.0003,9051.703125,30540.850817871094,,
5701,110,1802240,900.78,316,6434.7617,0.00011056183866458014,0.0049979314,0.026434326171875,-1.9063410058617591,0.39062273502349854,3560,0.640569806098938,0.2,0.0003,8287.5517578125,27795.273974609376,,
5751,111,1818624,866.27,316,7594.9556,-0.0005724240792915225,0.0048884237,0.028826904296875,-1.9061956778168678,0.3905825912952423,3570,0.7193579971790314,0.2,0.0003,8516.3310546875,27142.99104003906,,
5804,112,1835008,912.51,316,8294.185,-0.0003387290264072362,0.0053516245,0.03243408203125,-1.9057641744613647,0.39054906368255615,3580,0.6700887084007263,0.2,0.0003,12589.7509765625,39221.27231445313,,
5859,113,1851392,958.04,315,8927.228,-8.460965618724003e-05,0.0045760716,0.02236328125,-1.9055911734700204,0.3905491232872009,3590,0.752586618065834,0.2,0.0003,7655.69189453125,24494.782482910156,,
5913,114,1867776,965.19,315,8942.527,0.0005120165587868541,0.004152147,0.02376708984375,-1.9051090866327285,0.3904309570789337,3600,0.81156787276268,0.2,0.0003,7571.85986328125,23947.571362304687,,
5967,115,1884160,1006.85,315,9478.655,-0.0006909800082212314,0.00603751,0.029974365234375,-1.9041569888591767,0.39040282368659973,3610,0.7769364714622498,0.2,0.0003,9456.455078125,29060.94716796875,,
6019,116,1900544,989.63,315,9259.079,0.0005221556093601976,0.0047875782,0.034698486328125,-1.9039017036557198,0.39036810398101807,3620,0.7707313597202301,0.2,0.0003,8234.9384765625,25452.301379394532,,
6071,117,1916928,1025.38,315,9872.668,-0.0003210410155588761,0.0035577433,0.019122314453125,-1.9035853400826455,0.3903486728668213,3630,0.6688215434551239,0.2,0.0003,10915.09765625,30287.320263671874,,
6125,118,1933312,998.86,315,9428.891,0.00028060698823537675,0.004586703,0.020355224609375,-1.9033449649810792,0.39031532406806946,3640,0.6693495512008667,0.2,0.0003,7842.6533203125,29100.230798339842,,
6179,119,1949696,1024.34,315,9682.481,-0.0012144008098402992,0.004310514,0.023358154296875,-1.9030538737773894,0.3903021216392517,3650,0.6669359803199768,0.2,0.0003,8253.1708984375,26734.187341308592,,
6232,120,1966080,1032.19,315,9893.881,-0.0004881300323177129,0.00636736,0.049884033203125,-1.902971652150154,0.3903002440929413,3660,0.7480664253234863,0.2,0.0003,6735.7451171875,24831.837634277344,,
6285,121,1982464,1034.45,315,9840.946,-0.0003245955114834942,0.0052900035,0.03013916015625,-1.9027603030204774,0.3902561664581299,3670,0.724587082862854,0.2,0.0003,8026.18017578125,25586.726147460937,,
6339,122,1998848,1056.3,315,10148.445,-0.00020080589747522025,0.004607155,0.019677734375,-1.9022969737648965,0.39021581411361694,3680,0.6773701012134552,0.2,0.0003,8549.82421875,26360.515893554686,,
6393,123,2015232,1091.77,315,10553.228,-0.00012603809955180623,0.0053284746,0.026312255859375,-1.9020335584878922,0.3902185559272766,3690,0.628874272108078,0.2,0.0003,7609.26123046875,28891.6734375,,
