number,value,params_batch_size,params_exponent,params_feature_dim,params_hiddens_1,params_hiddens_2,params_hiddens_3,params_rl_frequency,state
0,1911.2098388671875,2048,-3,512,128,256,512,15,COMPLETE
1,1301.346435546875,2048,-3,512,128,256,512,15,COMPLETE
2,349.292724609375,2048,-3,512,128,256,512,15,COMPLETE
3,-1685.10302734375,2048,-3,512,128,256,512,15,COMPLETE
4,4253.2529296875,2048,-3,512,128,256,512,15,COMPLETE
5,-1780.167236328125,2048,-3,512,128,256,512,15,COMPLETE
6,2331.51806640625,2048,-3,512,128,256,512,15,COMPLETE
7,3438.556640625,2048,-3,512,128,256,512,15,COMPLETE
8,1585.4407958984375,2048,-3,512,128,256,512,15,COMPLETE
9,1242.123779296875,2048,-3,512,128,256,512,15,COMPLETE
