Episode,Reward
1,-1191.7402
2,1151.6224
3,2554.862
4,-627.51447
5,8299.291
6,13696.291
7,6843.9897
8,8781.338
9,6749.054
10,-1792.9552
11,15288.095
12,6921.175
13,-9396.748
14,5657.188
15,6766.67
16,13805.674
17,11011.211
18,15569.1455
19,-735.51294
20,6809.115
21,4623.051
22,-863.3905
23,6365.1865
24,4873.2715
25,9029.265
26,4157.339
27,9242.994
28,7949.101
29,8826.007
30,10652.844
31,4344.607
32,7396.954
33,17375.46
34,5793.9077
35,-6488.406
36,7335.6216
37,-3115.0547
38,23512.291
39,143.78355
40,8663.185
41,2785.1702
42,4001.6
43,3864.3772
44,17959.832
45,-1911.7491
46,17582.473
47,6107.552
48,4829.0776
49,5150.4956
50,3335.7817
51,11025.57
52,11143.753
53,8210.618
54,8659.483
55,7120.893
56,12984.472
57,6741.6865
58,7374.131
59,9588.671
60,11747.453
61,3803.8572
62,2566.3933
63,1101.5977
64,8261.003
65,6525.6123
66,5720.921
67,6414.2383
68,5024.457
69,1496.5758
70,22918.494
71,-619.60126
72,14515.391
73,11074.253
74,3562.276
75,7659.291
76,3599.1785
77,-10385.893
78,7358.6367
79,18860.389
80,3469.7336
81,15530.418
82,8526.979
83,8542.0205
84,11769.596
85,6824.2812
86,3597.9985
87,2168.8992
88,16469.705
89,4739.064
90,-2244.0906
91,6119.7954
92,8149.955
93,21000.05
94,9520.503
95,7556.601
96,4409.42
97,-1011.4367
98,14544.403
99,4316.5713
100,16827.047
