rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
873.8333333333334,32768,323,2230.244,1,101,,,,,,,,,,,,,
948.4354838709677,65536,328,3059.5415,2,199,19317.724609375,-1.9473143212497235,0.0001,0.13409459590911865,0.3945726454257965,0.009623594,2480,0.07239990234375,47644.954907226565,0.2,0.0009185933915432543,,
950.4105263157895,98304,331,3091.0095,3,296,24668.486328125,-1.9471538096666337,0.0001,0.10633176565170288,0.39455467462539673,0.006318868,2490,0.03743896484375,50194.54306640625,0.2,0.00036929429988958874,,
957.78,131072,332,3266.4026,4,393,17605.76953125,-1.9468167804181575,0.0001,0.14283519983291626,0.3945120573043823,0.0051322062,2500,0.0267486572265625,44254.251293945315,0.2,0.0003659564114059322,,
943.54,163840,334,3235.843,5,490,16676.76953125,-1.9463953904807567,0.0001,0.20477396249771118,0.39447304606437683,0.0045666704,2510,0.0219573974609375,45311.783679199216,0.2,0.0007299188990145921,,
955.05,196608,335,3698.88,6,585,19938.373046875,-1.9459968291223049,0.0001,0.22277307510375977,0.39443880319595337,0.005836591,2520,0.0327545166015625,49533.81650390625,0.2,0.00013897058815928176,,
968.92,229376,338,3906.58,7,678,19961.810546875,-1.9456727631390094,0.0001,0.2772710919380188,0.3944048285484314,0.0052590845,2530,0.0261749267578125,48678.59345703125,0.2,-0.0004097930490388535,,
1027.46,262144,339,4632.145,8,772,16125.0830078125,-1.9454199157655239,0.0001,0.24696236848831177,0.39439135789871216,0.005199803,2540,0.03228759765625,45861.349853515625,0.2,7.6816271757707e-05,,
1025.82,294912,342,4508.675,9,861,15290.021484375,-1.9452346675097942,0.0001,0.37231796979904175,0.3943701386451721,0.004149737,2550,0.016912841796875,44021.99541015625,0.2,-0.0005310657725203782,,
1038.73,327680,343,4274.8765,10,954,20079.947265625,-1.9449108026921749,0.0001,0.29172736406326294,0.3943234384059906,0.005577748,2560,0.0322967529296875,46281.74819335937,0.2,3.847477419185452e-05,,
