Episode,Reward
1,3164.6414
2,1580.838
3,5510.3154
4,2416.6438
5,3255.8076
6,2161.817
7,3970.2117
8,3044.562
9,6328.926
10,7507.0674
11,7918.2515
12,6716.8994
13,7509.3047
14,2236.945
15,9037.883
16,1134.2513
17,6942.2827
18,7697.5537
19,8075.809
20,6737.842
21,1635.7455
22,8705.299
23,2662.1936
24,8422.8125
25,8222.432
26,20812.633
27,7285.5957
28,13134.472
29,24564.275
30,2628.3523
31,10689.298
32,-128.22003
33,6406.299
34,6642.177
35,8303.814
36,8476.376
37,7646.053
38,9477.806
39,6856.5864
40,603.76587
41,2276.711
42,3392.356
43,3018.469
44,14450.915
45,3611.6257
46,1113.937
47,7808.364
48,4986.2275
49,3872.7773
50,11152.607
51,13178.441
52,5623.3535
53,3701.2153
54,18183.402
55,-845.20795
56,9014.393
57,6645.2593
58,2942.4817
59,-5.085418
60,6387.6855
61,4519.393
62,4879.832
63,5365.1636
64,1578.39
65,6734.676
66,6984.374
67,11462.205
68,4654.5596
69,11813.922
70,4905.872
71,14077.367
72,2733.108
73,15253.211
74,1701.3446
75,6948.623
76,2384.847
77,2698.2683
78,13496.89
79,11450.109
80,18774.99
81,5038.9067
82,7464.5117
83,3633.0115
84,8855.643
85,4205.5005
86,9104.527
87,16172.955
88,7365.104
89,1823.8679
90,4477.4243
91,4132.62
92,4102.6294
93,3256.709
94,5144.646
95,5957.7407
96,9113.234
97,931.3789
98,2833.7888
99,14586.961
100,2411.0645
